Time (s),Ref_Disp (m),Num_Disp (m),Exp_Disp (m),Ref_Rot (rad),Num_Rot (rad),Exp_Rot (rad),,Diff_Ref_Num_Disp (m),Diff_Ref_Exp_Disp (m),Diff_Ref_Num_Rot (rad),Diff_Ref_Exp_Rot (rad),,RMSE_Ref_Num_Disp (m),RMSE_Ref_Exp_Disp (m),RMSE_Ref_Num_Rot (rad),RMSE_Ref_Exp_Rot (rad)
0,0,0,0,0,0,0,,0,0,0,0,,1.71E-05,1.74E-05,3.12E-05,3.13E-05
0.05,3.64E-06,2.72E-06,2.72E-06,-2.00E-06,-4.08E-07,-4.08E-07,,8.6015E-13,8.6015E-13,2.51978E-12,2.51978E-12,,,,,
0.1,4.04E-05,3.78E-05,3.78E-05,-9.01E-05,-8.70E-05,-8.70E-05,,6.67271E-12,6.67271E-12,9.65786E-12,9.65786E-12,,,,,
0.15,0.000146849,0.000152232,0.000152232,-0.000827089,-0.000839324,-0.000839324,,2.89809E-11,2.89809E-11,1.49689E-10,1.49689E-10,,,,,
0.2,1.05E-05,4.51E-05,4.51E-05,-0.003220513,-0.003268893,-0.003268893,,1.1977E-09,1.1977E-09,2.3406E-09,2.3406E-09,,,,,
0.25,-0.001602415,-0.00156204,-0.001562041,-0.00559079,-0.005604928,-0.005604928,,1.63012E-09,1.63012E-09,1.9989E-10,1.9989E-10,,,,,
0.3,-0.006151486,-0.006187875,-0.006187875,-0.000745601,-0.000632904,-0.000632904,,1.3242E-09,1.3242E-09,1.27006E-08,1.27006E-08,,,,,
0.35,-0.01315233,-0.013246639,-0.013246639,0.014909007,0.014992937,0.014992937,,8.89427E-09,8.8943E-09,7.04425E-09,7.04426E-09,,,,,
0.4,-0.019949786,-0.019965066,-0.019965067,0.030867409,0.030762996,0.030762996,,2.33496E-10,2.33507E-10,1.09021E-08,1.0902E-08,,,,,
0.45,-0.024352906,-0.024299042,-0.024299042,0.036744291,0.036672469,0.03667247,,2.90136E-09,2.90131E-09,5.15834E-09,5.1583E-09,,,,,
0.5,-0.026056962,-0.02604945,-0.02604945,0.037393883,0.037455132,0.037455133,,5.64319E-11,5.64281E-11,3.75149E-09,3.75151E-09,,,,,
0.55,-0.025675863,-0.025692173,-0.025692173,0.038481564,0.038487222,0.038487223,,2.66036E-10,2.66043E-10,3.20148E-11,3.20185E-11,,,,,
0.6,-0.023577586,-0.023574873,-0.023574873,0.037813511,0.037795905,0.037795905,,7.36235E-12,7.36233E-12,3.09967E-10,3.09967E-10,,,,,
0.65,-0.019713873,-0.019706284,-0.019706283,0.034483753,0.034482252,0.034482252,,5.75893E-11,5.75937E-11,2.25417E-12,2.25502E-12,,,,,
0.7,-0.01451655,-0.014486232,-0.014486231,0.028486296,0.028439709,0.028439709,,9.19177E-10,9.19199E-10,2.17034E-09,2.17036E-09,,,,,
0.75,-0.009292643,-0.009260232,-0.009260232,0.021276447,0.021274616,0.021274616,,1.05042E-09,1.05043E-09,3.35393E-12,3.35221E-12,,,,,
0.8,-0.005443372,-0.00545674,-0.00545674,0.018555578,0.018615084,0.018615085,,1.78711E-10,1.78709E-10,3.54094E-09,3.54106E-09,,,,,
0.85,-0.00339898,-0.003441272,-0.003441271,0.022841101,0.022877552,0.022877553,,1.78864E-09,1.78857E-09,1.32874E-09,1.32876E-09,,,,,
0.9,-0.002130801,-0.002154815,-0.002154813,0.029988347,0.029969825,0.029969825,,5.76712E-10,5.76617E-10,3.43045E-10,3.4307E-10,,,,,
0.95,-0.000144058,-0.000139714,-0.000139711,0.034761933,0.034730717,0.034730715,,1.88695E-11,1.88969E-11,9.74443E-10,9.74556E-10,,,,,
1,0.003396418,0.003397388,0.003397392,0.03628741,0.036309502,0.036309499,,9.40061E-13,9.47479E-13,4.88026E-10,4.87921E-10,,,,,
1.05,0.008779584,0.008768138,0.008768142,0.036373965,0.036409338,0.036409336,,1.31013E-10,1.30934E-10,1.25124E-09,1.25112E-09,,,,,
1.1,0.016218501,0.016220662,0.016220665,0.034624111,0.034608788,0.034608787,,4.67164E-12,4.68221E-12,2.3481E-10,2.34826E-10,,,,,
1.15,0.025915615,0.025940582,0.025940584,0.029364056,0.029298506,0.029298506,,6.23341E-10,6.23435E-10,4.2967E-09,4.29674E-09,,,,,
1.2,0.037622233,0.037656738,0.03765674,0.020264627,0.02019255,0.02019255,,1.19065E-09,1.19078E-09,5.19501E-09,5.1951E-09,,,,,
1.25,0.050329445,0.050351559,0.050351562,0.009004763,0.009001987,0.009001986,,4.89062E-10,4.89157E-10,7.70775E-12,7.71424E-12,,,,,
1.3,0.062644472,0.062635363,0.062635365,-0.000814261,-0.000734264,-0.000734265,,8.2987E-11,8.29449E-11,6.39947E-09,6.39921E-09,,,,,
1.35,0.073578959,0.07354906,0.073549063,-0.006296532,-0.006226192,-0.006226193,,8.93941E-10,8.93808E-10,4.94772E-09,4.94756E-09,,,,,
1.4,0.083029325,0.083007883,0.083007885,-0.008026532,-0.00802896,-0.008028962,,4.5979E-10,4.59668E-10,5.8924E-12,5.90131E-12,,,,,
1.45,0.091510221,0.091504154,0.091504158,-0.008453186,-0.008474763,-0.008474765,,3.68091E-11,3.67609E-11,4.65574E-10,4.65673E-10,,,,,
1.5,0.099627587,0.099622617,0.099622621,-0.008730993,-0.008717225,-0.008717226,,2.47006E-11,2.46575E-11,1.89573E-10,1.89529E-10,,,,,
1.55,0.107898493,0.107890461,0.107890465,-0.008933632,-0.008910401,-0.008910403,,6.45268E-11,6.44535E-11,5.39704E-10,5.39619E-10,,,,,
1.6,0.116880734,0.116880794,0.116880799,-0.00982589,-0.009836575,-0.009836579,,3.6079E-15,4.31026E-15,1.14171E-10,1.14252E-10,,,,,
1.65,0.127130041,0.127147658,0.127147664,-0.013022917,-0.013073058,-0.013073062,,3.10335E-10,3.10546E-10,2.51416E-09,2.51459E-09,,,,,
1.7,0.138854072,0.13888493,0.138884933,-0.019670857,-0.019730005,-0.019730004,,9.52223E-10,9.52396E-10,3.49858E-09,3.49848E-09,,,,,
1.75,0.151627875,0.151656243,0.151656242,-0.029176899,-0.029203049,-0.029203045,,8.04772E-10,8.04708E-10,6.83799E-10,6.83632E-10,,,,,
1.8,0.164496368,0.164508818,0.164508816,-0.039293185,-0.039271949,-0.039271949,,1.54995E-10,1.54964E-10,4.50947E-10,4.50974E-10,,,,,
1.85,0.176441176,0.176437771,0.176437769,-0.047608931,-0.047575734,-0.047575731,,1.1595E-11,1.16083E-11,1.10205E-09,1.10228E-09,,,,,
1.9,0.186812858,0.18680343,0.186803425,-0.05311814,-0.053108813,-0.053108807,,8.88794E-11,8.8989E-11,8.69828E-11,8.71059E-11,,,,,
1.95,0.19541137,0.195400541,0.195400536,-0.0561576,-0.056153415,-0.056153417,,1.17275E-10,1.17376E-10,1.75157E-11,1.74982E-11,,,,,
2,0.20233638,0.202320333,0.202320331,-0.05715374,-0.057121607,-0.05712161,,2.57519E-10,2.57581E-10,1.03254E-09,1.03234E-09,,,,,
2.05,0.207901303,0.207881691,0.207881684,-0.056324029,-0.056277739,-0.056277731,,3.84615E-10,3.84905E-10,2.14273E-09,2.1435E-09,,,,,
2.1,0.212651519,0.212640546,0.212640537,-0.0544515,-0.05443488,-0.054434879,,1.20407E-10,1.20604E-10,2.76203E-10,2.76242E-10,,,,,
2.15,0.217286923,0.217295318,0.217295312,-0.05309095,-0.053127162,-0.053127163,,7.04739E-11,7.03677E-11,1.31134E-09,1.31143E-09,,,,,
2.2,0.222386133,0.222411762,0.222411748,-0.053769875,-0.053837402,-0.053837388,,6.56871E-10,6.56127E-10,4.55998E-09,4.55805E-09,,,,,
2.25,0.228104832,0.228134256,0.228134236,-0.056985258,-0.057036642,-0.057036634,,8.65766E-10,8.64617E-10,2.64031E-09,2.63954E-09,,,,,
2.3,0.234095977,0.234115812,0.234115797,-0.061879359,-0.061888873,-0.061888875,,3.93447E-10,3.92853E-10,9.05223E-11,9.05581E-11,,,,,
2.35,0.23970236,0.239708736,0.239708715,-0.066903243,-0.066887813,-0.066887799,,4.066E-11,4.03908E-11,2.38083E-10,2.38518E-10,,,,,
2.4,0.244244543,0.244241093,0.24424107,-0.070774746,-0.070759559,-0.070759558,,1.19033E-11,1.20622E-11,2.30629E-10,2.30678E-10,,,,,
2.45,0.247202987,0.247192368,0.247192355,-0.072784204,-0.072766658,-0.072766669,,1.12756E-10,1.13034E-10,3.07843E-10,3.07465E-10,,,,,
2.5,0.248278089,0.248259794,0.248259767,-0.072488375,-0.072452243,-0.072452219,,3.34738E-10,3.35697E-10,1.30549E-09,1.30728E-09,,,,,
2.55,0.247438357,0.247414702,0.247414669,-0.069627253,-0.069578373,-0.069578368,,5.59531E-10,5.61091E-10,2.38926E-09,2.38977E-09,,,,,
2.6,0.24498338,0.244963025,0.244963008,-0.064520812,-0.064488015,-0.064488036,,4.14346E-10,4.15017E-10,1.07561E-09,1.07424E-09,,,,,
2.65,0.241518894,0.241511524,0.241511491,-0.058299299,-0.058303924,-0.058303892,,5.43069E-11,5.48024E-11,2.13888E-11,2.10927E-11,,,,,
2.7,0.237771351,0.237779954,0.237779907,-0.052487828,-0.052523926,-0.052523912,,7.4008E-11,7.32062E-11,1.30308E-09,1.30202E-09,,,,,
