Time (s),Iter_1_disp_error (m),Iter_1_rot_error (rad),Iter_2_disp_error (m),Iter_2_rot_error (rad),Iter_3_disp_error (m),Iter_3_rot_error (rad),Iter_4_disp_error (m),Iter_4_rot_error (rad),Iter_5_disp_error (m),Iter_5_rot_error (rad),Iter_6_disp_error (m),Iter_6_rot_error (rad),Iter_7_disp_error (m),Iter_7_rot_error (rad)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-2.7995191076794505e-06,4.115258535827076e-06,-1.4574068611862499e-08,1.652080803803809e-08,4.493389970700869e-08,-6.595319706387087e-08,-1.3984144530619417e-08,2.0671143802634236e-08,1.4964921044161737e-09,-2.224793364369538e-09,-2.3441062954676162e-11,3.5335883537060544e-11,-5.2359280139932605e-12,7.762225008842424e-12
0.1,-2.8571859574807215e-05,3.8236550857043944e-05,-2.559926713712726e-06,3.7581859301670013e-06,5.687399561924686e-07,-7.764804866594328e-07,-9.383399900244119e-08,1.1904282946106405e-07,2.0120211289696883e-09,-8.481910615759734e-10,4.918373602271972e-10,-7.613275761230755e-10,-3.996718372380713e-11,5.2207465645525905e-11
0.15000000000000002,-0.00012987773562791723,0.00015331476757246207,-1.8290886536795597e-05,2.3462093087360547e-05,2.322383929876141e-06,-2.649753985071502e-06,-2.0853124153017225e-07,1.8404096347997365e-07,-1.617291144686032e-08,2.5982039469994028e-08,1.4438950575543924e-09,-1.4068644056805177e-09,5.2744150789551386e-11,-1.294892550390142e-10
0.2,-0.00022180006299715423,0.0001591540705212181,-5.076024197300799e-05,5.0724902616109714e-05,2.555671538004246e-06,-7.717128451909666e-07,2.912784681221789e-07,-6.783300053091537e-07,-7.588341106195585e-08,8.921212498250175e-08,-1.3993560201656235e-09,3.883040936535076e-09,5.196756963556787e-10,-6.639699688497369e-10
0.25,0.0003133473561121507,-0.0007165633286842551,-1.7064445675630554e-05,-3.745728185777439e-05,-1.1263897072372187e-05,1.92431392631795e-05,2.512959093464999e-06,-3.223485603625134e-06,-6.8767993517075e-08,4.016252636018791e-09,-1.594144475331057e-08,2.110541999934129e-08,6.995697460719912e-10,-3.428800672208854e-10
0.30000000000000004,0.002174848735353039,-0.0026996249364520625,0.000267449700305622,-0.0003989625691860984,-4.520253663541085e-05,5.0324238805567146e-05,4.4304070088707626e-06,-3.2270094245112624e-06,3.092388852522776e-07,-5.201478911177025e-07,-2.3608805683854317e-08,1.3557785114850715e-08,-2.281507701512586e-09,4.062500683077452e-09
0.35000000000000003,0.0044398373909818704,-0.0037345510462276285,0.0008031160464081234,-0.0008185725922366903,-6.150752556197472e-05,3.3833500231023744e-05,-2.6656047222642365e-07,5.420919140157118e-06,8.498921040440977e-07,-8.112884227959305e-07,4.026380156368914e-08,-8.519312087035269e-08,-7.541773046348954e-09,7.61824624391505e-09
0.4,0.005014088732833356,-0.002164232574485149,0.0011949548942218509,-0.0007776946983138848,-1.2212291055069963e-05,-4.922079012728564e-05,-1.0188277684088781e-05,1.3260143499130295e-05,3.3350031646006695e-07,5.188643664652548e-07,1.4903524275106106e-07,-1.5697720675070248e-07,-6.388436724069635e-10,-8.36231438608448e-09
0.45,0.003933811140485209,-0.00027300509837054066,0.0011494090779664429,-0.00033363663373211366,6.409906995268055e-05,-9.594588464252596e-05,-1.1334197723845973e-05,4.0665544256413e-06,-1.3245568480924064e-06,2.0988548142808483e-06,8.047643069303279e-08,6.160959662576682e-08,2.29810715457468e-08,-3.1695569967238324e-08
