Time(s),Fb_Right_Filtered(N),Mb_Right_Filtered(Nm),Fb_Left_Filtered(N),Mb_Left_Filtered(Nm),Fb_Right_Raw(N),Mb_Right_Raw(Nm),Fb_Left_Raw(N),Mb_Left_Raw(Nm),Ext_Force_Body(N),Ext_Moment_Body(Nm),X_Num_Right_Interface(m),X_Exp_Right_Interface(m),X_Cmd_Right_Interface(m),Rz_Num_Right_Interface(rad),Rz_Exp_Right_Interface(rad),Rz_Cmd_Right_Interface(rad),X_Num_Left_Interface(m),X_Exp_Left_Interface(m),X_Cmd_Left_Interface(m),Rz_Num_Left_Interface(rad),Rz_Exp_Left_Interface(rad),Rz_Cmd_Left_Interface(rad),X_Body_COM(m),Rz_Body(rad)
0.000000000000000000e+00,1.380371708436631817e-01,5.823859173524871535e-02,-2.407687811176041290e-02,-2.191525444767838254e-02,1.392921909217740561e-01,5.949999546205331918e-02,-2.306211526940942641e-02,-2.120000698128471361e-02,4.501246882793017789e+02,5.004987531172069737e+01,0.000000000000000000e+00,1.844599999999999842e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.053299999999993131e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,2.355475393870972156e-01,1.529121240741555254e-01,4.478183247464261746e-02,1.126800079761079362e-02,1.239827663881237219e-01,1.105999912731852469e-01,-1.702217950317503475e-02,-1.140001151915566620e-02,4.372199251494733403e+02,4.750381026508353699e+01,1.179755703526680160e-04,1.844800000000006461e-03,1.179755219703378100e-04,5.100553589421746024e-05,7.923794804054256832e-04,5.101219157548408581e-05,6.697003445845054219e-05,1.053700000000006368e-03,6.696333039485371738e-05,5.100553589421746024e-05,7.923794804054256832e-04,5.101219157548408581e-05,9.247280240555927908e-05,5.100553589421746024e-05
5.000000000000000278e-02,2.835549424388475459e-01,2.524944458852396711e-01,9.155029057290432759e-02,5.879002688545628685e-02,2.007497661034036984e-01,1.994000024431572815e-01,4.882013604577413457e-02,4.629999476394173336e-02,4.268689105397496633e+02,4.565820534416518228e+01,4.684388395746495520e-04,1.858099999999993177e-03,4.684709483867110884e-04,2.018858084046733985e-04,7.976154681614085109e-04,2.019628442131850103e-04,2.665530311699760993e-04,1.065299999999993422e-03,2.665081041735260781e-04,2.018858084046733985e-04,8.011061266653973518e-04,2.019628442131850103e-04,3.674959353723128257e-04,2.018858084046733985e-04
7.500000000000001110e-02,2.435789118758166782e-01,3.507083621382304228e-01,9.724702401059763524e-02,1.251984078521069244e-01,3.246070654123597299e-01,3.288999999999999702e-01,8.936269927442493100e-02,7.929999999999998161e-02,4.190590495251834682e+02,4.469092631349712263e+01,1.045383780975730039e-03,1.978300000000004447e-03,1.045533592368431616e-03,4.491902249550091294e-04,8.499753457212385222e-04,4.494873806083926095e-04,5.961935560207209635e-04,1.106099999999997884e-03,5.960462117600391152e-04,4.491902249550091294e-04,8.307767239493008731e-04,4.494873806083926095e-04,8.207886684982255553e-04,4.491902249550091294e-04
1.000000000000000056e-01,1.021636291560538146e-01,4.273424878069740918e-01,5.173393674652999874e-02,2.010924854650700255e-01,2.681069840649157876e-01,4.504000000000000226e-01,7.659733364261639421e-02,2.081000000000000072e-01,4.135948393300211592e+02,4.472952377320435602e+01,1.844684364362936171e-03,2.341800000000006290e-03,1.845063897178088200e-03,7.912491538961733111e-04,1.005309649148733702e-03,7.919661520098233076e-04,1.053435210466762643e-03,1.325800000000001110e-03,1.053097745168264784e-03,7.912491538961733111e-04,9.983283321407564539e-04,7.919661520098233076e-04,1.449059787414849407e-03,7.912491538961733111e-04
1.250000000000000000e-01,-1.259820006819295513e-01,4.530099343109300625e-01,-4.236610282957760376e-02,2.654286961318649829e-01,3.009075218222356241e-01,4.944999999999999951e-01,3.094427304027403403e-01,2.984999999999999876e-01,4.101216739291513136e+02,4.583900056739177842e+01,2.864105324701473644e-03,2.999499999999997828e-03,2.864821119937964108e-03,1.228371612765301411e-03,1.289798317223809490e-03,1.229713677801532682e-03,1.635733711936172450e-03,1.793999999999996986e-03,1.635107442136431643e-03,1.228371612765301411e-03,1.356120828799594214e-03,1.229713677801532682e-03,2.249919518318823156e-03,1.228371612765301411e-03
1.500000000000000222e-01,-4.099307290447689045e-01,3.994266105288175051e-01,-1.720177475801281664e-01,2.935475830854072932e-01,-1.220247031809361227e+00,4.000000000000000222e-01,-4.174181289626824332e-01,2.814999999999999725e-01,4.081590155386284096e+02,4.801379441140586835e+01,4.103186501302633939e-03,4.112300000000004493e-03,4.104309267182960214e-03,1.762891075907755496e-03,1.774999849278233221e-03,1.765024780337892413e-03,2.340295425394878226e-03,2.165800000000004614e-03,2.339284486845068234e-03,1.762891075907755496e-03,1.644100155378658626e-03,1.765024780337892413e-03,3.221740963348756082e-03,1.762891075907755496e-03
1.750000000000000167e-01,-7.247091058027235189e-01,2.495760944953777372e-01,-3.237510393496336736e-01,2.669127791428550500e-01,-8.384226235133417360e-01,2.683999999999999719e-01,-7.357349541437648854e-01,3.031999999999999695e-01,4.071406360985847073e+02,5.117469873105106615e+01,5.563012943114777238e-03,5.575100000000006439e-03,5.564554263165773229e-03,2.399067811992369129e-03,2.419026343264140972e-03,2.402085557697265956e-03,3.163945131122408543e-03,2.974699999999998526e-03,3.162468705468507706e-03,2.399067811992369129e-03,2.279400003104594275e-03,2.402085557697265956e-03,4.363479037118592890e-03,2.399067811992369129e-03
2.000000000000000111e-01,-1.066898479314757342e+00,3.051010328965056417e-03,-4.943339469213308690e-01,1.798872952072878562e-01,-5.435722090072055979e-01,9.199999999999987702e-03,-6.169279252247245743e-02,2.177000000000000046e-01,4.064592057585302314e+02,5.517107273290907443e+01,7.245886446111796803e-03,7.366600000000005262e-03,7.247786947484943787e-03,3.142867963717327438e-03,3.220132469929538107e-03,3.146768358778912703e-03,4.103018482394469799e-03,3.968400000000003001e-03,4.101018588706031517e-03,3.142867963717327438e-03,3.078760800517997206e-03,3.146768358778912703e-03,5.674452464253133301e-03,3.142867963717327438e-03
2.250000000000000056e-01,-1.450198875449028257e+00,-3.249420672110435726e-01,-6.922037758548558184e-01,4.052758089346079895e-02,-1.588878687532112588e+00,-3.617000000000000215e-01,-8.066730014747730548e-01,7.000000000000007085e-03,4.055122542481453252e+02,5.978828870153687092e+01,9.154919905480516165e-03,8.522300000000001749e-03,9.157052512373607678e-03,4.001642616890921725e-03,3.743731245527836919e-03,4.006332415529483687e-03,5.153277288589594440e-03,4.948499999999995437e-03,5.150720096844123123e-03,4.001642616890921725e-03,3.892084231947355068e-03,4.006332415529483687e-03,7.154098597035055303e-03,4.001642616890921725e-03
