Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Right
0.000000000000000000e+00,1.392921909217740561e-01,5.949999546205331918e-02,1.844599999999999842e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.241707181480177988e-02
2.500000000000000139e-02,1.239827663881237219e-01,1.105999912731852469e-01,1.844800000000006461e-03,7.923794804054256832e-04,1.179755219703378100e-04,5.101219157548408581e-05,1.179755703526680160e-04,5.100553589421746024e-05,4.838233020601143131e-11,-6.655681266625574580e-09,1.241707181480177988e-02
5.000000000000000278e-02,2.007497661034036984e-01,1.994000024431572815e-01,1.858099999999993177e-03,7.976154681614085109e-04,4.684709483867110884e-04,2.019628442131850103e-04,4.684388395746495520e-04,2.018858084046733985e-04,-3.210881206153638062e-08,-7.703580851161186474e-08,1.241707181480177988e-02
7.500000000000001110e-02,3.246070654123597299e-01,3.288999999999999702e-01,1.978300000000004447e-03,8.499753457212385222e-04,1.045533592368431616e-03,4.494873806083926095e-04,1.045383780975730039e-03,4.491902249550091294e-04,-1.498113927015775476e-07,-2.971556533834800347e-07,1.241707181480177988e-02
1.000000000000000056e-01,2.681069840649157876e-01,4.504000000000000226e-01,2.341800000000006290e-03,1.005309649148733702e-03,1.845063897178088200e-03,7.919661520098233076e-04,1.844684364362936171e-03,7.912491538961733111e-04,-3.795328151520293430e-07,-7.169981136499964727e-07,1.241707181480177988e-02
1.250000000000000000e-01,3.009075218222356241e-01,4.944999999999999951e-01,2.999499999999997828e-03,1.289798317223809490e-03,2.864821119937964108e-03,1.229713677801532682e-03,2.864105324701473644e-03,1.228371612765301411e-03,-7.157952364904643372e-07,-1.342065036231271380e-06,1.241707181480177988e-02
1.500000000000000222e-01,-1.220247031809361227e+00,4.000000000000000222e-01,4.112300000000004493e-03,1.774999849278233221e-03,4.104309267182960214e-03,1.765024780337892413e-03,4.103186501302633939e-03,1.762891075907755496e-03,-1.122765880326274945e-06,-2.133704430136917560e-06,1.241707181480177988e-02
1.750000000000000167e-01,-8.384226235133417360e-01,2.683999999999999719e-01,5.575100000000006439e-03,2.419026343264140972e-03,5.564554263165773229e-03,2.402085557697265956e-03,5.563012943114777238e-03,2.399067811992369129e-03,-1.541320050995990953e-06,-3.017745704896827169e-06,1.241707181480177988e-02
2.000000000000000111e-01,-5.435722090072055979e-01,9.199999999999987702e-03,7.366600000000005262e-03,3.220132469929538107e-03,7.247786947484943787e-03,3.146768358778912703e-03,7.245886446111796803e-03,3.142867963717327438e-03,-1.900501373146984418e-06,-3.900395061585265610e-06,1.241707181480177988e-02
2.250000000000000056e-01,-1.588878687532112588e+00,-3.617000000000000215e-01,8.522300000000001749e-03,3.743731245527836919e-03,9.157052512373607678e-03,4.006332415529483687e-03,9.154919905480516165e-03,4.001642616890921725e-03,-2.132606893091512634e-06,-4.689798638561962218e-06,1.241707181480177988e-02
2.500000000000000000e-01,-1.963470548171957430e+00,-7.258000000000001117e-01,1.112739999999999389e-02,4.944517770899935737e-03,1.129577408228777183e-02,4.989046215277757011e-03,1.129358445591865587e-02,4.983727061312272395e-03,-2.189626369115960092e-06,-5.319153965484615942e-06,1.241707181480177988e-02
2.750000000000000222e-01,-2.017368043566138525e+00,-1.094599999999999795e+00,1.297199999999999395e-02,5.815437067645106220e-03,1.366729979284929397e-02,6.103737113421724841e-03,1.366524468171494144e-02,6.097974582955904832e-03,-2.055111134352527458e-06,-5.762530465820009384e-06,1.241707181480177988e-02
3.000000000000000444e-01,-2.994263959238864015e+00,-1.540799999999999947e+00,1.584770000000000276e-02,7.201228493728604498e-03,1.627445757243705868e-02,7.359268369423394192e-03,1.627271465613747137e-02,7.353236135851946853e-03,-1.742916299587310425e-06,-6.032233571447338794e-06,1.241707181480177988e-02
3.250000000000000111e-01,-3.443390425857100201e+00,-1.956100000000000172e+00,1.856709999999999611e-02,8.543386688512243782e-03,1.911913754031895757e-02,8.763955481487827395e-03,1.911785954908619412e-02,8.757802333005441225e-03,-1.277991232763453500e-06,-6.153148482386169849e-06,1.241707181480177988e-02
3.500000000000000333e-01,-3.978825500381329761e+00,-2.293700000000000294e+00,2.148090000000000416e-02,1.001469924794346281e-02,2.220192569603973362e-02,1.032496102327716721e-02,2.220125984677524117e-02,1.031883641432563593e-02,-6.658492644924518533e-07,-6.124608951531274048e-06,1.241707181480177988e-02
3.750000000000000000e-01,-3.105771829789742533e+00,-2.562300000000000022e+00,2.568020000000000025e-02,1.218937949592839749e-02,2.552182073089988637e-02,1.204773148278994767e-02,2.552195186326352769e-02,1.204183886818479578e-02,1.311323636413175286e-07,-5.892614605151891283e-06,1.241707181480177988e-02
4.000000000000000222e-01,-4.352176878097547608e+00,-2.850200000000000067e+00,2.907240000000000171e-02,1.398881395473455108e-02,2.907606643072201125e-02,1.393554062375038441e-02,2.907725881269661652e-02,1.393018845292167025e-02,1.192381974605277728e-06,-5.352170828714156170e-06,1.241707181480177988e-02
4.250000000000000444e-01,-4.586353229169441548e+00,-3.056200000000000028e+00,3.203610000000000485e-02,1.558928087881335071e-02,3.286011794218866855e-02,1.598917951164720297e-02,3.286272690433082733e-02,1.598479816710523388e-02,2.608962142158777198e-06,-4.381344541969089956e-06,1.241707181480177988e-02
4.500000000000000111e-01,-3.622703565658099922e+00,-3.059700000000000308e+00,3.641490000000000699e-02,1.799783524656552516e-02,3.686773707341494538e-02,1.820680132062054563e-02,3.687217659778156686e-02,1.820391253228917025e-02,4.439524366621483420e-06,-2.888788331375374829e-06,1.241707181480177988e-02
4.750000000000000333e-01,-4.335442362110263126e+00,-3.123499999999999943e+00,4.041679999999999578e-02,2.023883800612624392e-02,4.109119363061500274e-02,2.058390934117405868e-02,4.109787062567231419e-02,2.058306062233749428e-02,6.676995057311452264e-06,-8.487188365643993926e-07,1.241707181480177988e-02
5.000000000000000000e-01,-3.722598258338065680e+00,-2.973400000000000265e+00,4.535349999999999798e-02,2.304183678482913875e-02,4.552154475370806530e-02,2.311347386156565806e-02,4.553079028608154194e-02,2.311516897282168623e-02,9.245532373476639254e-06,1.695111256028170033e-06,1.241707181480177988e-02
5.250000000000000222e-01,-4.568098049668066096e+00,-2.773400000000000087e+00,4.900929999999999870e-02,2.514146787497831617e-02,5.014896872389632693e-02,2.578616756185898515e-02,5.016100024033967597e-02,2.579082593803435491e-02,1.203151644334904402e-05,4.658376175369766115e-06,1.241707181480177988e-02
5.500000000000000444e-01,-3.323867704276531221e+00,-2.455799999999999983e+00,5.509130000000000277e-02,2.866528763475487129e-02,5.496313526462399263e-02,2.859070948696652500e-02,5.497806952098480138e-02,2.859867298935060004e-02,1.493425636080875085e-05,7.963502384075032969e-06,1.241707181480177988e-02
5.750000000000000666e-01,-3.341014874151285952e+00,-2.040900000000000158e+00,5.984429999999999611e-02,3.143861581617385381e-02,5.995359576992025097e-02,3.151430319887572190e-02,5.997150642666966569e-02,3.152588475005736746e-02,1.791065674941472174e-05,1.158155118164555519e-05,1.241707181480177988e-02
6.000000000000000888e-01,-3.558052353546575119e+00,-1.844100000000000072e+00,6.471830000000000638e-02,3.428873848468059343e-02,6.511017304343853784e-02,3.454314783558860152e-02,6.513116313613068198e-02,3.455869492626312267e-02,2.099009269214413553e-05,1.554709067452114679e-05,1.241707181480177988e-02
6.250000000000000000e-01,-2.284412082835745039e+00,-1.268200000000000216e+00,6.888640000000001429e-02,3.672696344971667498e-02,7.042332268118961514e-02,3.766299241173082929e-02,7.044757414392299744e-02,3.768293023526890495e-02,2.425146273338230074e-05,1.993782353807566077e-05,1.241707181480177988e-02
6.500000000000000222e-01,-2.981395256308675412e-01,-9.869999999999999885e-01,7.317840000000001843e-02,3.923500158483253508e-02,7.588443217426046883e-02,4.085969546260704438e-02,7.591220728175468446e-02,4.088452425290463321e-02,2.777510749421563396e-05,2.482879029758883194e-05,1.241707181480177988e-02
6.750000000000000444e-01,-2.667713268015634132e+00,-6.101999999999999647e-01,8.032759999999998513e-02,4.339063053383102747e-02,8.148602417586491009e-02,4.411974720733147920e-02,8.151761932077823680e-02,4.414999084262142409e-02,3.159514491332671149e-05,3.024363528994489236e-05,1.241707181480177988e-02
7.000000000000000666e-01,-1.015031448574903683e+00,-1.239999999999999852e-01,8.588040000000000951e-02,4.659505504049261948e-02,8.722183706749621346e-02,4.743071061901497215e-02,8.725751230759548616e-02,4.746683610303341350e-02,3.567524009927269812e-05,3.612548401844134505e-05,1.241707181480177988e-02
7.250000000000000888e-01,-1.068783375255045326e-01,1.221000000000000002e-01,9.057079999999999298e-02,4.927937143005989978e-02,9.308676623165730579e-02,5.078154156929969715e-02,9.312668242531915719e-02,5.082388038472244324e-02,3.991619366185139572e-05,4.233881542274609000e-05,1.241707181480177988e-02
7.500000000000000000e-01,-8.222627334366666707e-01,4.416999999999999815e-01,9.722929999999999073e-02,5.305451860212363063e-02,9.907666370873273454e-02,5.416276094574704741e-02,9.912085155426361704e-02,5.421146059212662849e-02,4.418784553088250799e-05,4.869964637958107412e-05,1.241707181480177988e-02
7.750000000000000222e-01,9.458424184178586547e-01,7.646999999999999353e-01,1.040673000000000015e-01,5.687504433473922205e-02,1.051880129749140774e-01,5.756647589975421447e-02,1.052363828928787604e-01,5.762149757635882941e-02,4.836991796468292915e-05,5.502167660461493304e-05,1.241707181480177988e-02
8.000000000000000444e-01,-9.715548558073353047e-02,7.315000000000000391e-01,1.100711000000000050e-01,6.018244326726847337e-02,1.114175146673623829e-01,6.098627546155562656e-02,1.114699019280441794e-01,6.104743728029372873e-02,5.238726068179655471e-05,6.116181873810216940e-05,1.241707181480177988e-02
8.250000000000000666e-01,6.924515169688985061e-01,9.163000000000000034e-01,1.161380999999999941e-01,6.348111555353774804e-02,1.177616302160243433e-01,6.441704337236224542e-02,1.178178589058530290e-01,6.448409135399930936e-02,5.622868982868567400e-05,6.704798163706393588e-05,1.241707181480177988e-02
8.500000000000000888e-01,2.964497339788345620e-01,9.191000000000000281e-01,1.222745000000000082e-01,6.676931586429507570e-02,1.242161283152530687e-01,6.785472838410583352e-02,1.242760704114883596e-01,6.792740524152322823e-02,5.994209623529089814e-05,7.267685741739471350e-05,1.241707181480177988e-02
8.750000000000000000e-01,-3.678998576697033868e-02,7.342999999999999527e-01,1.295927000000000051e-01,7.062998416970653337e-02,1.307756644494952603e-01,7.129609190303633215e-02,1.308392699142884308e-01,7.137417521955415067e-02,6.360546479317052970e-05,7.808331651781852401e-05,1.241707181480177988e-02
9.000000000000000222e-01,2.319753081501232383e+00,7.367000000000000215e-01,1.370679000000000203e-01,7.451159642614191281e-02,1.374334046017532673e-01,7.473843072535076015e-02,1.375006906065613099e-01,7.482173184839154001e-02,6.728600480804258765e-05,8.330112304077985641e-05,1.241707181480177988e-02
9.250000000000000444e-01,-1.637801076576523629e+00,1.840999999999999859e-01,1.424395000000000244e-01,7.726572598578895779e-02,1.441806953847565576e-01,7.817926909986826212e-02,1.442517047312341649e-01,7.826761121732769833e-02,7.100934647760737128e-05,8.834211745943620908e-05,1.241707181480177988e-02
9.500000000000000666e-01,1.348760041592297565e+00,2.016000000000000014e-01,1.500135999999999969e-01,8.109846902316851514e-02,1.510067934483977914e-01,8.161603585780144443e-02,1.510815496492891319e-01,8.170924380226117500e-02,7.475620089134049628e-05,9.320794445973057396e-05,1.241707181480177988e-02
9.750000000000000888e-01,1.008122395412389682e+00,7.099999999999998673e-03,1.565748000000000140e-01,8.437968801691785037e-02,1.578986894877798808e-01,8.504577282055418574e-02,1.579771756669131333e-01,8.514369708615431021e-02,7.848617913325250939e-05,9.792426560012446046e-05,1.241707181480177988e-02
1.000000000000000000e+00,-1.888417476223152036e+00,-5.757999999999999785e-01,1.631440000000000112e-01,8.762949108413130295e-02,1.648410757972093577e-01,8.846493524400993180e-02,1.649232479953865182e-01,8.856750759578545240e-02,8.217219817716059360e-05,1.025723517755205982e-04,1.241707181480177988e-02
1.025000000000000133e+00,-4.001277940362358287e-01,-5.100999999999999979e-01,1.697274000000000005e-01,9.085835020032080600e-02,1.718164950543602520e-01,9.186933107896172457e-02,1.719023210209314756e-01,9.197662806345358044e-02,8.582596657122354422e-05,1.072969844918558735e-04,1.241707181480177988e-02
1.050000000000000044e+00,-8.108348774764172484e-01,-8.710000000000001075e-01,1.763727999999999962e-01,9.409069997501430527e-02,1.788056745652636115e-01,9.525421098812782150e-02,1.788951786064327254e-01,9.536649681858808125e-02,8.950404116911392371e-05,1.122858304602597501e-04,1.241707181480177988e-02
1.074999999999999956e+00,-1.796140272778129710e+00,-8.368000000000000993e-01,1.842193000000000025e-01,9.787980978109400709e-02,1.857880125832933604e-01,9.861448419429577616e-02,1.858813083563828628e-01,9.873221518085273374e-02,9.329577308950232073e-05,1.177309865569575731e-04,1.241707181480177988e-02
1.100000000000000089e+00,-2.372648682581937951e+00,-1.018400000000000194e+00,1.909703999999999846e-01,1.011226315312994534e-01,1.927421590314910282e-01,1.019450114661222401e-01,1.928394609081900968e-01,1.020688014310204006e-01,9.730187669906853465e-05,1.237899648981605205e-04,1.241707181480177988e-02
1.125000000000000000e+00,-7.186940941596515753e-01,-9.738000000000001100e-01,1.976387000000000005e-01,1.043148387331970933e-01,1.996466287094992853e-01,1.052409208824515996e-01,1.997482416624278834e-01,1.053714803899319097e-01,1.016129529285980659e-04,1.305595074803100886e-04,1.241707181480177988e-02
1.150000000000000133e+00,-1.013704281439374189e+00,-1.069799999999999862e+00,2.042067999999999939e-01,1.074511953990309049e-01,2.064803979007519830e-01,1.084979020930694898e-01,2.065866907696090604e-01,1.086359675062367608e-01,1.062928688570774494e-04,1.380654131672709450e-04,1.241707181480177988e-02
