Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,-2.306211526940942641e-02,-2.120000698128471361e-02,1.053299999999993131e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,-1.702217950317503475e-02,-1.140001151915566620e-02,1.053700000000006368e-03,7.923794804054256832e-04,6.696333039485371738e-05,5.101219157548408581e-05
5.000000000000000278e-02,4.882013604577413457e-02,4.629999476394173336e-02,1.065299999999993422e-03,8.011061266653973518e-04,2.665081041735260781e-04,2.019628442131850103e-04
7.500000000000001110e-02,8.936269927442493100e-02,7.929999999999998161e-02,1.106099999999997884e-03,8.307767239493008731e-04,5.960462117600391152e-04,4.494873806083926095e-04
1.000000000000000056e-01,7.659733364261639421e-02,2.081000000000000072e-01,1.325800000000001110e-03,9.983283321407564539e-04,1.053097745168264784e-03,7.919661520098233076e-04
1.250000000000000000e-01,3.094427304027403403e-01,2.984999999999999876e-01,1.793999999999996986e-03,1.356120828799594214e-03,1.635107442136431643e-03,1.229713677801532682e-03
1.500000000000000222e-01,-4.174181289626824332e-01,2.814999999999999725e-01,2.165800000000004614e-03,1.644100155378658626e-03,2.339284486845068234e-03,1.765024780337892413e-03
1.750000000000000167e-01,-7.357349541437648854e-01,3.031999999999999695e-01,2.974699999999998526e-03,2.279400003104594275e-03,3.162468705468507706e-03,2.402085557697265956e-03
2.000000000000000111e-01,-6.169279252247245743e-02,2.177000000000000046e-01,3.968400000000003001e-03,3.078760800517997206e-03,4.101018588706031517e-03,3.146768358778912703e-03
2.250000000000000056e-01,-8.066730014747730548e-01,7.000000000000007085e-03,4.948499999999995437e-03,3.892084231947355068e-03,5.150720096844123123e-03,4.006332415529483687e-03
2.500000000000000000e-01,-1.040864326214064439e+00,-1.732000000000000206e-01,6.023799999999994090e-03,4.811872747748366722e-03,6.306727867010013949e-03,4.989046215277757011e-03
2.750000000000000222e-01,-7.880377358572391300e-01,-3.477999999999999980e-01,7.190299999999993225e-03,5.848598323432998257e-03,7.563562679427569130e-03,6.103737113421724841e-03
3.000000000000000444e-01,-1.587762724321409857e+00,-5.245999999999999552e-01,8.454099999999997381e-03,7.021459580773187215e-03,8.915189203013665353e-03,7.359268369423394192e-03
3.250000000000000111e-01,-2.104500197490571711e+00,-6.932000000000000384e-01,1.005259999999999834e-02,8.576547944300134951e-03,1.035518205883112844e-02,8.763955481487827395e-03
3.500000000000000333e-01,-1.946610649110134483e+00,-8.721000000000000973e-01,1.151460000000000157e-02,1.007054978400728079e-02,1.187696467276256815e-02,1.032496102327716721e-02
3.750000000000000000e-01,-2.118490315895717124e+00,-1.125699999999999923e+00,1.303560000000000309e-02,1.169370598836200897e-02,1.347408924810994044e-02,1.204773148278994767e-02
4.000000000000000222e-01,-1.978958179465636125e+00,-1.220800000000000107e+00,1.515279999999999926e-02,1.407433508808227443e-02,1.514052580697162857e-02,1.393554062375038441e-02
4.250000000000000444e-01,-2.590246998299194914e+00,-1.406300000000000106e+00,1.652910000000000143e-02,1.569574596318500451e-02,1.687093843054146558e-02,1.598917951164720297e-02
4.500000000000000111e-01,-2.491781370923582539e+00,-1.426300000000000123e+00,1.822029999999999483e-02,1.775872513904230496e-02,1.866093575279439976e-02,1.820680132062054563e-02
4.750000000000000333e-01,-2.234882515486046106e+00,-1.435300000000000020e+00,1.995950000000000502e-02,1.995958532580715053e-02,2.050728428944094059e-02,2.058390934117405868e-02
5.000000000000000000e-01,-2.400412284415401221e+00,-1.460600000000000120e+00,2.207040000000000737e-02,2.272593219021816491e-02,2.240807089214240377e-02,2.311347386156565806e-02
5.250000000000000222e-01,-1.858703518714355019e+00,-1.326000000000000068e+00,2.394769999999999885e-02,2.525665960560994489e-02,2.436280116203733831e-02,2.578616756185898515e-02
5.500000000000000444e-01,-2.253271690922907577e+00,-1.209300000000000042e+00,2.618999999999999800e-02,2.834414705238791354e-02,2.637242577765746415e-02,2.859070948696652500e-02
5.750000000000000666e-01,-1.951085003037329901e+00,-1.027600000000000069e+00,2.816370000000000678e-02,3.110351259979094590e-02,2.843929257104452560e-02,3.151430319887572190e-02
