Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Left
0.000000000000000000e+00,-2.306211526940942641e-02,-2.120000698128471361e-02,1.053299999999993131e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.240415886872820762e-02
2.500000000000000139e-02,-1.702217950317503475e-02,-1.140001151915566620e-02,1.053700000000006368e-03,7.923794804054256832e-04,6.696333039485371738e-05,5.101219157548408581e-05,6.697003445845054219e-05,5.100553589421746024e-05,6.704063596824809748e-09,-6.655681266625574580e-09,1.240415886872820762e-02
5.000000000000000278e-02,4.882013604577413457e-02,4.629999476394173336e-02,1.065299999999993422e-03,8.011061266653973518e-04,2.665081041735260781e-04,2.019628442131850103e-04,2.665530311699760993e-04,2.018858084046733985e-04,4.492699645002127401e-08,-7.703580851161186474e-08,1.240415886872820762e-02
7.500000000000001110e-02,8.936269927442493100e-02,7.929999999999998161e-02,1.106099999999997884e-03,8.307767239493008731e-04,5.960462117600391152e-04,4.494873806083926095e-04,5.961935560207209635e-04,4.491902249550091294e-04,1.473442606818482770e-07,-2.971556533834800347e-07,1.240415886872820762e-02
1.000000000000000056e-01,7.659733364261639421e-02,2.081000000000000072e-01,1.325800000000001110e-03,9.983283321407564539e-04,1.053097745168264784e-03,7.919661520098233076e-04,1.053435210466762643e-03,7.912491538961733111e-04,3.374652984978587095e-07,-7.169981136499964727e-07,1.240415886872820762e-02
1.250000000000000000e-01,3.094427304027403403e-01,2.984999999999999876e-01,1.793999999999996986e-03,1.356120828799594214e-03,1.635107442136431643e-03,1.229713677801532682e-03,1.635733711936172450e-03,1.228371612765301411e-03,6.262697997408070427e-07,-1.342065036231271380e-06,1.240415886872820762e-02
1.500000000000000222e-01,-4.174181289626824332e-01,2.814999999999999725e-01,2.165800000000004614e-03,1.644100155378658626e-03,2.339284486845068234e-03,1.765024780337892413e-03,2.340295425394878226e-03,1.762891075907755496e-03,1.010938549809992093e-06,-2.133704430136917560e-06,1.240415886872820762e-02
1.750000000000000167e-01,-7.357349541437648854e-01,3.031999999999999695e-01,2.974699999999998526e-03,2.279400003104594275e-03,3.162468705468507706e-03,2.402085557697265956e-03,3.163945131122408543e-03,2.399067811992369129e-03,1.476425653900836216e-06,-3.017745704896827169e-06,1.240415886872820762e-02
2.000000000000000111e-01,-6.169279252247245743e-02,2.177000000000000046e-01,3.968400000000003001e-03,3.078760800517997206e-03,4.101018588706031517e-03,3.146768358778912703e-03,4.103018482394469799e-03,3.142867963717327438e-03,1.999893688438281192e-06,-3.900395061585265610e-06,1.240415886872820762e-02
2.250000000000000056e-01,-8.066730014747730548e-01,7.000000000000007085e-03,4.948499999999995437e-03,3.892084231947355068e-03,5.150720096844123123e-03,4.006332415529483687e-03,5.153277288589594440e-03,4.001642616890921725e-03,2.557191745471316946e-06,-4.689798638561962218e-06,1.240415886872820762e-02
2.500000000000000000e-01,-1.040864326214064439e+00,-1.732000000000000206e-01,6.023799999999994090e-03,4.811872747748366722e-03,6.306727867010013949e-03,4.989046215277757011e-03,6.309857394606384340e-03,4.983727061312272395e-03,3.129527596370390574e-06,-5.319153965484615942e-06,1.240415886872820762e-02
2.750000000000000222e-01,-7.880377358572391300e-01,-3.477999999999999980e-01,7.190299999999993225e-03,5.848598323432998257e-03,7.563562679427569130e-03,6.103737113421724841e-03,7.567270098759036612e-03,6.097974582955904832e-03,3.707419331467481927e-06,-5.762530465820009384e-06,1.240415886872820762e-02
3.000000000000000444e-01,-1.587762724321409857e+00,-5.245999999999999552e-01,8.454099999999997381e-03,7.021459580773187215e-03,8.915189203013665353e-03,7.359268369423394192e-03,8.919478520285524514e-03,7.353236135851946853e-03,4.289317271859161007e-06,-6.032233571447338794e-06,1.240415886872820762e-02
3.250000000000000111e-01,-2.104500197490571711e+00,-6.932000000000000384e-01,1.005259999999999834e-02,8.576547944300134951e-03,1.035518205883112844e-02,8.763955481487827395e-03,1.036005721608075289e-02,8.757802333005441225e-03,4.875157249624451072e-06,-6.153148482386169849e-06,1.240415886872820762e-02
3.500000000000000333e-01,-1.946610649110134483e+00,-8.721000000000000973e-01,1.151460000000000157e-02,1.007054978400728079e-02,1.187696467276256815e-02,1.032496102327716721e-02,1.188242343244960697e-02,1.031883641432563593e-02,5.458759687038822195e-06,-6.124608951531274048e-06,1.240415886872820762e-02
3.750000000000000000e-01,-2.118490315895717124e+00,-1.125699999999999923e+00,1.303560000000000309e-02,1.169370598836200897e-02,1.347408924810994044e-02,1.204773148278994767e-02,1.348011299507873365e-02,1.204183886818479578e-02,6.023746968793208811e-06,-5.892614605151891283e-06,1.240415886872820762e-02
4.000000000000000222e-01,-1.978958179465636125e+00,-1.220800000000000107e+00,1.515279999999999926e-02,1.407433508808227443e-02,1.514052580697162857e-02,1.393554062375038441e-02,1.514707035977494801e-02,1.393018845292167025e-02,6.544552803319433898e-06,-5.352170828714156170e-06,1.240415886872820762e-02
4.250000000000000444e-01,-2.590246998299194914e+00,-1.406300000000000106e+00,1.652910000000000143e-02,1.569574596318500451e-02,1.687093843054146558e-02,1.598917951164720297e-02,1.687792873722558998e-02,1.598479816710523388e-02,6.990306684124397707e-06,-4.381344541969089956e-06,1.240415886872820762e-02
4.500000000000000111e-01,-2.491781370923582539e+00,-1.426300000000000123e+00,1.822029999999999483e-02,1.775872513904230496e-02,1.866093575279439976e-02,1.820680132062054563e-02,1.866826406549239314e-02,1.820391253228917025e-02,7.328312697993388802e-06,-2.888788331375374829e-06,1.240415886872820762e-02
4.750000000000000333e-01,-2.234882515486046106e+00,-1.435300000000000020e+00,1.995950000000000502e-02,1.995958532580715053e-02,2.050728428944094059e-02,2.058390934117405868e-02,2.051481000333482338e-02,2.058306062233749428e-02,7.525713893882790551e-06,-8.487188365643993926e-07,1.240415886872820762e-02
5.000000000000000000e-01,-2.400412284415401221e+00,-1.460600000000000120e+00,2.207040000000000737e-02,2.272593219021816491e-02,2.240807089214240377e-02,2.311347386156565806e-02,2.241562131325985224e-02,2.311516897282168623e-02,7.550421117448469222e-06,1.695111256028170033e-06,1.240415886872820762e-02
5.250000000000000222e-01,-1.858703518714355019e+00,-1.326000000000000068e+00,2.394769999999999885e-02,2.525665960560994489e-02,2.436280116203733831e-02,2.578616756185898515e-02,2.437017430230532453e-02,2.579082593803435491e-02,7.373140267986216800e-06,4.658376175369766115e-06,1.240415886872820762e-02
5.500000000000000444e-01,-2.253271690922907577e+00,-1.209300000000000042e+00,2.618999999999999800e-02,2.834414705238791354e-02,2.637242577765746415e-02,2.859070948696652500e-02,2.637939653163419787e-02,2.859867298935060004e-02,6.970753976733717883e-06,7.963502384075032969e-06,1.240415886872820762e-02
5.750000000000000666e-01,-1.951085003037329901e+00,-1.027600000000000069e+00,2.816370000000000678e-02,3.110351259979094590e-02,2.843929257104452560e-02,3.151430319887572190e-02,2.844562167661229823e-02,3.152588475005736746e-02,6.329105567772635998e-06,1.158155118164555519e-05,1.240415886872820762e-02
6.000000000000000888e-01,-1.100186868193190115e+00,-8.359000000000000874e-01,3.019520000000000190e-02,3.396236191455765524e-02,3.056702520784993979e-02,3.454314783558860152e-02,3.057246820986756625e-02,3.455869492626312267e-02,5.443002017626458189e-06,1.554709067452114679e-05,1.240415886872820762e-02
6.250000000000000000e-01,-1.782637299816981935e+00,-6.304000000000000714e-01,3.262439999999999785e-02,3.738669790697053685e-02,3.276033026945877891e-02,3.766299241173082929e-02,3.276464390865408555e-02,3.768293023526890495e-02,4.313639195306639973e-06,1.993782353807566077e-05,1.240415886872820762e-02
6.500000000000000222e-01,-1.374955127696984247e+00,-4.340999999999999304e-01,3.477330000000000698e-02,4.039739086666074841e-02,3.502473671165343139e-02,4.085969546260704438e-02,3.502768302885005125e-02,4.088452425290463321e-02,2.946317196619863132e-06,2.482879029758883194e-05,1.240415886872820762e-02
6.750000000000000444e-01,-3.617369519494698094e-01,-1.360999999999999988e-01,3.739270000000000788e-02,4.402069439380098398e-02,3.736627696853343783e-02,4.411974720733147920e-02,3.736762847815681965e-02,4.414999084262142409e-02,1.351509623381819125e-06,3.024363528994489236e-05,1.240415886872820762e-02
7.000000000000000666e-01,-1.126575432684851164e+00,3.510000000000002701e-02,3.933650000000000341e-02,4.666661353982438226e-02,3.979112644848124825e-02,4.743071061901497215e-02,3.979067620456207960e-02,4.746683610303341350e-02,-4.502439191686469222e-07,3.612548401844134505e-05,1.240415886872820762e-02
7.250000000000000888e-01,-5.064303546638694309e-01,2.777999999999999914e-01,4.213399999999999784e-02,5.039638215133626642e-02,4.230522466235760171e-02,5.078154156929969715e-02,4.230280204059672089e-02,5.082388038472244324e-02,-2.422621760880816488e-06,4.233881542274609000e-05,1.240415886872820762e-02
7.500000000000000000e-01,-4.994696326560287697e-02,4.135999999999999677e-01,4.419580000000000730e-02,5.307895321165154862e-02,4.491390276298569406e-02,5.416276094574704741e-02,4.490939096213698162e-02,5.421146059212662849e-02,-4.511800848712443912e-06,4.869964637958107412e-05,1.240415886872820762e-02
7.750000000000000222e-01,-5.183663843800265791e-01,5.065999999999999392e-01,4.676569999999999339e-02,5.633748292512496397e-02,4.762153707515985601e-02,5.756647589975421447e-02,4.761488531651993789e-02,5.762149757635882941e-02,-6.651758639918126104e-06,5.502167660461493304e-05,1.240415886872820762e-02
8.000000000000000444e-01,3.635235159012399908e-01,6.578999999999999293e-01,4.991430000000000172e-02,6.020338721829240208e-02,5.043123920580674935e-02,6.098627546155562656e-02,5.042246464775044373e-02,6.104743728029372873e-02,-8.774558056305614695e-06,6.116181873810216940e-05,1.240415886872820762e-02
8.250000000000000666e-01,-6.820884113474846855e-02,5.706999999999999851e-01,5.272920000000000385e-02,6.354918339436553543e-02,5.334458684366210485e-02,6.441704337236224542e-02,5.333376755185371271e-02,6.448409135399930936e-02,-1.081929180839213966e-05,6.704798163706393588e-05,1.240415886872820762e-02
8.500000000000000888e-01,-1.037849622269405442e-01,5.769999999999999574e-01,5.561379999999999796e-02,6.687752627791872240e-02,5.636139993114723523e-02,6.785472838410583352e-02,5.634866516996512448e-02,6.792740524152322823e-02,-1.273476118211075425e-05,7.267685741739471350e-05,1.240415886872820762e-02
8.750000000000000000e-01,4.517877468621188108e-01,5.368999999999999329e-01,5.857090000000000213e-02,7.018841586895195606e-02,5.947957254645892117e-02,7.129609190303633215e-02,5.946509469473428705e-02,7.137417521955415067e-02,-1.447785172463411651e-05,7.808331651781852401e-05,1.240415886872820762e-02
9.000000000000000222e-01,-5.088598384875808733e-01,2.763999999999999790e-01,6.162740000000000579e-02,7.350803210624518025e-02,6.269497387640252106e-02,7.473843072535076015e-02,6.267895875816975604e-02,7.482173184839154001e-02,-1.601511823276502433e-05,8.330112304077985641e-05,1.240415886872820762e-02
9.250000000000000444e-01,-3.511978306243198622e-01,2.400999999999999801e-01,6.533400000000000318e-02,7.741407897220849155e-02,6.600142628488830931e-02,7.817926909986826212e-02,6.598409351390646660e-02,7.826761121732769833e-02,-1.733277098184271559e-05,8.834211745943620908e-05,1.240415886872820762e-02
9.500000000000000666e-01,-3.137346039929228558e-01,4.069999999999997231e-02,6.860940000000000094e-02,8.077034712379357884e-02,6.939075759059636084e-02,8.161603585780144443e-02,6.937230584702794300e-02,8.170924380226117500e-02,-1.845174356841783325e-05,9.320794445973057396e-05,1.240415886872820762e-02
9.750000000000000888e-01,-1.019780419919132708e+00,-2.214000000000000412e-01,7.248060000000000613e-02,8.464323273396900937e-02,7.285291666722570891e-02,8.504577282055418574e-02,7.283347858075883696e-02,8.514369708615431021e-02,-1.943808646687195107e-05,9.792426560012446046e-05,1.240415886872820762e-02
1.000000000000000000e+00,-8.459825429770954086e-01,-3.238999999999999657e-01,7.583910000000000651e-02,8.792968771547432505e-02,7.637614055319941198e-02,8.846493524400993180e-02,7.635574039960107973e-02,8.856750759578545240e-02,-2.040015359833224906e-05,1.025723517755205982e-04,1.240415886872820762e-02
1.025000000000000133e+00,-1.904231799994050789e+00,-5.294000000000000927e-01,7.980719999999999481e-02,9.173625081407395243e-02,7.994716397539852748e-02,9.186933107896172457e-02,7.992569295747789515e-02,9.197662806345358044e-02,-2.147101792063232928e-05,1.072969844918558735e-04,1.240415886872820762e-02
1.050000000000000044e+00,-1.325830990817315369e+00,-5.886000000000000121e-01,8.321549999999999780e-02,9.495463795475149460e-02,8.355146357713580385e-02,9.525421098812782150e-02,8.352868178784463027e-02,9.536649681858808125e-02,-2.278178929117358198e-05,1.122858304602597501e-04,1.240415886872820762e-02
1.074999999999999956e+00,-1.436895765596227781e+00,-6.706000000000000849e-01,8.663470000000000892e-02,9.814335449814513834e-02,8.717352838899759815e-02,9.861448419429577616e-02,8.714909317553012902e-02,9.873221518085273374e-02,-2.443521346746913014e-05,1.177309865569575731e-04,1.240415886872820762e-02
1.100000000000000089e+00,-1.800541427970910213e+00,-6.660999999999999144e-01,9.006659999999999666e-02,1.013128724197668445e-01,9.079714756536880205e-02,1.019450114661222401e-01,9.077065947716971006e-02,1.020688014310204006e-01,-2.648808819909198586e-05,1.237899648981605205e-04,1.240415886872820762e-02
1.125000000000000000e+00,-8.443423266466238974e-01,-5.527999999999999581e-01,9.347469999999999390e-02,1.044405024393406795e-01,9.440570782704767183e-02,1.052409208824515996e-01,9.437676127249595981e-02,1.053714803899319097e-01,-2.894655455171202263e-05,1.305595074803100886e-04,1.240415886872820762e-02
1.150000000000000133e+00,-1.182566331306159180e+00,-5.358000000000000540e-01,9.685309999999999753e-02,1.075279898861186412e-01,9.798249580768250699e-02,1.084979020930694898e-01,9.795072326337228574e-02,1.086359675062367608e-01,-3.177254431022125125e-05,1.380654131672709450e-04,1.240415886872820762e-02
1.175000000000000044e+00,-7.369844739393004440e-01,-2.821000000000000174e-01,1.002178999999999987e-01,1.106032600281326717e-01,1.015110026104869834e-01,1.117124525390697093e-01,1.014761071336469089e-01,1.118587152252355360e-01,-3.489547684007443529e-05,1.462626861658267163e-04,1.240415886872820762e-02
1.200000000000000178e+00,8.626774271767752300e-02,-2.060000000000005577e-02,1.041244999999999948e-01,1.141846756532250290e-01,1.049752274664881857e-01,1.148820628281538164e-01,1.049370046671241619e-01,1.150371015546551995e-01,-3.822279936402384060e-05,1.550387265013830618e-04,1.240415886872820762e-02
1.225000000000000089e+00,-5.364911818228947915e-01,2.259999999999999787e-01,1.074244000000000032e-01,1.172337658564591156e-01,1.083599739877586232e-01,1.180053322393626175e-01,1.083183275257921518e-01,1.181695496533312073e-01,-4.164646196647137089e-05,1.642174139685897982e-04,1.240415886872820762e-02
