Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,1.392921909217740561e-01,5.949999546205331918e-02,1.844599999999999842e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.239827663881237219e-01,1.105999912731852469e-01,1.844800000000006461e-03,7.923794804054256832e-04,1.179755219703378100e-04,5.101219157548408581e-05
5.000000000000000278e-02,2.007497661034036984e-01,1.994000024431572815e-01,1.858099999999993177e-03,7.976154681614085109e-04,4.684709483867110884e-04,2.019628442131850103e-04
7.500000000000001110e-02,3.246070654123597299e-01,3.288999999999999702e-01,1.978300000000004447e-03,8.499753457212385222e-04,1.045533592368431616e-03,4.494873806083926095e-04
1.000000000000000056e-01,2.681069840649157876e-01,4.504000000000000226e-01,2.341800000000006290e-03,1.005309649148733702e-03,1.845063897178088200e-03,7.919661520098233076e-04
1.250000000000000000e-01,3.009075218222356241e-01,4.944999999999999951e-01,2.999499999999997828e-03,1.289798317223809490e-03,2.864821119937964108e-03,1.229713677801532682e-03
1.500000000000000222e-01,-1.220247031809361227e+00,4.000000000000000222e-01,4.112300000000004493e-03,1.774999849278233221e-03,4.104309267182960214e-03,1.765024780337892413e-03
1.750000000000000167e-01,-8.384226235133417360e-01,2.683999999999999719e-01,5.575100000000006439e-03,2.419026343264140972e-03,5.564554263165773229e-03,2.402085557697265956e-03
2.000000000000000111e-01,-5.435722090072055979e-01,9.199999999999987702e-03,7.366600000000005262e-03,3.220132469929538107e-03,7.247786947484943787e-03,3.146768358778912703e-03
2.250000000000000056e-01,-1.588878687532112588e+00,-3.617000000000000215e-01,8.522300000000001749e-03,3.743731245527836919e-03,9.157052512373607678e-03,4.006332415529483687e-03
2.500000000000000000e-01,-1.963470548171957430e+00,-7.258000000000001117e-01,1.112739999999999389e-02,4.944517770899935737e-03,1.129577408228777183e-02,4.989046215277757011e-03
2.750000000000000222e-01,-2.017368043566138525e+00,-1.094599999999999795e+00,1.297199999999999395e-02,5.815437067645106220e-03,1.366729979284929397e-02,6.103737113421724841e-03
3.000000000000000444e-01,-2.994263959238864015e+00,-1.540799999999999947e+00,1.584770000000000276e-02,7.201228493728604498e-03,1.627445757243705868e-02,7.359268369423394192e-03
3.250000000000000111e-01,-3.443390425857100201e+00,-1.956100000000000172e+00,1.856709999999999611e-02,8.543386688512243782e-03,1.911913754031895757e-02,8.763955481487827395e-03
3.500000000000000333e-01,-3.978825500381329761e+00,-2.293700000000000294e+00,2.148090000000000416e-02,1.001469924794346281e-02,2.220192569603973362e-02,1.032496102327716721e-02
3.750000000000000000e-01,-3.105771829789742533e+00,-2.562300000000000022e+00,2.568020000000000025e-02,1.218937949592839749e-02,2.552182073089988637e-02,1.204773148278994767e-02
4.000000000000000222e-01,-4.352176878097547608e+00,-2.850200000000000067e+00,2.907240000000000171e-02,1.398881395473455108e-02,2.907606643072201125e-02,1.393554062375038441e-02
4.250000000000000444e-01,-4.586353229169441548e+00,-3.056200000000000028e+00,3.203610000000000485e-02,1.558928087881335071e-02,3.286011794218866855e-02,1.598917951164720297e-02
4.500000000000000111e-01,-3.622703565658099922e+00,-3.059700000000000308e+00,3.641490000000000699e-02,1.799783524656552516e-02,3.686773707341494538e-02,1.820680132062054563e-02
4.750000000000000333e-01,-4.335442362110263126e+00,-3.123499999999999943e+00,4.041679999999999578e-02,2.023883800612624392e-02,4.109119363061500274e-02,2.058390934117405868e-02
5.000000000000000000e-01,-3.722598258338065680e+00,-2.973400000000000265e+00,4.535349999999999798e-02,2.304183678482913875e-02,4.552154475370806530e-02,2.311347386156565806e-02
5.250000000000000222e-01,-4.568098049668066096e+00,-2.773400000000000087e+00,4.900929999999999870e-02,2.514146787497831617e-02,5.014896872389632693e-02,2.578616756185898515e-02
5.500000000000000444e-01,-3.323867704276531221e+00,-2.455799999999999983e+00,5.509130000000000277e-02,2.866528763475487129e-02,5.496313526462399263e-02,2.859070948696652500e-02
5.750000000000000666e-01,-3.341014874151285952e+00,-2.040900000000000158e+00,5.984429999999999611e-02,3.143861581617385381e-02,5.995359576992025097e-02,3.151430319887572190e-02
6.000000000000000888e-01,-3.558052353546575119e+00,-1.844100000000000072e+00,6.471830000000000638e-02,3.428873848468059343e-02,6.511017304343853784e-02,3.454314783558860152e-02
6.250000000000000000e-01,-2.284412082835745039e+00,-1.268200000000000216e+00,6.888640000000001429e-02,3.672696344971667498e-02,7.042332268118961514e-02,3.766299241173082929e-02
6.500000000000000222e-01,-2.981395256308675412e-01,-9.869999999999999885e-01,7.317840000000001843e-02,3.923500158483253508e-02,7.588443217426046883e-02,4.085969546260704438e-02
6.750000000000000444e-01,-2.667713268015634132e+00,-6.101999999999999647e-01,8.032759999999998513e-02,4.339063053383102747e-02,8.148602417586491009e-02,4.411974720733147920e-02
7.000000000000000666e-01,-1.015031448574903683e+00,-1.239999999999999852e-01,8.588040000000000951e-02,4.659505504049261948e-02,8.722183706749621346e-02,4.743071061901497215e-02
7.250000000000000888e-01,-1.068783375255045326e-01,1.221000000000000002e-01,9.057079999999999298e-02,4.927937143005989978e-02,9.308676623165730579e-02,5.078154156929969715e-02
7.500000000000000000e-01,-8.222627334366666707e-01,4.416999999999999815e-01,9.722929999999999073e-02,5.305451860212363063e-02,9.907666370873273454e-02,5.416276094574704741e-02
7.750000000000000222e-01,9.458424184178586547e-01,7.646999999999999353e-01,1.040673000000000015e-01,5.687504433473922205e-02,1.051880129749140774e-01,5.756647589975421447e-02
