Time (s),Iter_1_disp_error (m),Iter_1_rot_error (rad),Iter_2_disp_error (m),Iter_2_rot_error (rad),Iter_3_disp_error (m),Iter_3_rot_error (rad),Iter_4_disp_error (m),Iter_4_rot_error (rad),Iter_5_disp_error (m),Iter_5_rot_error (rad),Iter_6_disp_error (m),Iter_6_rot_error (rad),Iter_7_disp_error (m),Iter_7_rot_error (rad),Iter_8_disp_error (m),Iter_8_rot_error (rad),Iter_9_disp_error (m),Iter_9_rot_error (rad),Iter_10_disp_error (m),Iter_10_rot_error (rad),Iter_11_disp_error (m),Iter_11_rot_error (rad),Iter_12_disp_error (m),Iter_12_rot_error (rad),Iter_13_disp_error (m),Iter_13_rot_error (rad),Iter_14_disp_error (m),Iter_14_rot_error (rad),Iter_15_disp_error (m),Iter_15_rot_error (rad),Iter_16_disp_error (m),Iter_16_rot_error (rad),Iter_17_disp_error (m),Iter_17_rot_error (rad),Iter_18_disp_error (m),Iter_18_rot_error (rad),Iter_19_disp_error (m),Iter_19_rot_error (rad),Iter_20_disp_error (m),Iter_20_rot_error (rad),Iter_21_disp_error (m),Iter_21_rot_error (rad),Iter_22_disp_error (m),Iter_22_rot_error (rad),Iter_23_disp_error (m),Iter_23_rot_error (rad),Iter_24_disp_error (m),Iter_24_rot_error (rad),Iter_25_disp_error (m),Iter_25_rot_error (rad)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-1.3482214604230752e-05,2.2006213304675164e-05,1.073707298243195e-05,-1.759647477642832e-05,-2.5243483710682373e-06,4.149384599785448e-06,-9.460605905259678e-07,1.5537495525333358e-06,-4.014436571175893e-07,6.585964675897186e-07,-1.5295948513661704e-07,2.504504187751707e-07,-5.0344310930468e-08,8.208601515268793e-08,-1.3000970331045935e-08,2.094379049753463e-08,-1.5727404179683219e-09,2.326369447323872e-09,6.320578363579733e-10,-1.1884111831537315e-09,3.8665863921989106e-10,-7.196383854322473e-10,7.65776272806869e-11,-1.737309101991211e-10,-3.532622722636009e-12,-2.1773619553324552e-11,-6.833677562523646e-12,-4.038617202726603e-12,-1.5097887052737682e-12,-5.24818678637412e-12,-2.889684239777094e-13,-3.2138525968967434e-12,-2.734300009717486e-13,-1.339185441220937e-12,-1.3380919255042974e-13,-6.282137420293457e-13,-4.86097465820796e-14,-2.795443462128456e-13,-2.560672968492648e-14,-1.072933757981509e-13,-1.0709033740487857e-14,-4.949522848231831e-14,2.921606370460267e-15,-3.2214673936250775e-14,-7.331921850114434e-15,1.457664044731662e-15,-8.197703448139734e-16,-3.4660546577917546e-15,3.362346412036886e-15,-7.360546173822758e-15
0.1,-0.0001320976153976792,0.00019399750826402945,6.293921001511823e-05,-8.49390341083932e-05,-1.2337308132600124e-06,-2.178936418553869e-06,-1.8581797926621848e-06,1.4930821059582432e-06,-1.2846505940671687e-06,1.4593752023675483e-06,-7.360792394052132e-07,9.69695753848696e-07,-3.6325039202710253e-07,5.247167744655161e-07,-1.542073892611722e-07,2.4025343933230313e-07,-5.24699734137478e-08,8.944768796160455e-08,-1.1439006292964817e-08,2.3606570164643706e-08,-3.116685771498238e-10,3.42153642862665e-09,7.103958546363e-10,2.78636050376254e-10,2.810688343513382e-10,2.859337604877018e-10,6.143653706429386e-11,2.967902004480426e-10,1.5644885757173325e-11,1.7396886328160856e-10,1.1240856945889284e-11,7.538895095487389e-11,5.743681592352331e-12,3.4834923980748764e-11,2.445433598999812e-12,1.652919806778043e-11,1.0034273217017498e-12,6.7060261559276704e-12,4.55663298434307e-13,2.7027013710812647e-12,9.022095543527106e-14,1.3946506574385661e-12,1.8240454041943896e-13,3.4073117320242846e-13,2.3245836679175458e-14,1.467017289981734e-13,-7.279880230538424e-14,2.096614575746239e-13,3.5942494640284206e-14,-2.6553412246776986e-14
0.15000000000000002,-0.0005373220145214388,0.0006722435970894337,0.00014058851573908293,-0.000131510814582908,3.30442911095295e-05,-5.371906083704702e-05,1.046272109503203e-05,-1.9166337409038466e-05,3.426970511607335e-06,-7.19449823945238e-06,6.754598616946523e-07,-2.031135866002688e-06,-1.5251257757693533e-07,-1.838310647019276e-07,-2.586226530161659e-07,2.701856570357748e-07,-1.6908425567419244e-07,2.539906134567957e-07,-7.132626390858317e-08,1.3767739974706976e-07,-1.7457542887146498e-08,5.2099079684295516e-08,-7.861856024863039e-10,1.6577112028123148e-08,1.3824099832253963e-09,6.3214712866426284e-09,7.938451057805124e-10,3.228780625567744e-09,2.8690830624917424e-10,1.7538093871052526e-09,1.1983621728403268e-10,8.53633401378534e-10,6.220076024881192e-11,3.9970283409029167e-10,2.9807914708572525e-11,1.8501977575892392e-10,1.241625400584534e-11,7.645712264258558e-11,5.35689781379009e-12,3.066773310994586e-11,9.211793112161304e-13,1.602826432776233e-11,1.6548038709717633e-12,4.4023303882520515e-12,9.978866691295885e-14,2.3166837372079474e-12,-8.572282694883221e-13,2.968395494684639e-12,1.4033340461905297e-12,-2.1301659438102694e-12
0.2,-0.0005935621970248888,0.00017226391628228418,-0.0002291390236197135,0.0005756365356883318,0.00013128062127712112,-0.00015832684685291275,6.11856015550561e-05,-8.05389817888553e-05,3.0204287564640974e-05,-4.205456411031502e-05,1.3503153822854244e-05,-1.9846320055450038e-05,5.325292330510148e-06,-8.258648463378183e-06,1.7476103865076364e-06,-2.8581216753166376e-06,3.7888495410770377e-07,-6.444441534277437e-07,-1.3745920084693233e-08,5.277957506374248e-08,-4.670816951669963e-08,1.326939508320378e-07,-1.5339592491570627e-08,7.299177839752147e-08,-3.049659769507884e-10,3.1143159296646156e-08,2.236607538606307e-09,1.3207367157395955e-08,1.264843081509072e-09,6.1646369714681015e-09,4.713525221175519e-10,3.078563690864927e-09,2.20970265793919e-10,1.4924754761051762e-09,1.1145772320494615e-10,6.839684651982481e-10,4.39244043155991e-11,2.8597433015392637e-10,1.8818551751620394e-11,1.2281369064087722e-10,6.65274432765095e-12,5.429064576373266e-11,3.073327941964521e-12,2.2772259338638134e-11,3.2117320955538098e-12,-1.0621217447215336e-12,-2.523085147927706e-12,1.255306102121434e-11,2.8419251544078983e-12,-1.9877350633523694e-12
0.25,0.0024987388187914347,-0.004749931328519964,-0.001731218471906075,0.0023824086592053708,3.4358618611462144e-05,0.00014236706114691133,6.453455912191434e-05,-9.927939855615929e-06,4.986487329972219e-05,-3.3041447285516064e-05,3.173897041729547e-05,-2.944984773818604e-05,1.747770712892899e-05,-1.925509328855584e-05,8.386027904325535e-06,-1.0344528411111546e-05,3.3409309746616246e-06,-4.506903741458013e-06,9.615411270972934e-07,-1.4031569089550944e-06,1.3972295484629069e-07,-2.0456389370274164e-07,-1.573007524973205e-08,5.39040146338432e-08,-1.3160561346432786e-08,5.076060681508121e-08,-1.4195469523166707e-09,2.2331973392915316e-08,1.6002683062140907e-09,7.736042433384438e-09,7.755312534741057e-10,3.42262984447117e-09,2.596995536370897e-10,1.8510172014943316e-09,1.2670529870532216e-10,8.498799016973257e-10,4.6657972515955215e-11,3.524200965776547e-10,3.56806676218846e-11,1.5703622169987996e-10,7.675564936242274e-12,7.865223229652774e-11,-2.964654021407609e-12,4.2867223659648346e-11,2.459513061964236e-12,-1.203503182528598e-11,1.1119188144011194e-11,6.986250120077919e-12,-7.44707301467834e-12,8.067191879790325e-12
0.30000000000000004,0.010408989880067948,-0.012699587752554732,-0.0029161950118945573,0.0020932268087943346,-0.0007350431217710736,0.001179596392295305,-0.0002607062924090773,0.0004943517336161616,-9.391285301359881e-05,0.00021601208218326585,-2.1896864563306778e-05,7.871695650894578e-05,2.964845737581795e-06,1.98363101020318e-05,7.751051404358486e-06,-5.181621582704514e-07,5.890270477139532e-06,-4.74130423821508e-06,2.9517630554792146e-06,-3.465709663316198e-06,9.771922899540209e-07,-1.4728901204990935e-06,1.872977012521218e-07,-3.9914990157964136e-07,2.704898345237683e-10,-6.542621451349154e-08,-1.4751701063811518e-08,-3.2247066189192153e-09,-3.808103122768247e-09,-3.5598176966952777e-09,-5.3316673992442887e-11,-4.466816801423218e-09,-1.4254739576224917e-10,-2.0329472288525482e-09,-1.891627904662685e-10,-7.883200029172241e-10,-9.796101776982091e-11,-3.289565987229376e-10,5.2392930272038285e-11,-1.9699991312717435e-10,-2.5992778242278636e-11,-3.028690449477511e-11,-1.9083939289954444e-11,1.0044416578862403e-11,-2.98213346378029e-11,1.4631258444391948e-11,6.570251114002001e-11,-5.4062224423730154e-11,-4.219046553094463e-11,2.1437235884005923e-11
0.35000000000000003,0.017298973975109197,-0.012954866662218402,-0.0004884782514367227,-0.002997336805761497,-0.0014365555401260211,0.0011498479432301943,-0.0007848957721773974,0.0008254880498134061,-0.0004278395182191544,0.0005177930790156004,-0.0002095785141874966,0.000287316719273855,-8.993339628038388e-05,0.00014023654877041297,-3.176094226826215e-05,5.842081486097904e-05,-7.10381017586352e-06,1.834101530033029e-05,7.83547474061605e-07,2.356386107554148e-06,1.5502693509698157e-06,-1.3958182882873454e-06,7.055646067521265e-07,-1.0564215140243527e-06,1.7331716156351873e-07,-4.002018061909085e-07,3.1517680583459384e-09,-9.682748252325124e-08,-1.4110689307983426e-08,-1.8129003029679347e-08,-3.1790484272820052e-09,-1.1673682747889713e-08,-4.090591910338448e-10,-7.469197579879072e-09,-4.506199007686673e-10,-3.2990055114784367e-09,-4.0964223679829104e-10,-1.1053828564283608e-09,8.433079755343353e-11,-7.117028945347048e-10,-9.379741081061432e-11,-2.1189606319582666e-10,-1.3732430123591932e-11,-4.5332035000789084e-11,-6.300744474774245e-11,5.372510769596772e-11,1.6248689720110843e-10,-1.8701707196755457e-10,-1.0614532343355965e-10,6.628478842196639e-11
0.4,0.01608058041398123,-0.0034434999463636914,0.0038873133538606976,-0.005966534634703112,-0.00028109027770743117,-0.0014222958749338203,-0.0005275791308357522,-0.00024178806751278328,-0.0004493716711638403,0.00010574159051599322,-0.0003142080428503481,0.0001918640485967446,-0.00018955814049256836,0.00016462494643210493,-9.943879473665179e-05,0.00010728748175119207,-4.3398436277746616e-05,5.605509956219806e-05,-1.376927962857058e-05,2.190120816035479e-05,-2.121216804842202e-06,5.249430500224583e-06,4.684899087906147e-07,1.592188936735961e-07,4.2582294629625594e-07,-4.807069015483334e-07,1.274737820751437e-07,-2.309619246861072e-07,-9.228501504643383e-10,-3.721729993633183e-08,-8.631701631234279e-09,-4.364845290760755e-12,-5.894358508229391e-10,-4.011022805561204e-09,2.6178774079066436e-10,-3.031056260149878e-09,-5.954087049786505e-10,-5.574377209827119e-10,3.3431105106451753e-12,-3.4324799946805484e-10,-5.66535499069154e-11,-2.1836463887092705e-10,1.2947178051891939e-12,5.4917497632755996e-11,5.185895810000396e-11,-1.3316120428541467e-10,2.158064317525632e-10,-2.587481062743535e-10,-2.4734626152822514e-10,2.6094072042015526e-10
0.45,0.010792724085379027,0.0019403751695854024,0.0045532091581405205,-0.0018495781001827,0.001667947923266997,-0.002556918960271805,0.0006299810131244685,-0.0014951868464308168,0.00017577765770018447,-0.0007882423256026713,-3.4664877608295286e-05,-0.00033427284699182047,-9.923685409864158e-05,-9.095682165210367e-05,-9.315812944750076e-05,1.1895772865408438e-05,-6.302894522122043e-05,3.838389760495858e-05,-3.231669106353724e-05,3.081481801832375e-05,-1.1782517586319402e-05,1.5202277891382399e-05,-2.674060218508384e-06,4.813261416415637e-06,-9.616444140644886e-08,7.826926976400861e-07,2.280218010762558e-07,-1.5049719484516721e-07,7.407652484123228e-08,-1.052730115927436e-07,-5.3858268504736184e-09,7.963871714866677e-10,-3.741978560345416e-09,7.111795367886753e-09,8.668420981017277e-10,3.1851084270062557e-10,-3.8608153826724667e-10,1.18493090339733e-10,-1.4706715012469118e-10,3.66740256219078e-10,-2.5306062800822815e-11,2.5497326472390114e-10,6.592030393770543e-11,4.30436727927308e-11,2.273181642920008e-10,-2.749255545442253e-10,1.7441540572926684e-10,-2.9384618349670433e-10,-5.08412947158865e-10,5.552751453086202e-10
