Time (s),Iter_1_disp_error (m),Iter_1_rot_error (rad),Iter_2_disp_error (m),Iter_2_rot_error (rad),Iter_3_disp_error (m),Iter_3_rot_error (rad),Iter_4_disp_error (m),Iter_4_rot_error (rad),Iter_5_disp_error (m),Iter_5_rot_error (rad),Iter_6_disp_error (m),Iter_6_rot_error (rad),Iter_7_disp_error (m),Iter_7_rot_error (rad),Iter_8_disp_error (m),Iter_8_rot_error (rad),Iter_9_disp_error (m),Iter_9_rot_error (rad),Iter_10_disp_error (m),Iter_10_rot_error (rad),Iter_11_disp_error (m),Iter_11_rot_error (rad),Iter_12_disp_error (m),Iter_12_rot_error (rad),Iter_13_disp_error (m),Iter_13_rot_error (rad),Iter_14_disp_error (m),Iter_14_rot_error (rad),Iter_15_disp_error (m),Iter_15_rot_error (rad),Iter_16_disp_error (m),Iter_16_rot_error (rad),Iter_17_disp_error (m),Iter_17_rot_error (rad),Iter_18_disp_error (m),Iter_18_rot_error (rad),Iter_19_disp_error (m),Iter_19_rot_error (rad),Iter_20_disp_error (m),Iter_20_rot_error (rad),Iter_21_disp_error (m),Iter_21_rot_error (rad),Iter_22_disp_error (m),Iter_22_rot_error (rad),Iter_23_disp_error (m),Iter_23_rot_error (rad),Iter_24_disp_error (m),Iter_24_rot_error (rad),Iter_25_disp_error (m),Iter_25_rot_error (rad),Iter_26_disp_error (m),Iter_26_rot_error (rad),Iter_27_disp_error (m),Iter_27_rot_error (rad),Iter_28_disp_error (m),Iter_28_rot_error (rad),Iter_29_disp_error (m),Iter_29_rot_error (rad),Iter_30_disp_error (m),Iter_30_rot_error (rad),Iter_31_disp_error (m),Iter_31_rot_error (rad),Iter_32_disp_error (m),Iter_32_rot_error (rad),Iter_33_disp_error (m),Iter_33_rot_error (rad),Iter_34_disp_error (m),Iter_34_rot_error (rad),Iter_35_disp_error (m),Iter_35_rot_error (rad),Iter_36_disp_error (m),Iter_36_rot_error (rad),Iter_37_disp_error (m),Iter_37_rot_error (rad),Iter_38_disp_error (m),Iter_38_rot_error (rad),Iter_39_disp_error (m),Iter_39_rot_error (rad),Iter_40_disp_error (m),Iter_40_rot_error (rad),Iter_41_disp_error (m),Iter_41_rot_error (rad),Iter_42_disp_error (m),Iter_42_rot_error (rad),Iter_43_disp_error (m),Iter_43_rot_error (rad),Iter_44_disp_error (m),Iter_44_rot_error (rad),Iter_45_disp_error (m),Iter_45_rot_error (rad)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-2.3287359521667437e-05,3.96404719832801e-05,3.056131112668164e-05,-5.21533651904003e-05,-4.44468160760997e-06,7.622668423742488e-06,-2.7275624088438777e-06,4.675172216250601e-06,-1.7882676862917586e-06,3.0638401468662885e-06,-1.1617131413520476e-06,1.989440270396599e-06,-7.517541196482481e-07,1.2867175520521917e-06,-4.853732537577721e-07,8.302746199077716e-07,-3.1007293681423274e-07,5.300121727999758e-07,-1.9265682007342032e-07,3.2898104386188694e-07,-1.1397381290021684e-07,1.9433423345839933e-07,-6.283583030608109e-08,1.0688284622502993e-07,-3.1665961322628634e-08,5.3631106068908803e-08,-1.4306625415768041e-08,2.401986522142099e-08,-5.577858752160532e-09,9.1709818075046e-09,-1.6341334814486098e-09,2.498127930669362e-09,-9.122985774839793e-11,-7.867615708019496e-11,3.3179891458780955e-10,-7.494524491555e-10,2.932368230515888e-10,-6.391450915314456e-10,1.4158364954422283e-10,-3.4362667651980143e-10,3.6019917398836783e-11,-1.3516531077277245e-10,-2.616876052891705e-12,-4.8623554337256275e-11,-8.87210492535518e-12,-2.3144717101315032e-11,-6.75877193347449e-12,-1.5671354947716546e-11,-3.993650357381759e-12,-1.1735068102565923e-11,-2.240303212039385e-12,-8.1439945324573e-12,-1.3803546932763405e-12,-5.107979707949712e-12,-8.858265700416356e-13,-3.1853433867989836e-12,-5.606906955664772e-13,-2.037448173845086e-12,-3.430639180327928e-13,-1.2506631515521516e-12,-1.9540823765953202e-13,-7.140271566663745e-13,-1.10906432590496e-13,-3.968084487507417e-13,-5.752691219232061e-14,-2.4831536820654017e-13,-4.277401060098448e-14,-1.364037182600385e-13,-2.0459030943589503e-14,-8.162573037232026e-14,-9.752501879526677e-15,-4.52911281400656e-14,-2.8685960840057773e-15,-3.0520250180248126e-14,-5.816475722423978e-15,-1.2755183649659725e-14,-4.5400389990426365e-15,-5.238609781714156e-15,4.242769398071951e-15,-1.4209242282107787e-14,-5.461186058632267e-15,4.149947398426207e-15,-1.434516788261517e-15,-1.310488930168622e-15,-2.406289313042643e-16,-2.620601936527341e-15,-8.62855099192537e-16,-9.42652061450115e-16,-2.0785117028942254e-15,1.4469449850592242e-15
0.1,-0.00021702555436756637,0.00032975558430175763,0.00018096311105226907,-0.00025401297107148713,1.7232770110151736e-05,-3.716073169268667e-05,6.254464094906451e-06,-1.5376727537695802e-05,2.23905135926507e-06,-6.868065769693012e-06,3.5952304228867397e-07,-2.5625515265799333e-06,-4.254817937458192e-07,-5.095332161900786e-07,-6.812420361254989e-07,3.8653290943154155e-07,-6.969785655517322e-07,7.126536256344003e-07,-6.09050890213112e-07,7.602882403886558e-07,-4.818788272981971e-07,6.731782045873698e-07,-3.4990761078770687e-07,5.299108924708342e-07,-2.3379376617882626e-07,3.792506084376656e-07,-1.4412640020498374e-07,2.502848326968362e-07,-8.219069940657334e-08,1.5440320092383292e-07,-4.297097677676226e-08,8.974585039859195e-08,-1.9743977792547305e-08,4.8871182041786186e-08,-7.0394190795610096e-09,2.4537369373999634e-08,-1.0922992352803353e-09,1.1396464381083823e-08,8.496043495129029e-10,5.3765165050102814e-09,9.656974251563786e-10,3.0843385118482043e-09,6.496176880926505e-10,2.164841196510372e-09,3.985558429104143e-10,1.5992225588630721e-09,2.4824881083088113e-10,1.1442410870806524e-09,1.562955280741971e-10,7.654538746419822e-10,9.712484884004304e-11,4.742152638588038e-10,5.874115829981787e-11,2.820648580562036e-10,3.546518442554833e-11,1.7053752653746132e-10,2.1765502615023798e-11,1.0468862463117873e-10,1.2850096888525429e-11,6.164481737027348e-11,6.996986350775794e-12,3.351974866292254e-11,3.5796284217500494e-12,1.8158994110912402e-11,2.2216071891194636e-12,9.976631703384996e-12,1.2181543073514975e-12,5.912005517842538e-12,6.28461204518066e-13,3.1879919168940896e-12,2.99180080395086e-13,1.6797353709786106e-12,1.8817465760514324e-13,9.171488709550785e-13,1.931202322624087e-13,4.280247759957251e-13,-3.807587925508393e-14,5.30830940185037e-13,1.471511443511958e-13,-2.8107616061034957e-14,1.1822845220194056e-14,1.4561007293575207e-13,-2.2110236547450562e-14,1.0676487092412673e-13,5.632498048697976e-14,5.176534114553766e-14,8.25656546171033e-15,6.339574048011554e-14,5.6698284847493674e-15,-1.5394085203616903e-14
0.15000000000000002,-0.0008079906736359137,0.0010203329241587427,0.0003884169900197207,-0.0003621734129521507,0.00015452339366681938,-0.00022753875839882183,8.78274713324236e-05,-0.0001350480268421841,5.442129496084535e-05,-8.619048989881139e-05,3.339523419721257e-05,-5.4353701659334516e-05,2.0360623615310976e-05,-3.399373521127398e-05,1.2323308756285442e-05,-2.1075929271113466e-05,7.307802669588906e-06,-1.2794448716770229e-05,4.13593980600472e-06,-7.414536275760744e-06,2.1489825640456364e-06,-3.946025914500803e-06,9.648596077598643e-07,-1.8088249494122282e-06,3.266236554187675e-07,-6.072984057509719e-07,3.4464403458607344e-08,-2.3645546057184802e-08,-6.627289543558769e-08,1.9977220240660794e-07,-7.864190547710427e-08,2.438116834959465e-07,-5.877419490489923e-08,2.1276702088092285e-07,-3.2635178714356073e-08,1.5820395050383188e-07,-1.1405670629233708e-08,1.0467651699510444e-07,8.801116762463534e-10,6.387157897632528e-08,5.110883738549147e-09,3.8536925190237395e-08,5.026928090722535e-09,2.4684178436397246e-08,3.788203787279381e-09,1.6808223711408006e-08,2.6007398598528082e-09,1.1595340634819491e-08,1.6757787238484527e-09,7.721447621263436e-09,1.029600699294607e-09,4.833183950931838e-09,6.176099740949539e-10,2.907590679075006e-09,3.7658645746598864e-10,1.766014942681908e-09,2.3256842288034603e-10,1.0911021846226818e-09,1.379389222473399e-10,6.465388648719747e-10,7.670873612415467e-11,3.523949806006482e-10,3.955302925462423e-11,1.924496335946671e-10,2.3644211805465276e-11,1.0803461174702794e-10,1.3545494505782033e-11,6.411932367434564e-11,8.15735489139574e-12,3.288906050714219e-11,2.0936707771125607e-12,2.0175742695451027e-11,2.9959888194451556e-12,9.455779909073314e-12,1.732166900149032e-12,4.673556788965805e-12,-7.579567941166931e-14,5.277782768112194e-12,5.44892608681305e-13,1.944954397190002e-12,1.065547064645067e-12,-6.418856331874556e-14,5.539815839134682e-13,-1.8548682555186158e-13,2.5175583731433526e-13,9.295652355495454e-13,5.595745221353976e-13,-5.826129509389766e-13,-4.090406127959384e-13,1.4235892195971211e-12
0.2,-0.0005490070013607137,-0.00031426722975088934,-0.0007459730984316505,0.001849859126017087,0.0003343142261179057,-0.0003060747469799765,0.00024016039022022265,-0.0002553244874553542,0.00017523707717226634,-0.00020094482626797916,0.00012541564818192337,-0.00015207897528635812,8.872120771516067e-05,-0.00011229252797662244,6.228204060110551e-05,-8.153663660789671e-05,4.318698711974816e-05,-5.8118311055865325e-05,2.9223745686384786e-05,-4.024922529862005e-05,1.9005166035223044e-05,-2.6683868305768868e-05,1.1710102323111662e-05,-1.667190122498852e-05,6.770411765260172e-06,-9.680089954205301e-06,3.6613527895271424e-06,-5.1546261325649025e-06,1.8499549049969484e-06,-2.45678871078122e-06,8.62664326346449e-07,-9.665096739560654e-07,3.560327268264517e-07,-2.0668575586050772e-07,1.1886447118591379e-07,1.284693442529794e-07,2.852680778631187e-08,2.2345163887141709e-07,8.714610889462386e-09,1.9993081879637886e-07,1.1012845846209937e-08,1.422567335669818e-07,1.3109203261472675e-08,9.39196541649423e-08,1.1705365345996983e-08,6.242770145400631e-08,8.88962902957966e-09,4.189670425739159e-08,6.0101241292363815e-09,2.7498022119303717e-08,3.725695756952047e-09,1.7205726845440777e-08,2.2172488479236543e-09,1.043258950582382e-08,1.359809541958681e-09,6.360577797532435e-09,8.380328220784642e-10,3.9541221564382e-09,5.030838111955106e-10,2.3490559527931942e-09,2.7847520447097426e-10,1.2853167597089155e-09,1.493740528539728e-10,6.970401760127143e-10,8.550244185085744e-11,4.0106135339862403e-10,4.63135557872028e-11,2.447257947506276e-10,3.2499791384834904e-11,1.2620590336687165e-10,8.95927274968504e-12,7.065036706707661e-11,1.303621629861109e-11,3.564816497547696e-11,4.644332071972613e-12,1.6264749096162046e-11,2.0077382275164937e-12,1.1790604517031289e-11,-7.102873654908984e-13,1.6072348747037113e-11,4.04003417634087e-12,-1.985907532170428e-12,2.1873645337502565e-12,-1.0875523571984846e-12,1.4673424151082082e-13,5.637324808349664e-12,5.889710309628197e-13,-6.252541887019625e-13,2.4638623525316886e-12,1.8434424993440945e-12
0.25,0.0049757964020820614,-0.008920134549893863,-0.005105554377771149,0.0071780859709889705,-0.0005349051099901349,0.0014036129731410038,-0.00016774016626089632,0.0006538067165077523,-2.8441269982616268e-05,0.0003234399828857164,3.5907024351942074e-05,0.00013960580689432404,6.006625609231522e-05,4.2247257527165856e-05,6.418832943792113e-05,-6.158787249734184e-06,5.9103822052274796e-05,-2.793018981428301e-05,5.0089210068926136e-05,-3.519058635854857e-05,3.974022250053007e-05,-3.437554113446938e-05,2.9573714418585674e-05,-2.926288198300698e-05,2.0627019960668376e-05,-2.2446217980948147e-05,1.3513871541694002e-05,-1.575587284621295e-05,8.352883769204185e-06,-1.0223215687116781e-05,4.862649618032119e-06,-6.130954198070408e-06,2.6161138669061283e-06,-3.319266451091117e-06,1.2443346140474792e-06,-1.51592090057856e-06,4.857911582588532e-07,-4.843184263827321e-07,1.403984953908012e-07,-1.3657732731223171e-08,2.831741333737467e-08,1.1912933238315826e-07,7.964803991258179e-09,1.1372810021850754e-07,7.778231667912236e-09,8.10852626076039e-08,8.088808173614681e-09,5.329468296278589e-08,6.6759333317532865e-09,3.361563217108704e-08,4.490285560694238e-09,2.0581208646196225e-08,2.6754437536941067e-09,1.2586571613952546e-08,1.631367719081081e-09,7.780410864188791e-09,1.0155993227390497e-09,4.8693243881459125e-09,6.087383481404723e-10,2.9342473277516046e-09,3.41869348802204e-10,1.5974657447542784e-09,1.87089463929771e-10,8.808714938024487e-10,1.0157918364957219e-10,5.178378229692138e-10,5.584117022949808e-11,3.171362651654963e-10,5.42010551024541e-11,1.695578677463061e-10,7.383447585967984e-12,9.640170432756445e-11,2.5316297886171513e-11,4.9770454250974705e-11,-9.074575075748714e-12,2.3757232292531683e-11,1.4066088571684787e-11,-7.285037156856689e-12,4.219557429158138e-12,2.1667959093640832e-11,-3.935593821322025e-12,9.301309722431483e-13,-9.438789810509163e-12,1.4659632882607632e-11,-3.169071342151719e-12,1.64107581690498e-11,-4.146886826983387e-12,-1.4429359616874304e-11,1.609286337002358e-11,1.0584204519770157e-11
0.30000000000000004,0.017141577790313382,-0.02041938693932566,-0.008407112983664974,0.006004896493626414,-0.0034480551912226586,0.004738840943433024,-0.002055127545875215,0.0030579042366115808,-0.0013115957236760328,0.002072125380820287,-0.0008227589740141591,0.0013816515035691972,-0.0005079801741289117,0.0009102484773442705,-0.00030759845833549983,0.0005927896433229155,-0.00017935791559663735,0.00037776691980835825,-9.677389505054722e-05,0.00023053819470788867,-4.4574232963163e-05,0.0001304282971330104,-1.3683051743685302e-05,6.510255188528502e-05,2.2544830672460714e-06,2.5873155574822923e-05,8.491549276747577e-06,5.170035914656645e-06,9.34592366231158e-06,-3.830606164425317e-06,7.824637156015474e-06,-6.442012171310025e-06,5.607002151332419e-06,-6.043844942527142e-06,3.4821713671947044e-06,-4.480999885991669e-06,1.8090337188135172e-06,-2.738110960161591e-06,7.322535617070372e-07,-1.362306209928485e-06,2.0382304425671516e-07,-5.564406781078009e-07,2.0929386174671494e-08,-2.0690102028072914e-07,-1.8810800056501265e-08,-8.566883980660155e-08,-1.8166006403134982e-08,-4.588543423076751e-08,-1.0482313240502139e-08,-3.038779632601445e-08,-5.093822528709491e-09,-2.0734210110125162e-08,-2.6812595243022597e-09,-1.2919008631102902e-08,-1.6834126453924014e-09,-7.704589968077734e-09,-1.0099441638891649e-09,-4.73677149500501e-09,-6.534074436029269e-10,-2.6778893178446006e-09,-3.6040860400265995e-10,-1.4758423630325396e-09,-1.611968249853879e-10,-8.072349755869693e-10,-1.1065986234987113e-10,-4.408863552018971e-10,-7.13861036255592e-11,-2.2116781377232858e-10,3.1644799627916775e-11,-1.7563068664336323e-10,-3.32098454638996e-11,-7.268727199999381e-11,-2.4260091331662625e-11,2.990772365006611e-11,-5.012424589972975e-11,-2.1480761397060788e-11,3.82780491331447e-11,-7.07416198102856e-11,2.06742817310257e-11,-9.642087692510182e-12,-1.8597341548687307e-11,-3.270151510692543e-11,-4.8234173599670527e-11,8.004047489899857e-11,-2.0239395229215695e-11,4.530590692105457e-11,-2.6894330512616804e-11,-4.893734473643968e-11,4.8395142060453367e-11,2.313818440232568e-11
0.35000000000000003,0.025585969021829982,-0.017313432515958856,-0.002121175635500268,-0.0078847570375033,-0.004778758387744324,0.0025692041684245975,-0.0036477114827444083,0.002794037143238788,-0.0027806428538849817,0.0025017472846116627,-0.0020691608487483516,0.0020861605144997693,-0.0015147839682314451,0.001665792808879114,-0.0010955465570536612,0.0012925373752374868,-0.0007797259699826847,0.0009778059011605403,-0.0005398851027020434,0.0007168496845652902,-0.0003580758868732912,0.0005035935961732237,-0.00022383615125860616,0.00033478762171404615,-0.00012997658388991772,0.0002083942276171081,-6.918261067426039e-05,0.00012054008407493856,-3.300508908733214e-05,6.413294034421715e-05,-1.316793926007219e-05,3.0394490069694455e-05,-3.238711645404957e-06,1.1515892775752767e-05,9.510842759307553e-07,1.9871235526752046e-06,1.9569771504517053e-06,-1.7641150230254116e-06,1.4941703862254158e-06,-2.2943840761648765e-06,7.409697323126213e-07,-1.5934111442395676e-06,2.485939787945368e-07,-8.646588260489974e-07,3.778951678662379e-08,-4.3561401799271926e-07,-2.6172441044275407e-08,-2.238323555999594e-07,-3.1107344464209596e-08,-1.2342135387310993e-07,-1.9675444553127197e-08,-7.491846740030617e-08,-1.021331598634323e-08,-4.737608661799231e-08,-6.1243035920366395e-09,-2.933950447175926e-08,-3.6902702265501075e-09,-1.8452682855676916e-08,-2.3393952140043917e-09,-1.0841692909754896e-08,-1.4138544432440447e-09,-5.864564195379174e-09,-6.458927004349135e-10,-3.2643677032317964e-09,-3.775087447505099e-10,-1.918561866667834e-09,-2.9946041653350353e-10,-9.341054301587048e-10,3.802291814736236e-12,-7.347834320159397e-10,-4.730422303866888e-11,-4.513756261120827e-10,-1.9596426217849405e-10,9.711947739077242e-11,-1.169930922972906e-10,-2.771899203224404e-11,8.025051283222506e-11,-1.7071472707685942e-10,2.234462094519163e-11,-5.938242779446323e-11,4.3056775159144856e-11,-1.7462676617230333e-10,-2.0347772078377346e-11,6.778090935743997e-11,-3.766538296534616e-11,9.50694627188664e-11,-9.836219339032226e-11,-4.643070650178771e-12,1.5042706663637162e-10,-6.416484878146722e-11
0.4,0.02125896739438683,-0.001225254739964765,0.00783422905513614,-0.013369145824124466,0.00012499245561957764,-0.006396901527242333,-0.0011142988739886103,-0.003132109129738967,-0.0014950968990152143,-0.0014290599628171002,-0.001556883487170778,-0.00039324822146126134,-0.0014493753121804405,0.00018506457431935117,-0.0012674269828770249,0.00047206097351708276,-0.0010620108942590509,0.0005847723664193505,-0.0008563051792705688,0.0005942579224491526,-0.0006617022648688839,0.0005416808779459895,-0.00048667377161862313,0.0004540224973303038,-0.0003388044764512689,0.0003527279766381078,-0.00022287619321659236,0.00025529665658338696,-0.0001385628617128383,0.00017299249433376865,-8.087430499375409e-05,0.00010961416639035382,-4.315944951046452e-05,6.378391017141868e-05,-1.9782767067880874e-05,3.253148223506322e-05,-6.758420514948321e-06,1.3205896530088523e-05,-9.554250178823998e-07,3.306104566169754e-06,6.455025060442265e-07,-2.79583197870803e-07,6.083839686026049e-07,-8.609278537956289e-07,3.020863211036784e-07,-6.101905683439379e-07,9.499195223472423e-08,-3.170608983971146e-07,3.3993573199386784e-09,-1.346643816908799e-07,-1.6075623235356495e-08,-5.549588485628809e-08,-9.218709271646697e-09,-3.212159318047303e-08,-4.457793009726707e-09,-2.1813150948707394e-08,-2.5587553222072845e-09,-1.4042807892217235e-08,-1.5732059231721163e-09,-8.527474486957898e-09,-1.2032942559025983e-09,-4.5879479763921704e-09,-4.316911550450442e-10,-2.623742383078831e-09,-1.764056713204898e-10,-1.6831780483284042e-09,-2.9984066618471417e-10,-6.179465099342973e-10,8.474888846254913e-11,-6.804109636826539e-10,-5.837535663189009e-11,-3.641589599312489e-10,-3.3254301395890806e-10,2.550461127015513e-10,-1.256050298492628e-10,2.166422596872053e-11,4.0102907106209784e-11,-1.070994855301155e-10,1.2382593908566442e-10,-3.145558570560869e-10,1.570209795520583e-10,-2.8737299345715783e-10,5.7716189466594514e-11,8.015847707820711e-11,1.1606245131634552e-10,-8.725396447029077e-11,-3.05262665839523e-10,3.4722650102403385e-10,3.515559926503542e-10,-3.0442407622510714e-10
0.45,0.013124083058831327,0.00436165610193269,0.007534125763869665,-0.001093100229492286,0.005087659247168443,-0.006584892954767663,0.003190481766006101,-0.0057100657335778585,0.0019298995452432695,-0.004516902591286995,0.0010119335479429475,-0.0033507447590677003,0.0003901080016344774,-0.0023576528146403916,-4.245065367367712e-06,-0.0015759955561800917,-0.0002387454438742484,-0.0009837798625147373,-0.0003632156233437864,-0.0005445776692738491,-0.00040950614418584774,-0.00023013843303464065,-0.00039942612866035454,-2.1624650949708668e-05,-0.0003518449551128816,9.746186337512841e-05,-0.00028518917765693944,0.00014720152836122935,-0.00021528112536907396,0.00015098879434425477,-0.00015214054462519763,0.0001300814578825693,-9.98323629813544e-05,9.924682870925822e-05,-5.916219448978688e-05,6.713952249608884e-05,-3.010402162989534e-05,3.9059971663098214e-05,-1.2177439895597747e-05,1.8539514555451775e-05,-3.4345085910235384e-06,6.716743075889375e-06,-3.5957998770208555e-07,1.6390400542562467e-06,3.080883857857486e-07,5.989784143678456e-08,2.696458879201946e-07,-2.2030634084374556e-07,1.156785004348404e-07,-1.3307058516903725e-07,1.923096104236577e-08,-2.414293672620138e-08,-2.355073677740016e-09,9.021975368173063e-09,-7.600523752038235e-10,6.1104098170172705e-09,4.932090742759687e-10,2.415306878111867e-09,5.335542598017273e-10,1.13872940937787e-09,-9.274967946448776e-11,5.480461362505906e-10,3.139783780192751e-10,-4.604108760908332e-12,1.3226664902221685e-10,1.475305017040185e-10,2.046342678641011e-10,-6.077072178811704e-11,3.06970802943507e-11,1.8361163284241755e-10,-1.537548040275727e-10,1.2244315977794074e-10,-2.3356593742418497e-10,1.364262661174287e-10,-9.445429854926246e-11,1.6498456073543721e-10,-9.407839091091219e-11,-7.993536388362088e-13,2.844831800685732e-10,-4.2531985572358266e-10,1.6147142997691155e-10,-2.2215485007137659e-10,1.8628008510712668e-10,-1.0465635302825405e-10,4.319736200686375e-10,-4.28188241807792e-10,-4.015497101494958e-10,4.438973563725135e-10,3.8969586238501996e-10,-2.360024120573456e-10
