Time (s),Iter_1_disp_error (m),Iter_1_rot_error (rad),Iter_2_disp_error (m),Iter_2_rot_error (rad),Iter_3_disp_error (m),Iter_3_rot_error (rad),Iter_4_disp_error (m),Iter_4_rot_error (rad),Iter_5_disp_error (m),Iter_5_rot_error (rad),Iter_6_disp_error (m),Iter_6_rot_error (rad),Iter_7_disp_error (m),Iter_7_rot_error (rad),Iter_8_disp_error (m),Iter_8_rot_error (rad),Iter_9_disp_error (m),Iter_9_rot_error (rad),Iter_10_disp_error (m),Iter_10_rot_error (rad),Iter_11_disp_error (m),Iter_11_rot_error (rad),Iter_12_disp_error (m),Iter_12_rot_error (rad),Iter_13_disp_error (m),Iter_13_rot_error (rad),Iter_14_disp_error (m),Iter_14_rot_error (rad)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-6.992889807531453e-06,1.0873120142163605e-05,2.4841913369738704e-06,-3.887780418494832e-06,-5.820634691696389e-07,9.126952219192223e-07,-4.728644525746521e-08,7.378429694992687e-08,-3.987336255007417e-09,6.090998863020513e-09,9.712467774057354e-10,-1.5793799287096498e-09,3.060365545309782e-10,-4.983050072966894e-10,1.4089823247171449e-11,-2.8830284120048284e-11,-6.973509241067733e-12,8.449999592934812e-12,2.1741766076911685e-13,-1.1685432262918518e-12,1.307798325776504e-13,-4.702206167432252e-13,-4.482172672701538e-14,-8.932043068980154e-15,-2.7958592472426824e-15,-1.7226431344347136e-14,1.674295298486738e-15,-8.697075957358243e-15
0.1,-7.09993956401358e-05,0.00010002625472008156,1.1901235191984594e-05,-1.4694795765570672e-05,-7.123629212349913e-07,2.1229072658687873e-07,-3.60021459681637e-07,4.939467392091611e-07,-8.77979450608575e-08,1.3321810662784463e-07,-1.091743629741816e-08,1.948734192823388e-08,4.771961126690482e-10,1.0297760474203832e-10,3.472515461077708e-10,-3.6857559479507376e-10,9.35860824870672e-12,3.0249569464417016e-11,-7.12532576073021e-12,2.923677979945784e-11,1.5787332446654152e-12,3.3064120424875984e-12,2.484609130308339e-13,1.242214244336938e-12,-4.124097032843013e-14,4.896434142474468e-13,-1.664517319550224e-14,1.7940796146875132e-13
0.15000000000000002,-0.0003086443341268692,0.0003773784029344181,1.530066183291583e-05,-6.72252722651789e-06,5.026620900247926e-06,-8.462214795573026e-06,-1.3549693958140154e-07,-2.7550354907525994e-07,-1.926447537399685e-07,1.8829406426982068e-07,-6.533189050031895e-08,9.431783312002784e-08,-9.323634392213558e-09,1.9327526279292254e-08,3.0000589111480597e-10,1.7753269180263709e-09,3.0516191488897185e-10,1.6208297150179657e-10,-5.34214783954462e-12,1.9570084279236372e-10,4.73429943251974e-13,6.467429586667905e-11,4.185735417126801e-12,1.2825241302999446e-11,-8.287858246913693e-15,4.4816665569630265e-12,5.31421261162901e-13,4.78089789979208e-13
0.2,-0.0004412584086097137,0.00025539342567327487,-9.320690924479575e-05,0.00016420031615033658,2.551558514540884e-05,-3.154491947400615e-05,3.97114384399766e-06,-6.0457375782824e-06,6.162273237151315e-07,-1.1297229081850234e-06,-2.5348140203149128e-08,-1.9193864690767587e-08,-3.399491528771961e-08,5.352503728260627e-08,-5.562811695222075e-09,1.5096671523127936e-08,5.994118167313225e-10,1.765310660671593e-09,1.9121281120970668e-10,4.1642884930290225e-10,-1.0243177616872656e-11,2.4515729463853164e-10,1.1757657564573365e-11,5.7012407815582034e-11,-2.1689114263270803e-12,1.6179146997835625e-11,3.3561451144234478e-12,-9.624068035563038e-13
0.25,0.0010755335325957883,-0.0021942744562810567,-0.0003939972506593405,0.000466702564027548,1.9453984196445375e-05,6.331271501119375e-06,1.1715553078243284e-05,-1.203206241212531e-05,3.5691688336489174e-06,-4.448786462962241e-06,6.491793293021946e-07,-9.775544556507587e-07,2.6972870878342638e-08,-7.203898994175006e-08,-1.5892095852287035e-08,2.2985310609707765e-08,-2.3454472075461197e-09,6.913637484555479e-09,5.957047896957245e-10,1.8681225056466078e-10,4.68106956192163e-11,1.85713589472003e-10,-6.1117043500744095e-12,9.585362191477653e-11,-1.1733262744641898e-11,2.7385275470914738e-11,1.338060359127452e-12,-8.350193800299444e-12
0.30000000000000004,0.005568427665371875,-0.006876496551297056,-0.0004019050809426373,7.85088427812412e-05,-0.00011264617716290858,0.00019149461406865308,-2.4685860113039804e-06,1.9303374564762915e-05,3.483025988540618e-06,-4.718710523263399e-07,1.7379206873752162e-06,-1.7686621394796126e-06,3.768670881112296e-07,-5.513011909375354e-07,2.263207334127909e-08,-6.549480879164404e-08,-9.40284282033299e-09,7.563625374022026e-09,-5.308142233054203e-10,6.286367335971849e-10,3.3354328240337017e-10,-7.357498601253537e-10,-4.984391979018232e-11,-4.125674563267012e-11,-3.9075412176792224e-11,2.3013637870383796e-11,-1.3835876888634857e-11,-1.1854477469097624e-11
0.35000000000000003,0.010232017659163964,-0.008191567454025061,0.0006846627873271678,-0.0014909828915794527,-0.00026272076784638124,0.00023225384928433034,-6.192564660063501e-05,8.64518272412889e-05,-1.2615739881045862e-05,2.27884558347477e-05,-3.719800170318144e-07,2.708412132389551e-06,6.219833411647002e-07,-4.832168472180404e-07,1.7411565062658285e-07,-2.5633766146011816e-07,3.338761305621274e-09,-2.7921716685280762e-08,-5.344155853959087e-09,4.117362794459067e-09,2.489575177955228e-10,-9.005744743689759e-10,8.72211573799131e-11,-4.899848322220679e-10,-4.379600154758023e-11,-2.4820241348311178e-11,-9.163157732583471e-11,9.304920028929686e-11
0.4,0.010484672034410211,-0.0034770770367570647,0.0022224325894999765,-0.002324190905949798,-4.7392168262105905e-05,-0.0002565735499906012,-8.643737302068202e-05,4.493613500456545e-05,-3.4860729025663895e-05,3.3979485351949557e-05,-8.543617295367345e-06,1.1864601177583728e-05,-7.925656891859256e-07,1.9435025777128634e-06,1.9916125646238236e-07,-7.605371335484001e-08,6.772199450180705e-08,-1.0107547302948272e-07,-5.063037010477611e-09,-1.5090937076356337e-09,-1.8434014037449487e-09,2.489159149632325e-09,4.1600644457018277e-10,-6.106861093202465e-10,9.037559936531103e-11,-2.5035575695886436e-10,-2.798402273795908e-10,3.7779085762523756e-10
0.45,0.0075931251776678935,0.00039169242171305935,0.002513427551687583,-0.0010474536255036457,0.00043958873520035663,-0.0006464691326954833,3.3614363902263744e-05,-0.0001494305691815967,-1.629137378431761e-05,-1.934454340732361e-05,-1.2579571765564124e-05,7.374515129068837e-06,-3.828380903181383e-06,4.535563362002837e-06,-4.633080223845343e-07,9.411709909132315e-07,9.19370422430843e-08,-4.1874108409889477e-08,2.0997812426315487e-08,-3.673032503842544e-08,-3.66961092068685e-09,3.016021259127921e-09,-1.3492920669655462e-10,8.856796407386014e-10,2.7157750354112054e-10,-4.81851954170498e-10,-3.850242624725553e-10,5.10870623582349e-10
0.5,0.005650566772750117,0.0003966933715086815,0.0018692641588909653,-6.363216151707152e-05,0.0005588089662117574,-0.0002676540040279507,0.00018051551020367013,-0.0002029761282261247,4.645843908029218e-05,-8.183427082875117e-05,2.1379655054040714e-06,-1.7783296093358547e-05,-3.628219355580886e-06,4.7264535654734097e-07,-1.4541103367585184e-06,1.5028056591370742e-06,-1.396133596093252e-07,3.2082209448780485e-07,4.995543321367757e-08,-4.434599892161328e-08,5.165729115297335e-09,-1.2802613538753782e-08,-1.7345606825869275e-09,2.2236540248021797e-09,-3.596042907894059e-11,2.2527719273357505e-10,-1.8424343994905001e-10,1.9163331338445388e-10
0.55,0.004136739740052957,0.0013041561145749475,0.0016476646686798754,-0.0003495799049900161,0.0003896223005444219,-7.058530942662122e-06,0.00017467898790015507,-4.5842120456232593e-05,7.849218802447738e-05,-5.460212452168545e-05,2.3637597216519257e-05,-2.949077273091405e-05,2.9159815747026308e-06,-8.194192003430079e-06,-9.302116708298502e-07,-4.4254738565396856e-07,-4.880852664465585e-07,5.159013742594976e-07,-1.3413954724761368e-08,8.294547244186434e-08,2.1555439946863153e-08,-2.4944039674068552e-08,6.469346378046303e-10,-3.6807157668961032e-09,-1.3125819528503335e-09,1.9690292521468145e-09,4.989807178557015e-12,3.954628985392006e-11
0.6000000000000001,0.0017646632910171337,0.003001699058598685,0.001465989107630284,-4.184282115544946e-05,0.000418112386244323,-0.00020465317754170959,0.0001343299457445754,-2.6828165224562772e-05,6.318743470001484e-05,-9.25544801129441e-06,2.759727444744467e-05,-1.2413025791913057e-05,8.974491511479221e-06,-8.827571484036623e-06,1.4511317373774868e-06,-3.0176369625531385e-06,-3.082997183795344e-07,-1.5206652654448094e-07,-1.5379885258751114e-07,1.982193994984338e-07,6.572276445293568e-09,1.8068672717752587e-08,9.356486019990173e-09,-1.2887741686340437e-08,-1.5486689500243678e-09,6.228094151516927e-10,-4.17374454442232e-10,6.862954579633929e-10
0.65,-0.0007504783346817395,0.003922959939769981,0.0009502506367789834,0.000432210020320907,0.00042684647952509827,-8.433877395432748e-05,0.00016396521580625684,-8.542062723075616e-05,6.350257355752786e-05,-2.8612553866547152e-05,2.3027845709202438e-05,-5.618858885232669e-06,8.78541554539744e-06,-2.7984852175311214e-06,2.9615265032083282e-06,-2.383020952352599e-06,4.366033710540007e-07,-9.242067353296135e-07,-1.3403280203425072e-07,4.1786486770778453e-10,-4.5978048097972124e-08,7.111903135154085e-08,8.73010884416825e-09,-7.892178299773178e-10,2.3401585287630144e-09,-5.35067772033937e-09,-9.511671242301567e-10,7.772388982418832e-10
0.7000000000000001,-0.0031761359663403793,0.004711127324700165,0.00040851631980109646,0.0006565595388117323,0.00032437657542841794,2.3046789881239066e-05,0.00015213108012965618,-1.497600864619128e-05,7.287714572225615e-05,-2.7717527375511336e-05,2.69698540877987e-05,-1.4008497458032482e-05,8.241392659581043e-06,-3.200379451229196e-06,2.6464826020713983e-06,-6.871995844523471e-07,8.035386637531006e-07,-5.83107556809126e-07,8.893729562878261e-08,-2.600773213908003e-07,-4.8783704909016734e-08,1.028258170623908e-08,-1.065494669230671e-08,2.402095078055111e-08,4.8974140715030146e-09,-3.694695646649926e-09,1.8568463086565679e-10,-1.3875775979610427e-09
0.75,-0.004219654468731909,0.003249541851092951,-0.00035444394433213275,0.0012254030506616935,0.00026038869227662173,2.0750236180856058e-05,0.00011988618724490321,-2.1416477143272605e-06,6.120896645071816e-05,-1.9636341090749354e-06,2.8169038017045872e-05,-7.602377216173878e-06,1.0264016782744745e-05,-5.34788105617523e-06,2.861727445716347e-06,-1.49437313564163e-06,6.582411265169258e-07,-1.3056327881344476e-07,1.80035499194528e-07,-1.2377010204234207e-07,2.1849058656070452e-08,-8.044787450436908e-08,-1.6481320476782746e-08,7.079508722307448e-09,-1.8672938612018797e-09,8.409979088130903e-09,1.6807148502800962e-09,-1.492739914316088e-09
0.8,-0.0027952162161381626,7.301715753436563e-05,-0.0008939303116529719,0.001033948807594387,4.580333425259486e-05,0.00029640953227041966,9.08769200168788e-05,2.1588358415532832e-05,5.0045678216472864e-05,-1.5002201823495487e-06,2.322918545174732e-05,-1.1319939417324398e-06,9.982305828213842e-06,-2.044256256328314e-06,3.613609320931785e-06,-1.8161715611662854e-06,8.255665405586948e-07,-5.569206410205307e-07,1.0878473940927058e-07,1.6186785245508872e-08,4.265765608801875e-08,-2.460115776717342e-08,6.6872577111215525e-09,-2.7341481384501876e-08,-6.4408893166861825e-09,5.076751335292284e-09,-4.3495813374649916e-10,3.3670711739597348e-09
0.8500000000000001,-0.0006038581011811039,-0.0014318718032802769,-0.0006674241987863665,0.00015924081154294542,-0.00016339122461133358,0.00029886263576162433,2.6002365078204442e-06,0.00011887856732928359,2.6860128715291975e-05,2.7194964089104906e-05,1.8568691197640846e-05,1.025554278978602e-06,8.375871801890797e-06,-7.863108908781613e-07,3.3469312616819097e-06,-5.740786834726452e-07,1.0898771340781682e-06,-5.701607341569714e-07,1.8400522340186742e-07,-1.773271458005432e-07,9.718112550793911e-09,2.0551469109841847e-08,1.1577686490071848e-08,-3.946673078625285e-09,2.1118935662756133e-09,-1.0589581319470076e-08,-2.3222074905376866e-09,2.458631929991295e-09
