Time(s),Fb_Right_Filtered(N),Mb_Right_Filtered(Nm),Fb_Left_Filtered(N),Mb_Left_Filtered(Nm),Fb_Right_Raw(N),Mb_Right_Raw(Nm),Fb_Left_Raw(N),Mb_Left_Raw(Nm),Ext_Force_Body(N),Ext_Moment_Body(Nm),X_Num_Right_Interface(m),X_Exp_Right_Interface(m),X_Cmd_Right_Interface(m),Rz_Num_Right_Interface(rad),Rz_Exp_Right_Interface(rad),Rz_Cmd_Right_Interface(rad),X_Num_Left_Interface(m),X_Exp_Left_Interface(m),X_Cmd_Left_Interface(m),Rz_Num_Left_Interface(rad),Rz_Exp_Left_Interface(rad),Rz_Cmd_Left_Interface(rad),X_Body_COM(m),Rz_Body(rad)
0.000000000000000000e+00,1.194678746973088235e-01,1.139127237255545821e-01,7.629381846396164624e-02,7.267678021683482772e-03,1.212846131250509690e-01,1.152000000000000246e-01,7.761083864856535564e-02,7.900010471963498510e-03,4.501246882793017789e+02,5.004987531172069737e+01,0.000000000000000000e+00,1.842299999999994636e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.054500000000004436e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,2.460911592735559872e-01,2.167106477849715940e-01,1.385782962574605981e-01,7.012827162193939479e-02,1.492873313220641485e-01,1.784000000000000030e-01,8.568511116512145254e-02,4.990002687799442033e-02,4.372199251494733403e+02,4.750381026508353699e+01,1.180226734866068184e-04,1.842900000000000180e-03,1.178924719451253839e-04,5.106096268624120524e-05,7.888888219014369508e-04,5.088330749821351777e-05,6.696171080036561311e-05,1.054900000000003578e-03,6.700919353111585116e-05,5.106096268624120524e-05,7.888888219014369508e-04,5.088318758114083350e-05,9.249219214348621573e-05,5.106096268624120524e-05
5.000000000000000278e-02,3.204391273745471613e-01,3.178705957127542225e-01,1.840651144789616500e-01,1.428728309816078568e-01,2.027170097668389293e-01,2.608000000000000318e-01,1.110625355943902354e-01,1.205000003488822524e-01,4.268689105397496633e+02,4.565820534416518228e+01,4.686572770087654629e-04,1.855699999999998757e-03,4.680601555154030873e-04,2.021576492010704069e-04,7.941248096574198868e-04,2.013251446976681010e-04,2.664996278076950560e-04,1.066599999999993942e-03,2.667351608285447500e-04,2.021576492010704069e-04,7.976154681614085109e-04,2.013245438276018329e-04,3.675784524082302595e-04,2.021576492010704069e-04
7.500000000000001110e-02,2.975494194451805963e-01,4.060965014039520371e-01,1.968552108233141695e-01,2.264737026890288885e-01,3.782116914107683803e-01,3.775000000000000022e-01,2.313970088860403673e-01,2.006999999999999895e-01,4.190590495251834682e+02,4.469092631349712263e+01,1.045946690979356270e-03,1.975800000000006718e-03,1.044411638983593115e-03,4.499171069620007618e-04,8.447393579652554777e-04,4.477206463451232862e-04,5.960295840173553995e-04,1.124899999999996606e-03,5.966914262306804127e-04,4.499171069620007618e-04,8.412486994612668537e-04,4.477189804991069805e-04,8.209881374983558347e-04,4.499171069620007618e-04
1.000000000000000056e-01,1.535520193016813306e-01,4.590049757213524595e-01,1.669333454863876354e-01,3.094466570785281423e-01,3.032928179132886592e-01,5.024999999999999467e-01,2.342913152264579080e-01,2.997999999999999554e-01,4.135948393300211592e+02,4.472952377320435602e+01,1.845784117158006440e-03,2.427899999999994125e-03,1.842760332636488594e-03,7.926901625166922439e-04,1.038470904936625956e-03,7.882360510310358354e-04,1.053093954641314087e-03,1.319000000000002679e-03,1.054525237062296826e-03,7.926901625166922439e-04,9.861110273767961613e-04,7.882325679670280482e-04,1.449439035899660264e-03,7.926901625166922439e-04
1.250000000000000000e-01,-1.082799122860578778e-01,4.486147609020164628e-01,9.340667432301252848e-02,3.703257264530419590e-01,3.306258254344341396e-01,4.679999999999999716e-01,2.293315672762129276e-01,4.119999999999999774e-01,4.101216739291513136e+02,4.583900056739177842e+01,2.865910572650112384e-03,3.132400000000003931e-03,2.860858622376658000e-03,1.230730671649074874e-03,1.342158194783639284e-03,1.223045118988109591e-03,1.635179901001037293e-03,1.689199999999999643e-03,1.637815290417724955e-03,1.230730671649074874e-03,1.267109036947883108e-03,1.223038985958328946e-03,2.250545236825574839e-03,1.230730671649074874e-03
1.500000000000000222e-01,-4.635090231304204722e-01,3.514325439714215404e-01,-1.738676823947513106e-02,3.853202863059680405e-01,-1.321902517475610050e+00,3.690999999999999837e-01,-6.743456473807310503e-02,3.825999999999999401e-01,4.081590155386284096e+02,4.801379441140586835e+01,4.105791138743731909e-03,4.106800000000006799e-03,4.098307348283994345e-03,1.766236267437725199e-03,1.764527873766267132e-03,1.754436105165205163e-03,2.339554871306006277e-03,2.236900000000005637e-03,2.343874221221130087e-03,1.766236267437725199e-03,1.685988057426522331e-03,1.754426529493516643e-03,3.222673005024869093e-03,1.766236267437725199e-03
1.750000000000000167e-01,-8.823006748720125803e-01,1.572500882423955304e-01,-1.600402260435046242e-01,3.373111589574507296e-01,-8.579424541727103115e-01,2.215999999999999914e-01,-4.384033617978092545e-01,3.508999999999999897e-01,4.071406360985847073e+02,5.117469873105106615e+01,5.566386479289722050e-03,5.804299999999997482e-03,5.556347645220494763e-03,2.403262800592914639e-03,2.509783464367846065e-03,2.386778222295562156e-03,3.163123678696807412e-03,3.212599999999994713e-03,3.169573958523561920e-03,2.403262800592914639e-03,2.446951611296049964e-03,2.386764599474186857e-03,4.364755078993264731e-03,2.403262800592914639e-03
2.000000000000000111e-01,-1.342226281320276993e+00,-1.278941173270564946e-01,-3.384895237228197074e-01,2.219112055210266665e-01,-8.828509424467874123e-01,-2.187000000000000055e-01,-2.405459508825054382e-01,2.640999999999999459e-01,4.064592057585302314e+02,5.517107273290907443e+01,7.249838134185359641e-03,7.083600000000004129e-03,7.237548663310869670e-03,3.147532545760715894e-03,3.077015471266003003e-03,3.126347319009048584e-03,4.102305588424643747e-03,4.096900000000004878e-03,4.111207750720655314e-03,3.147532545760715894e-03,3.155555287605747803e-03,3.126329396196889706e-03,5.676071861305001694e-03,3.147532545760715894e-03
2.250000000000000056e-01,-1.828309749852453869e+00,-4.851808785307057947e-01,-5.654477231610388621e-01,4.803999270582259840e-02,-1.857866294784012773e+00,-4.834000000000000519e-01,-6.714405130346823292e-01,1.589999999999991767e-02,4.055122542481453252e+02,5.978828870153687092e+01,9.159087653193686424e-03,8.816299999999999137e-03,9.145411258029857021e-03,4.006153483345606739e-03,3.858922976159462597e-03,3.981019972431418946e-03,5.152934169848078817e-03,4.913200000000003849e-03,5.164399757539891132e-03,4.006153483345606739e-03,3.827507049623564764e-03,3.980998008227810275e-03,7.156010911520882187e-03,4.006153483345606739e-03
