Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Right
0.000000000000000000e+00,1.212846131250509690e-01,1.152000000000000246e-01,1.842299999999994636e-03,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.078601344865613154e-01
2.500000000000000139e-02,1.492873313220641485e-01,1.784000000000000030e-01,1.842900000000000180e-03,7.888888219014369508e-04,1.178924719451253839e-04,5.088330749821351777e-05,1.180226734866068184e-04,5.106096268624120524e-05,1.302015414814344883e-07,1.776551880276874742e-07,1.078601344865613154e-01
5.000000000000000278e-02,2.027170097668389293e-01,2.608000000000000318e-01,1.855699999999998757e-03,7.941248096574198868e-04,4.680601555154030873e-04,2.013251446976681010e-04,4.686572770087654629e-04,2.021576492010704069e-04,5.971214933623756292e-07,8.325045034023059211e-07,1.078601344865613154e-01
7.500000000000001110e-02,3.782116914107683803e-01,3.775000000000000022e-01,1.975800000000006718e-03,8.447393579652554777e-04,1.044411638983593115e-03,4.477206463451232862e-04,1.045946690979356270e-03,4.499171069620007618e-04,1.535051995763155042e-06,2.196460616877475656e-06,1.078601344865613154e-01
1.000000000000000056e-01,3.032928179132886592e-01,5.024999999999999467e-01,2.427899999999994125e-03,1.038470904936625956e-03,1.842760332636488594e-03,7.882360510310358354e-04,1.845784117158006440e-03,7.926901625166922439e-04,3.023784521517846116e-06,4.454111485656408499e-06,1.078601344865613154e-01
1.250000000000000000e-01,3.306258254344341396e-01,4.679999999999999716e-01,3.132400000000003931e-03,1.342158194783639284e-03,2.860858622376658000e-03,1.223045118988109591e-03,2.865910572650112384e-03,1.230730671649074874e-03,5.051950273454383633e-06,7.685552660965282515e-06,1.078601344865613154e-01
1.500000000000000222e-01,-1.321902517475610050e+00,3.690999999999999837e-01,4.106800000000006799e-03,1.764527873766267132e-03,4.098307348283994345e-03,1.754436105165205163e-03,4.105791138743731909e-03,1.766236267437725199e-03,7.483790459737564571e-06,1.180016227252003551e-05,1.078601344865613154e-01
1.750000000000000167e-01,-8.579424541727103115e-01,2.215999999999999914e-01,5.804299999999997482e-03,2.509783464367846065e-03,5.556347645220494763e-03,2.386778222295562156e-03,5.566386479289722050e-03,2.403262800592914639e-03,1.003883406922728705e-05,1.648457829735248265e-05,1.078601344865613154e-01
2.000000000000000111e-01,-8.828509424467874123e-01,-2.187000000000000055e-01,7.083600000000004129e-03,3.077015471266003003e-03,7.237548663310869670e-03,3.126347319009048584e-03,7.249838134185359641e-03,3.147532545760715894e-03,1.228947087448997028e-05,2.118522675166730970e-05,1.078601344865613154e-01
2.250000000000000056e-01,-1.857866294784012773e+00,-4.834000000000000519e-01,8.816299999999999137e-03,3.858922976159462597e-03,9.145411258029857021e-03,3.981019972431418946e-03,9.159087653193686424e-03,4.006153483345606739e-03,1.367639516382940235e-05,2.513351091418779271e-05,1.078601344865613154e-01
2.500000000000000000e-01,-2.367767343115316336e+00,-9.130000000000000338e-01,1.076949999999999436e-02,4.757767540936542507e-03,1.128391364126316541e-02,4.959851963669119693e-03,1.129745262598446341e-02,4.987258062137155286e-03,1.353898472129799746e-05,2.740609846803559319e-05,1.078601344865613154e-01
2.750000000000000222e-01,-2.946530836682727639e+00,-1.282899999999999929e+00,1.296399999999999809e-02,5.787511799613197228e-03,1.365702841659570399e-02,6.072561248478713924e-03,1.366818382401087557e-02,6.099560922638740113e-03,1.115540741517158374e-05,2.699967416002618803e-05,1.078601344865613154e-01
3.000000000000000444e-01,-3.207342749267372728e+00,-1.708700000000000108e+00,1.584439999999999460e-02,7.176793884200683045e-03,1.626824115979700822e-02,7.328939937518767940e-03,1.627402600703607705e-02,7.351835744655984585e-03,5.784847239068829916e-06,2.289580713721664496e-05,1.078601344865613154e-01
3.250000000000000111e-01,-3.761170673701284883e+00,-2.202200000000000379e+00,1.904510000000000577e-02,8.761552845011533544e-03,1.912010041590224071e-02,8.738227343465524571e-03,1.911680454055390832e-02,8.752328675508763700e-03,-3.295875348332394372e-06,1.410133204323912870e-05,1.078601344865613154e-01
