Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Left
0.000000000000000000e+00,7.761083864856535564e-02,7.900010471963498510e-03,1.054500000000004436e-03,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.055820741015780773e-01
2.500000000000000139e-02,8.568511116512145254e-02,4.990002687799442033e-02,1.054900000000003578e-03,7.888888219014369508e-04,6.700919353111585116e-05,5.088318758114083350e-05,6.696171080036561311e-05,5.106096268624120524e-05,-4.748273075023804780e-08,1.777751051003717358e-07,1.055820741015780773e-01
5.000000000000000278e-02,1.110625355943902354e-01,1.205000003488822524e-01,1.066599999999993942e-03,7.976154681614085109e-04,2.667351608285447500e-04,2.013245438276018329e-04,2.664996278076950560e-04,2.021576492010704069e-04,-2.355330208496939429e-07,8.331053734685739919e-07,1.055820741015780773e-01
7.500000000000001110e-02,2.313970088860403673e-01,2.006999999999999895e-01,1.124899999999996606e-03,8.412486994612668537e-04,5.966914262306804127e-04,4.477189804991069805e-04,5.960295840173553995e-04,4.499171069620007618e-04,-6.618422133250131956e-07,2.198126462893781365e-06,1.055820741015780773e-01
1.000000000000000056e-01,2.342913152264579080e-01,2.997999999999999554e-01,1.319000000000002679e-03,9.861110273767961613e-04,1.054525237062296826e-03,7.882325679670280482e-04,1.053093954641314087e-03,7.926901625166922439e-04,-1.431282420982738987e-06,4.457594549664195722e-06,1.055820741015780773e-01
1.250000000000000000e-01,2.293315672762129276e-01,4.119999999999999774e-01,1.689199999999999643e-03,1.267109036947883108e-03,1.637815290417724955e-03,1.223038985958328946e-03,1.635179901001037293e-03,1.230730671649074874e-03,-2.635389416687661940e-06,7.691685690745927659e-06,1.055820741015780773e-01
1.500000000000000222e-01,-6.743456473807310503e-02,3.825999999999999401e-01,2.236900000000005637e-03,1.685988057426522331e-03,2.343874221221130087e-03,1.754426529493516643e-03,2.339554871306006277e-03,1.766236267437725199e-03,-4.319349915123810169e-06,1.180973794420855580e-05,1.055820741015780773e-01
1.750000000000000167e-01,-4.384033617978092545e-01,3.508999999999999897e-01,3.212599999999994713e-03,2.446951611296049964e-03,3.169573958523561920e-03,2.386764599474186857e-03,3.163123678696807412e-03,2.403262800592914639e-03,-6.450279826754508339e-06,1.649820111872778161e-05,1.055820741015780773e-01
2.000000000000000111e-01,-2.405459508825054382e-01,2.640999999999999459e-01,4.096900000000004878e-03,3.155555287605747803e-03,4.111207750720655314e-03,3.126329396196889706e-03,4.102305588424643747e-03,3.147532545760715894e-03,-8.902162296011567610e-06,2.120314956382618812e-05,1.055820741015780773e-01
2.250000000000000056e-01,-6.714405130346823292e-01,1.589999999999991767e-02,4.913200000000003849e-03,3.827507049623564764e-03,5.164399757539891132e-03,3.980998008227810275e-03,5.152934169848078817e-03,4.006153483345606739e-03,-1.146558769181231507e-05,2.515547511779646361e-05,1.055820741015780773e-01
2.500000000000000000e-01,-6.477656393383143252e-01,-2.004000000000000226e-01,6.172300000000007295e-03,4.900884539600077611e-03,6.324072234240100433e-03,4.959826861881745305e-03,6.310194563847308993e-03,4.987258062137155286e-03,-1.387767039279143994e-05,2.743120025540998069e-05,1.055820741015780773e-01
2.750000000000000222e-01,-8.015684976015854390e-01,-4.125999999999999668e-01,7.158000000000001167e-03,5.777039824101231139e-03,7.584479614352657162e-03,6.072534648851308711e-03,7.568622901372135461e-03,6.099560922638740113e-03,-1.585671298052170053e-05,2.702627378743140130e-05,1.055820741015780773e-01
3.000000000000000444e-01,-1.868236018790943476e+00,-6.642000000000000126e-01,8.883200000000002552e-03,7.386233394440003090e-03,8.939315129137892849e-03,7.328914258825603052e-03,8.922190262380091594e-03,7.351835744655984585e-03,-1.712486675780125478e-05,2.292148583038153276e-05,1.055820741015780773e-01
3.250000000000000111e-01,-2.054912007827102371e+00,-8.284000000000001362e-01,1.004130000000000647e-02,8.520697408236316966e-03,1.038188777204292201e-02,8.738205785636853073e-03,1.036447586504514635e-02,8.752328675508763700e-03,-1.741190699777565853e-05,1.412288987191062661e-05,1.055820741015780773e-01
3.500000000000000333e-01,-2.235018160795146702e+00,-1.059899999999999842e+00,1.173560000000000575e-02,1.026079067247466330e-02,1.190535785478923601e-02,1.030847181954893180e-02,1.188891038877147414e-02,1.030815327747408930e-02,-1.644746601776186923e-05,-3.185420748424983017e-07,1.055820741015780773e-01
3.750000000000000000e-01,-1.970882179181425720e+00,-1.333699999999999886e+00,1.351510000000000385e-02,1.219636081293637431e-02,1.350301234475075052e-02,1.204602129184838277e-02,1.348905557827134727e-02,1.202473101965283175e-02,-1.395676647940324866e-05,-2.129027219555101880e-05,1.055820741015780773e-01
4.000000000000000222e-01,-2.086756605570231127e+00,-1.435299999999999798e+00,1.510649999999999667e-02,1.401673922276646181e-02,1.516855887014269787e-02,1.395492467296938384e-02,1.515888833447236531e-02,1.390533744948214967e-02,-9.670535670332561229e-06,-4.958722348723416939e-05,1.055820741015780773e-01
4.250000000000000444e-01,-2.718457724587377999e+00,-1.572499999999999787e+00,1.646760000000000584e-02,1.563815009786919188e-02,1.689641826950680908e-02,1.603665259477548080e-02,1.689306995735910533e-02,1.595079021727270271e-02,-3.348312147703758068e-06,-8.586237750277808667e-05,1.055820741015780773e-01
4.500000000000000111e-01,-2.550014927275392029e+00,-1.573799999999999866e+00,1.843309999999999740e-02,1.808510170916524315e-02,1.868199686828116504e-02,1.828985754985009218e-02,1.868719091842990093e-02,1.815928794260136120e-02,5.194050148735890327e-06,-1.305696072487309845e-04,1.055820741015780773e-01
4.750000000000000333e-01,-2.139775970075473488e+00,-1.564400000000000013e+00,2.018829999999999930e-02,2.036450171226983699e-02,2.052192017997527332e-02,2.071030871152657396e-02,2.053798215110020850e-02,2.052639351326707856e-02,1.606197112493518153e-05,-1.839151982594953993e-04,1.055820741015780773e-01
5.000000000000000000e-01,-2.506559008957005563e+00,-1.539499999999999869e+00,2.231140000000000553e-02,2.322509635628854444e-02,2.241421083629868694e-02,2.329098271587676933e-02,2.244348006785822081e-02,2.304515273489793348e-02,2.926923155953387035e-05,-2.458299809788358492e-04,1.055820741015780773e-01
5.250000000000000222e-01,-1.860641489102158097e+00,-1.377000000000000224e+00,2.417290000000000064e-02,2.580643831998815502e-02,2.435839675404006394e-02,2.602230489580579370e-02,2.440313192388204877e-02,2.570633885782773811e-02,4.473516984198483426e-05,-3.159660379780555861e-04,1.055820741015780773e-01
5.500000000000000444e-01,-2.017133416365224807e+00,-1.238500000000000156e+00,2.575830000000000480e-02,2.805093173805286305e-02,2.635554045815885829e-02,2.889252439399982858e-02,2.641783227146626487e-02,2.849880712095682195e-02,6.229181330740657385e-05,-3.937172730430066325e-04,1.055820741015780773e-01
5.750000000000000666e-01,-1.668826829170935833e+00,-9.982000000000000872e-01,2.838809999999999598e-02,3.183829621488055983e-02,2.840818552834237926e-02,3.188819531364039950e-02,2.848988600009953048e-02,3.140993328573082888e-02,8.170047175715122734e-05,-4.782620279095706195e-04,1.055820741015780773e-01
6.000000000000000888e-01,-1.186647294703150335e+00,-7.912000000000000144e-01,3.043359999999999815e-02,3.481233726027889441e-02,3.052022060830231545e-02,3.499472808305036098e-02,3.062289568224215233e-02,3.442610383683127745e-02,1.026750739398368806e-04,-5.686242462190835290e-04,1.055820741015780773e-01
6.250000000000000000e-01,-1.486573725942756719e+00,-5.971000000000000751e-01,3.217170000000000446e-02,3.734481000492266556e-02,3.269666587230261878e-02,3.819697194453058886e-02,3.282157200133584141e-02,3.753322704557202766e-02,1.249061290332226237e-04,-6.637448989585612025e-04,1.055820741015780773e-01
6.500000000000000222e-01,-7.719747932360518927e-01,-3.618999999999999995e-01,3.430769999999999653e-02,4.044451475646460015e-02,3.494339161144884021e-02,4.147979068810735137e-02,3.509146962796285546e-02,4.071724079916703987e-02,1.480780165140152538e-04,-7.625498889403115044e-04,1.055820741015780773e-01
6.750000000000000444e-01,-1.482196139499158682e-01,-6.259999999999998899e-02,3.690170000000000949e-02,4.416555672171650765e-02,3.726678300436162689e-02,4.482859812513516340e-02,3.743865896772020918e-02,4.396459812914580573e-02,1.718759633585822955e-04,-8.639999959893576720e-04,1.055820741015780773e-01
