index,right_interface_rmse,left_interface_rmse,max_interface_rmse,right_interface_relaxation,left_interface_relaxation
1.000000000000000000e+00,2.443146337299929027e-01,2.404840942428260187e-01,2.443146337299929027e-01,1.000000000000000056e-01,1.000000000000000056e-01
2.000000000000000000e+00,1.462170021962233279e-01,1.437129026823716904e-01,1.462170021962233279e-01,2.477969850763976356e-01,2.472710953164083958e-01
3.000000000000000000e+00,1.078601344865613154e-01,1.055820741015780773e-01,1.078601344865613154e-01,nan,nan
