Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,7.761083864856535564e-02,7.900010471963498510e-03,1.054500000000004436e-03,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,8.568511116512145254e-02,4.990002687799442033e-02,1.054900000000003578e-03,7.888888219014369508e-04,6.700919353111585116e-05,5.088318758114083350e-05
5.000000000000000278e-02,1.110625355943902354e-01,1.205000003488822524e-01,1.066599999999993942e-03,7.976154681614085109e-04,2.667351608285447500e-04,2.013245438276018329e-04
7.500000000000001110e-02,2.313970088860403673e-01,2.006999999999999895e-01,1.124899999999996606e-03,8.412486994612668537e-04,5.966914262306804127e-04,4.477189804991069805e-04
1.000000000000000056e-01,2.342913152264579080e-01,2.997999999999999554e-01,1.319000000000002679e-03,9.861110273767961613e-04,1.054525237062296826e-03,7.882325679670280482e-04
1.250000000000000000e-01,2.293315672762129276e-01,4.119999999999999774e-01,1.689199999999999643e-03,1.267109036947883108e-03,1.637815290417724955e-03,1.223038985958328946e-03
1.500000000000000222e-01,-6.743456473807310503e-02,3.825999999999999401e-01,2.236900000000005637e-03,1.685988057426522331e-03,2.343874221221130087e-03,1.754426529493516643e-03
1.750000000000000167e-01,-4.384033617978092545e-01,3.508999999999999897e-01,3.212599999999994713e-03,2.446951611296049964e-03,3.169573958523561920e-03,2.386764599474186857e-03
2.000000000000000111e-01,-2.405459508825054382e-01,2.640999999999999459e-01,4.096900000000004878e-03,3.155555287605747803e-03,4.111207750720655314e-03,3.126329396196889706e-03
2.250000000000000056e-01,-6.714405130346823292e-01,1.589999999999991767e-02,4.913200000000003849e-03,3.827507049623564764e-03,5.164399757539891132e-03,3.980998008227810275e-03
2.500000000000000000e-01,-6.477656393383143252e-01,-2.004000000000000226e-01,6.172300000000007295e-03,4.900884539600077611e-03,6.324072234240100433e-03,4.959826861881745305e-03
2.750000000000000222e-01,-8.015684976015854390e-01,-4.125999999999999668e-01,7.158000000000001167e-03,5.777039824101231139e-03,7.584479614352657162e-03,6.072534648851308711e-03
3.000000000000000444e-01,-1.868236018790943476e+00,-6.642000000000000126e-01,8.883200000000002552e-03,7.386233394440003090e-03,8.939315129137892849e-03,7.328914258825603052e-03
3.250000000000000111e-01,-2.054912007827102371e+00,-8.284000000000001362e-01,1.004130000000000647e-02,8.520697408236316966e-03,1.038188777204292201e-02,8.738205785636853073e-03
3.500000000000000333e-01,-2.235018160795146702e+00,-1.059899999999999842e+00,1.173560000000000575e-02,1.026079067247466330e-02,1.190535785478923601e-02,1.030847181954893180e-02
3.750000000000000000e-01,-1.970882179181425720e+00,-1.333699999999999886e+00,1.351510000000000385e-02,1.219636081293637431e-02,1.350301234475075052e-02,1.204602129184838277e-02
4.000000000000000222e-01,-2.086756605570231127e+00,-1.435299999999999798e+00,1.510649999999999667e-02,1.401673922276646181e-02,1.516855887014269787e-02,1.395492467296938384e-02
4.250000000000000444e-01,-2.718457724587377999e+00,-1.572499999999999787e+00,1.646760000000000584e-02,1.563815009786919188e-02,1.689641826950680908e-02,1.603665259477548080e-02
4.500000000000000111e-01,-2.550014927275392029e+00,-1.573799999999999866e+00,1.843309999999999740e-02,1.808510170916524315e-02,1.868199686828116504e-02,1.828985754985009218e-02
4.750000000000000333e-01,-2.139775970075473488e+00,-1.564400000000000013e+00,2.018829999999999930e-02,2.036450171226983699e-02,2.052192017997527332e-02,2.071030871152657396e-02
5.000000000000000000e-01,-2.506559008957005563e+00,-1.539499999999999869e+00,2.231140000000000553e-02,2.322509635628854444e-02,2.241421083629868694e-02,2.329098271587676933e-02
5.250000000000000222e-01,-1.860641489102158097e+00,-1.377000000000000224e+00,2.417290000000000064e-02,2.580643831998815502e-02,2.435839675404006394e-02,2.602230489580579370e-02
5.500000000000000444e-01,-2.017133416365224807e+00,-1.238500000000000156e+00,2.575830000000000480e-02,2.805093173805286305e-02,2.635554045815885829e-02,2.889252439399982858e-02
5.750000000000000666e-01,-1.668826829170935833e+00,-9.982000000000000872e-01,2.838809999999999598e-02,3.183829621488055983e-02,2.840818552834237926e-02,3.188819531364039950e-02
6.000000000000000888e-01,-1.186647294703150335e+00,-7.912000000000000144e-01,3.043359999999999815e-02,3.481233726027889441e-02,3.052022060830231545e-02,3.499472808305036098e-02
6.250000000000000000e-01,-1.486573725942756719e+00,-5.971000000000000751e-01,3.217170000000000446e-02,3.734481000492266556e-02,3.269666587230261878e-02,3.819697194453058886e-02
6.500000000000000222e-01,-7.719747932360518927e-01,-3.618999999999999995e-01,3.430769999999999653e-02,4.044451475646460015e-02,3.494339161144884021e-02,4.147979068810735137e-02
6.750000000000000444e-01,-1.482196139499158682e-01,-6.259999999999998899e-02,3.690170000000000949e-02,4.416555672171650765e-02,3.726678300436162689e-02,4.482859812513516340e-02
7.000000000000000666e-01,-5.885263873939623469e-01,1.008999999999999897e-01,3.921739999999999948e-02,4.743106775219790155e-02,3.967336837738987682e-02,4.822982457834235070e-02
7.250000000000000888e-01,-5.904926773917275329e-02,3.497999999999999998e-01,4.159680000000000322e-02,5.071926806295522228e-02,4.216943004267730000e-02,5.167128866461732223e-02
7.500000000000000000e-01,-1.600773235672836026e-01,4.873999999999999444e-01,4.404960000000000125e-02,5.402492166623248243e-02,4.476061702246250662e-02,5.514245123186010955e-02
7.750000000000000222e-01,-1.526422255363505953e-01,5.832999999999999297e-01,4.704110000000000236e-02,5.793271386144778490e-02,4.745157771005301811e-02,5.863453431182651804e-02
8.000000000000000444e-01,5.604505759608553461e-01,7.193999999999999284e-01,4.971850000000000575e-02,6.131690728106478638e-02,5.024562826690984890e-02,6.214049966188563145e-02
8.250000000000000666e-01,-1.829605945812467771e-01,6.618999999999999329e-01,5.247140000000000137e-02,6.469237405442181121e-02,5.314446990885651756e-02,6.565489734394854004e-02
8.500000000000000888e-01,1.094135801729965579e-01,6.600999999999999091e-01,5.530530000000000168e-02,6.805911418151888714e-02,5.614796562435392380e-02,6.917360991890586508e-02
8.750000000000000000e-01,4.762536127649293349e-01,5.603000000000000203e-01,5.874870000000000092e-02,7.200879427878204009e-02,5.925398440310856996e-02,7.269352709554897929e-02
9.000000000000000222e-01,-7.413498057769365435e-01,3.606999999999999651e-01,6.181289999999999701e-02,7.541044099091900876e-02,6.245831813789827491e-02,7.621218797085947683e-02
9.250000000000000444e-01,-4.712805174135236697e-01,2.493999999999999551e-01,6.494129999999999348e-02,7.879114375203201404e-02,6.575467205351669120e-02,7.972742650861493197e-02
9.500000000000000666e-01,-1.055825665693698456e-01,7.109999999999995490e-02,6.813239999999999574e-02,8.214741190361710133e-02,6.913472409438893573e-02,8.323705340795603536e-02
9.750000000000000888e-01,-6.840112759957499566e-01,-1.969000000000000750e-01,7.196370000000000544e-02,8.607440272060434827e-02,7.258824434274405157e-02,8.673860343126671424e-02
1.000000000000000000e+00,-4.680185538728068306e-02,-3.194000000000000172e-01,7.532880000000000131e-02,8.944812416470938887e-02,7.610326452809555720e-02,9.022916954748154417e-02
1.025000000000000133e+00,-1.699744602712901953e+00,-5.606000000000000982e-01,7.928630000000000400e-02,9.333846306740474497e-02,7.966629007119993555e-02,9.370533337687020348e-02
1.050000000000000044e+00,-1.100146401207728886e+00,-6.139000000000000012e-01,8.212919999999999943e-02,9.609259262705180382e-02,8.326255037630715672e-02,9.716318795735921776e-02
1.074999999999999956e+00,-8.219764257718527034e-01,-6.891999999999999238e-01,8.615319999999999923e-02,9.994453428620328483e-02,8.687628409577025090e-02,1.005984387886340176e-01
1.100000000000000089e+00,-2.024865442836754070e+00,-7.507000000000000339e-01,8.962699999999999834e-02,1.032362252554645948e-01,9.049105346634514491e-02,1.040065657848960184e-01
1.125000000000000000e+00,-1.115764986577239659e+00,-6.219999999999999973e-01,9.307130000000000958e-02,1.064825376641740512e-01,9.409007694540530431e-02,1.073830301712763724e-01
1.150000000000000133e+00,-1.320941404341712699e+00,-6.462999999999999856e-01,9.647490000000000232e-02,1.096817261830796558e-01,9.765656533627078972e-02,1.107235112985308356e-01
1.175000000000000044e+00,-6.513205906306109849e-01,-3.753000000000000780e-01,1.009745000000000087e-01,1.139158949484179034e-01,1.011740461780563094e-01,1.140241554044138517e-01
1.200000000000000178e+00,-6.985189454890605720e-01,-1.938000000000000833e-01,1.042995000000000033e-01,1.170609782605116639e-01,1.046266652587865553e-01,1.172818116930647026e-01
1.225000000000000089e+00,-5.339995620849108393e-01,6.159999999999998810e-02,1.070014000000000104e-01,1.196353389072033063e-01,1.079994607667917050e-01,1.204942239526074765e-01
1.250000000000000000e+00,-3.330375056851369586e-01,3.481999999999999540e-01,1.101556999999999953e-01,1.226757024641774441e-01,1.112786107916182432e-01,1.236601435937215027e-01
1.275000000000000133e+00,1.129060054661089829e+00,7.901000000000000245e-01,1.142369999999999913e-01,1.266847237560083939e-01,1.144516553482617799e-01,1.267793366738935446e-01
1.300000000000000044e+00,1.054754113121472603e+00,1.048599999999999977e+00,1.171905000000000030e-01,1.296570194721547442e-01,1.175076902665716932e-01,1.298524720887531958e-01
1.325000000000000178e+00,1.538108500444805182e+00,1.416399999999999881e+00,1.195525999999999950e-01,1.320865177909308630e-01,1.204375258415474742e-01,1.328808947499474924e-01
1.350000000000000089e+00,2.368089689778480000e+00,1.728200000000000180e+00,1.231436000000000058e-01,1.359018075357904531e-01,1.232338014350025657e-01,1.358663007833696423e-01
1.375000000000000000e+00,2.591652949945353335e+00,1.963400000000000034e+00,1.252764000000000100e-01,1.382527660382268098e-01,1.258910488283819795e-01,1.388103401677959481e-01
