Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Right
0.000000000000000000e+00,9.823634106540272970e-02,7.059999912722784987e-02,1.844599999999999842e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.024563846315858402e-02
2.500000000000000139e-02,2.133974783028367850e-01,1.581999942401725312e-01,1.846400000000002813e-03,7.923794804054256832e-04,1.179839845378369295e-04,5.101818135379895380e-05,1.179776345992282407e-04,5.102561343390196193e-05,-6.349938608688821852e-09,7.432080103008135638e-09,1.024563846315858402e-02
5.000000000000000278e-02,3.133482320461793424e-01,2.791000000000000147e-01,1.875900000000001525e-03,8.045967851693859758e-04,4.684837287490994841e-04,2.019549711886232403e-04,4.684826075849907743e-04,2.020156976823063194e-04,-1.121164108709889196e-09,6.072649368307910488e-08,1.024563846315858402e-02
7.500000000000001110e-02,4.068770772633087951e-01,3.886999999999999900e-01,2.035399999999995806e-03,8.744099552491591074e-04,1.045513240914525610e-03,4.493925567220930775e-04,1.045569903623645193e-03,4.496060494557066380e-04,5.666270911958322387e-08,2.134927336135605466e-07,1.024563846315858402e-02
1.000000000000000056e-01,4.017256728226568652e-01,5.548999999999999488e-01,2.348799999999997244e-03,1.008800307652722326e-03,1.844959013533516287e-03,7.916819397279862072e-04,1.845149938578274484e-03,7.921814573624733980e-04,1.909250447581969240e-07,4.995176344871907551e-07,1.024563846315858402e-02
1.250000000000000000e-01,3.849956539563213487e-01,5.102999999999999758e-01,3.139700000000004813e-03,1.350884841043610953e-03,2.864585177183598310e-03,1.229134048681217476e-03,2.864992418034820101e-03,1.230062932139032493e-03,4.072408512217906562e-07,9.288834578150169385e-07,1.024563846315858402e-02
1.500000000000000222e-01,-1.279035203441772239e+00,4.848999999999999977e-01,4.346599999999995606e-03,1.877974275145898606e-03,4.103913292045199487e-03,1.764060952404193292e-03,4.104608390848493368e-03,1.765548741937332132e-03,6.950988032938809624e-07,1.487789533138840145e-06,1.024563846315858402e-02
1.750000000000000167e-01,-5.518626297500839328e-01,3.102000000000000313e-01,5.434100000000000735e-03,2.356194490192344872e-03,5.563992640606237570e-03,2.400679114565661392e-03,5.565023934735031236e-03,2.402820088143651188e-03,1.031294128793665277e-06,2.140973577989795790e-06,1.024563846315858402e-02
2.000000000000000111e-01,-7.134260559250420464e-01,2.729999999999999094e-02,7.223100000000002262e-03,3.155555287605747803e-03,7.247079257265771207e-03,3.144897393613842705e-03,7.248463270875345719e-03,3.147734606958341782e-03,1.384013609574512305e-06,2.837213344499076723e-06,1.024563846315858402e-02
2.250000000000000056e-01,-1.736198074829651716e+00,-4.108000000000000540e-01,9.317999999999998159e-03,4.106759729942657290e-03,9.156243642646532885e-03,4.004011437443976903e-03,9.157963213821946127e-03,4.007531507901047549e-03,1.719571175413242559e-06,3.520070457070645364e-06,1.024563846315858402e-02
