Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,9.823634106540272970e-02,7.059999912722784987e-02,1.844599999999999842e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,2.133974783028367850e-01,1.581999942401725312e-01,1.846400000000002813e-03,7.923794804054256832e-04,1.179839845378369295e-04,5.101818135379895380e-05
5.000000000000000278e-02,3.133482320461793424e-01,2.791000000000000147e-01,1.875900000000001525e-03,8.045967851693859758e-04,4.684837287490994841e-04,2.019549711886232403e-04
7.500000000000001110e-02,4.068770772633087951e-01,3.886999999999999900e-01,2.035399999999995806e-03,8.744099552491591074e-04,1.045513240914525610e-03,4.493925567220930775e-04
1.000000000000000056e-01,4.017256728226568652e-01,5.548999999999999488e-01,2.348799999999997244e-03,1.008800307652722326e-03,1.844959013533516287e-03,7.916819397279862072e-04
1.250000000000000000e-01,3.849956539563213487e-01,5.102999999999999758e-01,3.139700000000004813e-03,1.350884841043610953e-03,2.864585177183598310e-03,1.229134048681217476e-03
1.500000000000000222e-01,-1.279035203441772239e+00,4.848999999999999977e-01,4.346599999999995606e-03,1.877974275145898606e-03,4.103913292045199487e-03,1.764060952404193292e-03
1.750000000000000167e-01,-5.518626297500839328e-01,3.102000000000000313e-01,5.434100000000000735e-03,2.356194490192344872e-03,5.563992640606237570e-03,2.400679114565661392e-03
2.000000000000000111e-01,-7.134260559250420464e-01,2.729999999999999094e-02,7.223100000000002262e-03,3.155555287605747803e-03,7.247079257265771207e-03,3.144897393613842705e-03
2.250000000000000056e-01,-1.736198074829651716e+00,-4.108000000000000540e-01,9.317999999999998159e-03,4.106759729942657290e-03,9.156243642646532885e-03,4.004011437443976903e-03
2.500000000000000000e-01,-1.864995393167028448e+00,-8.129999999999999449e-01,1.099830000000000078e-02,4.883431247080133840e-03,1.129493117368117992e-02,4.986318192896833923e-03
2.750000000000000222e-01,-2.662062146335145929e+00,-1.163100000000000023e+00,1.319809999999999733e-02,5.920156822764766243e-03,1.366650315445195642e-02,6.100656760911401903e-03
3.000000000000000444e-01,-2.995059585787218204e+00,-1.533900000000000041e+00,1.560930000000000477e-02,7.080800775340995341e-03,1.627378742807891049e-02,7.355882744461125777e-03
3.250000000000000111e-01,-3.212508325379884067e+00,-1.878200000000000092e+00,1.825969999999999677e-02,8.384561726580759544e-03,1.911866593256858829e-02,8.760295796648052621e-03
3.500000000000000333e-01,-3.891518146254554722e+00,-2.328699999999999992e+00,2.167260000000000367e-02,1.010894702755115761e-02,2.220172415206302097e-02,1.032105806502723461e-02
3.750000000000000000e-01,-3.552907893330143452e+00,-2.526699702592047014e+00,2.540170000000000622e-02,1.203928118025688471e-02,2.552198448097617658e-02,1.204365278088950948e-02
4.000000000000000222e-01,-4.789848326583356020e+00,-2.867899476745922271e+00,2.822010000000000143e-02,1.352979236146004301e-02,2.907674134619343820e-02,1.393142998887482095e-02
4.250000000000000444e-01,-4.878573011765981349e+00,-3.090199557030728794e+00,3.177809999999999663e-02,1.544616388014981648e-02,3.286150953717331680e-02,1.598527333236095249e-02
4.500000000000000111e-01,-3.800425352230662579e+00,-3.073700000000000099e+00,3.621189999999999826e-02,1.788264351593389992e-02,3.687008892979096869e-02,1.820340739254744725e-02
4.750000000000000333e-01,-5.044796606037388109e+00,-3.213200000000000056e+00,4.024550000000001043e-02,2.013935423876256695e-02,4.109474095858212106e-02,2.058135596355432570e-02
5.000000000000000000e-01,-4.348566359889097122e+00,-3.043200000000000127e+00,4.444020000000000609e-02,2.251649267997884660e-02,4.552646577288374519e-02,2.311205539783816112e-02
5.250000000000000222e-01,-3.929265940812696645e+00,-2.956500000000000128e+00,4.879770000000000635e-02,2.501580416883472657e-02,5.015536133893841453e-02,2.578611641360358669e-02
5.500000000000000444e-01,-3.548339886060532855e+00,-2.516199999999999992e+00,5.413330000000000919e-02,2.810503694486468987e-02,5.497103508187470289e-02,2.859221122080278163e-02
5.750000000000000666e-01,-3.390636440776985783e+00,-2.172600000000000087e+00,5.891060000000000046e-02,3.089058243104763832e-02,5.996302903222914399e-02,3.151754847403832882e-02
6.000000000000000888e-01,-3.581220243819791538e+00,-1.896399999999999864e+00,6.381239999999999135e-02,3.375815839207432084e-02,6.512121719770130879e-02,3.454839424748480659e-02
6.250000000000000000e-01,-1.384075314273274016e+00,-1.212499999999999911e+00,6.969259999999999344e-02,3.719994767700714189e-02,7.043614115335361525e-02,3.767060273922580305e-02
6.500000000000000222e-01,-1.367544042286570116e+00,-9.302999999999999048e-01,7.491649999999999698e-02,4.024903788024122853e-02,7.589926301980784440e-02,4.087012986354518485e-02
6.750000000000000444e-01,-2.530373495115694205e+00,-6.162000000000000810e-01,8.029760000000001063e-02,4.337841322906706154e-02,8.150312660785156982e-02,4.413350904054147428e-02
7.000000000000000666e-01,-9.623217171544162785e-01,-9.789999999999997315e-02,8.669090000000000129e-02,4.706803926778307945e-02,8.724142038901507024e-02,4.744826583869164727e-02
7.250000000000000888e-01,-7.455584084183665139e-01,2.579000000000000181e-01,9.228020000000000667e-02,5.026373712818470174e-02,9.310893115150623012e-02,5.080323994893522210e-02
7.500000000000000000e-01,-1.112829388535309549e+00,5.678999999999999604e-01,9.798850000000000615e-02,5.349434157362620290e-02,9.910137633809193436e-02,5.418878295092788289e-02
7.750000000000000222e-01,1.652634187724228432e-01,9.124999999999999778e-01,1.047441000000000066e-01,5.726774341643794258e-02,1.052151162282343178e-01,5.759681797377796952e-02
8.000000000000000444e-01,-5.849317499032206241e-02,9.586999999999999966e-01,1.106419000000000014e-01,6.051580115439938318e-02,1.114467696325139451e-01,6.102077424847023729e-02
8.250000000000000666e-01,2.020819429385646959e+00,1.242999999999999883e+00,1.177168999999999993e-01,6.435203485028292980e-02,1.177927732375858433e-01,6.445542728182600267e-02
8.500000000000000888e-01,-4.174608728789410694e-01,1.167200000000000015e+00,1.228833000000000147e-01,6.711489105618995143e-02,1.242489252271937739e-01,6.789667475876960678e-02
8.750000000000000000e-01,9.467957742608373861e-01,9.914000000000000590e-01,1.291382000000000085e-01,7.041879933021520654e-02,1.308099427275866700e-01,7.134126689867908988e-02
9.000000000000000222e-01,3.073645877992787767e+00,1.000000028272810759e+00,1.354582000000000008e-01,7.371049029947651654e-02,1.374690527960256148e-01,7.478650276299367294e-02
9.250000000000000444e-01,-8.991038863539871917e-01,4.918999762627729311e-01,1.429804000000000075e-01,7.757115860488797421e-02,1.442176365918151904e-01,7.822990853580107096e-02
9.500000000000000666e-01,1.194928885434616950e+00,3.881999999999999895e-01,1.506879000000000135e-01,8.146847882459130885e-02,1.510449541246053906e-01,8.166892542363338170e-02
9.750000000000000888e-01,1.974540808903237077e-02,3.580000000000000543e-02,1.562659999999999882e-01,8.425751496927826045e-02,1.579379848010321608e-01,8.510064436285930123e-02
1.000000000000000000e+00,-1.926682545801494228e+00,-4.796000000000000263e-01,1.640638000000000096e-01,8.811643794543772001e-02,1.648814193375091885e-01,8.852162643984548551e-02
1.025000000000000133e+00,-9.945556707868899449e-02,-4.944999999999999396e-01,1.696255999999999875e-01,9.084438756630484890e-02,1.718578259528747709e-01,9.192783932560283366e-02
1.050000000000000044e+00,-1.565401196197235389e+00,-1.041800000000000059e+00,1.785805000000000031e-01,9.519898405003071606e-02,1.788479880271314215e-01,9.531472107878047328e-02
1.074999999999999956e+00,-1.852480772973196022e+00,-1.057700000000000085e+00,1.841940999999999995e-01,9.790948037837789164e-02,1.858313809083980694e-01,9.867735848246839137e-02
1.100000000000000089e+00,-2.130815895305364194e+00,-1.285300000000000109e+00,1.908672000000000146e-01,1.011173955435434729e-01,1.927867356225041739e-01,1.020107463363573580e-01
1.125000000000000000e+00,-1.284100363496964770e+00,-1.316999999999999948e+00,1.974660000000000026e-01,1.042781868189052163e-01,1.996926339877819756e-01,1.053100834953669823e-01
1.150000000000000133e+00,-9.768491555279961158e-01,-1.273900000000000032e+00,2.051261999999999808e-01,1.079416329188413043e-01,2.065280908137919758e-01,1.085710629512153524e-01
1.175000000000000044e+00,-7.199294834636040807e-01,-1.038100000000000023e+00,2.116437999999999930e-01,1.110553003043991960e-01,2.132730957720435361e-01,1.117901236460462910e-01
1.200000000000000178e+00,-1.582446874156669070e+00,-9.454000000000000181e-01,2.180329000000000017e-01,1.141148624831452435e-01,2.199090991180786270e-01,1.149646434189612321e-01
1.225000000000000089e+00,8.560770157925353674e-01,-2.318000000000000060e-01,2.263421000000000183e-01,1.181116664702122621e-01,2.264194257846627867e-01,1.180930600030182381e-01
1.250000000000000000e+00,-1.176054897350115730e-02,-5.120000000000001633e-02,2.324303000000000063e-01,1.210595275768306944e-01,2.327895967807625532e-01,1.211749121079844782e-01
1.275000000000000133e+00,2.240292118709568403e-01,4.334000000000000075e-01,2.373734000000000122e-01,1.234715726030868460e-01,2.390075361526358688e-01,1.242107985909725182e-01
1.300000000000000044e+00,1.689121380789357252e+00,9.828999999999999959e-01,2.441119999999999957e-01,1.267946794988840664e-01,2.450636492229713304e-01,1.272022568236647611e-01
1.325000000000000178e+00,1.023155200494394013e+00,1.255300000000000082e+00,2.488159000000000065e-01,1.291438926720684111e-01,2.509507659346779662e-01,1.301515561422893763e-01
1.350000000000000089e+00,3.633642893697236698e+00,2.065100000000000158e+00,2.552375000000000060e-01,1.324006770562898561e-01,2.566639451629270097e-01,1.330613938871754443e-01
1.375000000000000000e+00,1.936680679226479462e+00,2.241200000000000081e+00,2.606216000000000088e-01,1.351809865547168032e-01,2.622001365421825492e-01,1.359344844557893450e-01
1.400000000000000133e+00,2.412084582352734152e+00,2.521900000000000031e+00,2.658564999999999956e-01,1.379351161143638760e-01,2.675577072073435092e-01,1.387730537903171801e-01
1.425000000000000044e+00,5.443111553771496247e+00,2.866099999999999870e+00,2.709159999999999902e-01,1.406525937597190301e-01,2.727358655574824708e-01,1.415782836892713337e-01
1.450000000000000178e+00,3.560414896000561491e+00,2.746700000000000141e+00,2.766272000000000175e-01,1.437906957548048259e-01,2.777340418607540662e-01,1.443497735416297834e-01
1.475000000000000089e+00,4.239549278083701189e+00,2.862600000000000033e+00,2.813536999999999844e-01,1.464523228640961794e-01,2.825512992761232134e-01,1.470850887859896650e-01
1.500000000000000000e+00,4.805003018978978524e+00,2.729900000000000215e+00,2.858759999999999635e-01,1.490528634495677518e-01,2.871858391742430627e-01,1.497794472127380316e-01
1.525000000000000133e+00,2.990467751601054491e+00,2.465700000000000003e+00,2.901946000000000248e-01,1.515905721819674756e-01,2.916346365009279129e-01,1.524255681146108599e-01
1.550000000000000044e+00,3.202695311459546446e+00,2.233900000000000219e+00,2.950210999999999806e-01,1.544913093987820563e-01,2.958932109828766865e-01,1.550136880239339487e-01
1.575000000000000178e+00,3.739304855789775672e+00,1.798000000000000043e+00,2.989781000000000244e-01,1.569208077175581750e-01,2.999555253511712039e-01,1.575317370091832703e-01
1.600000000000000089e+00,2.901701508131921514e+00,1.475299999999999834e+00,3.027267000000000152e-01,1.592612942444825708e-01,3.038140066215488932e-01,1.599656689200028847e-01
1.625000000000000000e+00,2.421811978353879180e+00,1.187300000000000022e+00,3.068304000000000031e-01,1.618670708177100959e-01,3.074596976004546622e-01,1.622999377055882597e-01
1.650000000000000133e+00,7.279529076034391144e-01,6.492999999999999883e-01,3.101393000000000066e-01,1.639963725051431787e-01,3.108825448100824285e-01,1.645181012964684886e-01
1.675000000000000044e+00,1.959442985753811595e+00,4.083999999999999853e-01,3.137472000000000039e-01,1.663438403490755391e-01,3.140718113164688852e-01,1.666035172901165762e-01
1.700000000000000178e+00,1.060495855754375105e+00,1.720999999999999752e-01,3.161225000000000285e-01,1.678989287126025076e-01,3.170165814623110423e-01,1.685400825457133434e-01
1.725000000000000089e+00,1.062359778786525766e-01,-3.420000000000000123e-02,3.191430000000000100e-01,1.698851134013720787e-01,3.197063139208651816e-01,1.703129684308731517e-01
1.750000000000000000e+00,1.514158420481349410e+00,4.670000000000002621e-02,3.218542999999999821e-01,1.716688398969102580e-01,3.221314012867526611e-01,1.719093097801515924e-01
1.775000000000000133e+00,6.641887775272300454e-01,4.009999999999996900e-02,3.239394999999999913e-01,1.730371780304738316e-01,3.242836995767001129e-01,1.733188097656543636e-01
1.800000000000000044e+00,-2.503415184493921752e-01,2.976999999999999647e-01,3.254852999999999774e-01,1.740459783381265169e-01,3.261569921876775746e-01,1.745342219184669585e-01
1.825000000000000178e+00,1.608583257500076247e+00,6.773000000000000131e-01,3.273428999999999922e-01,1.752467648634986330e-01,3.277473508628599430e-01,1.755516688734602981e-01
1.850000000000000089e+00,2.049766212997832238e+00,1.041500000000000092e+00,3.286557999999999979e-01,1.760827775752039359e-01,3.290533578320860020e-01,1.763707629707613189e-01
1.875000000000000000e+00,2.392268245340889887e+00,1.540699999999999958e+00,3.297083000000000097e-01,1.767390213739537808e-01,3.300761645776461584e-01,1.769945121358950380e-01
1.900000000000000133e+00,2.873402975392800318e+00,2.065399999999999903e+00,3.305004000000000275e-01,1.772207322475042313e-01,3.308193820539456209e-01,1.774290216840769263e-01
1.925000000000000044e+00,4.059834540524131619e+00,2.611800000000000122e+00,3.310390999999999750e-01,1.775348915128632243e-01,3.312888154852745570e-01,1.776830262958397633e-01
1.950000000000000178e+00,4.018820556492126883e+00,3.060299999999999798e+00,3.313723999999999559e-01,1.777041884503066382e-01,3.314920665454128557e-01,1.777672965524400017e-01
1.975000000000000089e+00,4.652732709706047132e+00,3.491499999999999826e+00,3.313665000000000083e-01,1.776762631822747240e-01,3.314380287463178920e-01,1.776939633525261852e-01
2.000000000000000000e+00,5.249439602250108194e+00,3.745600000000000041e+00,3.310960000000000014e-01,1.774825316353033922e-01,3.311363059528439345e-01,1.774758011561138882e-01
2.024999999999999911e+00,6.152003386478931191e+00,4.067299999999999471e+00,3.307165000000000243e-01,1.772399308692761410e-01,3.305965922134449508e-01,1.771255130639666497e-01
2.050000000000000266e+00,5.075932373249353091e+00,4.012500000000000178e+00,3.297868999999999939e-01,1.766744441916300035e-01,3.298280577773707867e-01,1.766550633567240403e-01
2.075000000000000178e+00,4.651591197526344423e+00,4.027800000000000047e+00,3.290152000000000077e-01,1.762241492446154634e-01,3.288387833809492955e-01,1.760750987835019155e-01
2.100000000000000089e+00,5.652824221884333866e+00,3.903900000000000148e+00,3.277126000000000206e-01,1.754858749710218602e-01,3.276352732571620741e-01,1.753944883018604961e-01
2.125000000000000000e+00,5.320879598156235346e+00,3.555000000000000160e+00,3.263853999999999922e-01,1.747563273436882336e-01,3.262220675088588484e-01,1.746200013790321359e-01
2.149999999999999911e+00,4.221224396433430393e+00,3.016500000000000181e+00,3.248509000000000535e-01,1.739342772659988878e-01,3.246014750160344797e-01,1.737561441666334028e-01
2.175000000000000266e+00,4.320851639957906443e+00,2.661999999999999922e+00,3.231154000000000526e-01,1.730249607257098587e-01,3.227734532303333514e-01,1.728051730767276306e-01
2.200000000000000178e+00,3.736566767238201692e+00,2.215500000000000025e+00,3.211999999999999855e-01,1.720405950275850637e-01,3.207356565755666300e-01,1.717672913942299151e-01
2.225000000000000089e+00,2.325020611153800321e+00,1.661000000000000032e+00,3.187242999999999604e-01,1.707944299416611078e-01,3.184836550462121774e-01,1.706410044175827312e-01
2.250000000000000000e+00,2.123085774650632196e+00,1.152499999999999858e+00,3.155290999999999513e-01,1.692166522978582055e-01,3.160112993391527847e-01,1.694235793970521875e-01
2.274999999999999911e+00,2.241633145777457869e+00,8.205000000000000071e-01,3.133531999999999984e-01,1.681572374418976723e-01,3.133111940948088425e-01,1.681115480583498800e-01
2.300000000000000266e+00,1.664599215002745769e+00,6.511000000000000121e-01,3.110819000000000223e-01,1.670594253423932363e-01,3.103752421929994454e-01,1.667012041502761721e-01
2.325000000000000178e+00,1.708830543931599000e-01,4.037999999999999923e-01,3.081911999999999985e-01,1.656788699040657176e-01,3.071952316403582794e-01,1.651890690789992455e-01
2.350000000000000089e+00,9.450043295321900461e-01,3.825000000000000067e-01,3.044484999999999553e-01,1.639125967010474638e-01,3.037634391693453395e-01,1.635723063621539741e-01
2.375000000000000000e+00,1.656352760569833826e+00,4.107000000000000095e-01,3.009089000000000347e-01,1.622580245701568391e-01,3.000732180794569715e-01,1.618490587604791697e-01
2.400000000000000355e+00,1.386634912170491729e+00,5.405999999999999694e-01,2.971343000000000178e-01,1.605074593304065267e-01,2.961195309278158438e-01,1.600186754674806089e-01
2.425000000000000266e+00,1.849381458249845567e+00,8.135999999999999899e-01,2.931345000000000200e-01,1.586696276280565032e-01,2.918993896553151446e-01,1.580818040522130041e-01
2.450000000000000178e+00,1.989123695089011656e+00,1.246999999999999886e+00,2.881400999999999546e-01,1.563937182834558848e-01,2.874121772385829221e-01,1.560403423670956580e-01
2.475000000000000089e+00,2.739468612018471028e+00,1.682900000000000063e+00,2.835851999999999817e-01,1.543377204246065837e-01,2.826598401098995850e-01,1.538972686019479397e-01
2.500000000000000000e+00,3.778480379317112892e+00,2.161999999999999922e+00,2.788334999999999564e-01,1.522084187371735009e-01,2.776469531219145637e-01,1.516563821269088508e-01
2.525000000000000355e+00,3.395200274767598447e+00,2.711899999999999977e+00,2.730294999999999805e-01,1.496305674319778622e-01,2.723806655655859887e-01,1.493219891575384706e-01
2.550000000000000266e+00,4.331675149269146985e+00,3.200200000000000156e+00,2.678142000000000578e-01,1.473319688071013100e-01,2.668705386327455131e-01,1.468985599335920211e-01
2.575000000000000178e+00,5.792352081130371033e+00,3.556999999999999940e+00,2.624236999999999820e-01,1.449705383291530203e-01,2.611282861460697546e-01,1.443903788936019283e-01
2.600000000000000089e+00,5.696742235854158842e+00,3.936599999999999877e+00,2.568468000000000417e-01,1.425392946811248895e-01,2.551674358493913886e-01,1.418012146905714421e-01
2.625000000000000000e+00,4.141988996029844827e+00,4.131299999999999528e+00,2.500449000000000144e-01,1.395861975867505045e-01,2.490029377237238384e-01,1.391340487383326552e-01
2.650000000000000355e+00,6.368748005333239703e+00,4.149000000000000021e+00,2.429087000000000052e-01,1.364952194814685327e-01,2.426507524428203333e-01,1.363909044161817352e-01
2.675000000000000266e+00,6.040300456431593190e+00,4.218999999999999417e+00,2.376517999999999964e-01,1.342158194783639458e-01,2.361274514857237272e-01,1.335728049412051588e-01
2.700000000000000178e+00,3.966655076966404181e+00,3.940399999999999903e+00,2.301827000000000178e-01,1.309695070696544894e-01,2.294498521321901019e-01,1.306798646229366534e-01
2.725000000000000089e+00,4.716845224160159944e+00,3.830900000000000194e+00,2.247683999999999793e-01,1.286063312624541599e-01,2.226347021926971537e-01,1.277115014557592132e-01
2.750000000000000000e+00,4.185781757618605603e+00,3.370499999999999829e+00,2.170205000000000051e-01,1.252011938918132228e-01,2.156984250307513451e-01,1.246667535501122109e-01
2.775000000000000355e+00,3.332898909727304293e+00,2.820399999999999796e+00,2.102407999999999777e-01,1.221939915906269936e-01,2.086569343028635282e-01,1.215446801052989800e-01
2.800000000000000266e+00,4.226486222873607090e+00,2.403299999999999770e+00,2.022810999999999915e-01,1.186247932702986091e-01,2.015255270519636932e-01,1.183448229933648510e-01
2.825000000000000178e+00,1.774286744787736181e+00,1.650900000000000034e+00,1.965604999999999991e-01,1.160294886725830171e-01,1.943188609751121398e-01,1.150676988641704812e-01
2.850000000000000089e+00,1.727580595319656798e+00,1.199400000000000022e+00,1.872687000000000102e-01,1.117516866759449279e-01,1.870510141115386826e-01,1.117152858998873566e-01
2.875000000000000000e+00,-3.416375822440422677e-02,5.331000000000000183e-01,1.813924000000000092e-01,1.090097744210618419e-01,1.797356109865904106e-01,1.082914615481645332e-01
2.900000000000000355e+00,1.214524541930843554e-01,1.553999999999999826e-01,1.731818000000000246e-01,1.051299074938784467e-01,1.723859831007260590e-01,1.048023389123776128e-01
2.925000000000000266e+00,4.492543838188224337e-01,-1.725999999999999757e-01,1.673233999999999833e-01,1.023269087151755380e-01,1.650153255027348997e-01,1.012564506651152524e-01
2.950000000000000178e+00,-7.269953242847200237e-01,-5.785000000000000142e-01,1.590676000000000034e-01,9.833359538661252952e-02,1.576368221662638458e-01,9.766474929732688048e-02
2.975000000000000089e+00,2.216839597209358803e-01,-5.994999999999999218e-01,1.519558999999999771e-01,9.485864484589180690e-02,1.502637324137096053e-01,9.404042401956783093e-02
3.000000000000000000e+00,-1.844314652027471413e-01,-7.580000000000000071e-01,1.437309999999999977e-01,9.080773565201297193e-02,1.429094426657566697e-01,9.039856025054669730e-02
3.025000000000000355e+00,-1.215860165594701447e+00,-8.118000000000000771e-01,1.367393000000000081e-01,8.734500241605622217e-02,1.355874863470728220e-01,8.675567754307286772e-02
3.050000000000000266e+00,-1.426762785080301743e+00,-6.285000000000000586e-01,1.297501000000000071e-01,8.387703319234347810e-02,1.283115267104590895e-01,8.312917849079043409e-02
3.075000000000000178e+00,1.090787330349560491e-01,-4.980999999999999872e-01,1.216269000000000100e-01,7.984532262023658067e-02,1.210952916106925181e-01,7.953673218710244353e-02
3.100000000000000089e+00,-4.913469851291057261e-02,-2.176000000000000156e-01,1.147808000000000023e-01,7.645938387136758108e-02,1.139524508923653034e-01,7.599561090955099518e-02
3.125000000000000000e+00,6.222475484697839176e-01,3.099999999999982978e-03,1.080353000000000147e-01,7.314151296332636887e-02,1.068964373076427971e-01,7.252200671914285635e-02
3.150000000000000355e+00,-1.483613183995686535e+00,4.971999999999999753e-01,1.002330000000000026e-01,6.933844052323072382e-02,9.994022623193410393e-02,6.913037308115063673e-02
