Time(s),Iter1_Right_X_Displacement_Delta(m),Iter1_Left_X_Displacement_Delta(m),Iter2_Right_X_Displacement_Delta(m),Iter2_Left_X_Displacement_Delta(m),Iter3_Right_X_Displacement_Delta(m),Iter3_Left_X_Displacement_Delta(m),Iter4_Right_X_Displacement_Delta(m),Iter4_Left_X_Displacement_Delta(m),Iter5_Right_X_Displacement_Delta(m),Iter5_Left_X_Displacement_Delta(m),Iter6_Right_X_Displacement_Delta(m),Iter6_Left_X_Displacement_Delta(m),Iter7_Right_X_Displacement_Delta(m),Iter7_Left_X_Displacement_Delta(m),Iter1_Right_Rotation_Delta(rad),Iter1_Left_Rotation_Delta(rad),Iter2_Right_Rotation_Delta(rad),Iter2_Left_Rotation_Delta(rad),Iter3_Right_Rotation_Delta(rad),Iter3_Left_Rotation_Delta(rad),Iter4_Right_Rotation_Delta(rad),Iter4_Left_Rotation_Delta(rad),Iter5_Right_Rotation_Delta(rad),Iter5_Left_Rotation_Delta(rad),Iter6_Right_Rotation_Delta(rad),Iter6_Left_Rotation_Delta(rad),Iter7_Right_Rotation_Delta(rad),Iter7_Left_Rotation_Delta(rad)
2.500000000000000000e-01,2.413444435964313961e-05,-2.183225714377529797e-05,2.765815657250828008e-05,-2.007387642097725050e-05,1.353898472129799746e-05,-1.387767039279143994e-05,-8.949752025692869761e-07,-4.446605361060722295e-06,-2.189626369115960092e-06,3.129527596370390574e-06,4.271157279600937273e-06,-3.946697149722830367e-06,2.013013228900975560e-06,-2.105054814675877406e-06,4.596670150341670286e-05,4.596670150341670286e-05,4.773203299348379586e-05,4.773203299348379586e-05,2.740609846803559319e-05,2.743120025540998069e-05,3.374280590217292042e-06,3.725082480078752145e-06,-5.319153965484615942e-06,-5.319153965484615942e-06,8.217854429323767640e-06,8.217854429323767640e-06,4.144514454356915123e-06,4.089447458909857558e-06
2.750000000000000222e-01,2.292924123924872104e-05,-2.619204000063775351e-05,2.691322938042604862e-05,-2.366700516482581756e-05,1.115540741517158374e-05,-1.585671298052170053e-05,-2.384121606333750032e-07,-6.179871552081626918e-06,-2.055111134352527458e-06,3.707419331467481927e-06,3.991285435940572501e-06,-4.515325391217517303e-06,2.259244227576645558e-06,-2.405015974902419140e-06,4.912128123988473982e-05,4.912128123988473982e-05,5.058023454525186619e-05,5.058023454525186619e-05,2.699967416002618803e-05,2.702627378743140130e-05,5.738796433177144329e-06,6.084528083147473787e-06,-5.762530465820009384e-06,-5.762530465820009384e-06,8.506610827157222443e-06,8.506610827157222443e-06,4.694516932494605110e-06,4.637515010189052767e-06
3.000000000000000444e-01,1.797553112916835949e-05,-2.994078832191382489e-05,2.238460302668443536e-05,-2.644443894907373693e-05,5.784847239068829916e-06,-1.712486675780125478e-05,7.663633295670879697e-07,-8.210253880300277807e-06,-1.742916299587310425e-06,4.289317271859161007e-06,3.402329585698582459e-06,-4.991471953066234368e-06,2.477036211367966700e-06,-2.681047567469965753e-06,4.791631945108305174e-05,4.791631945108305174e-05,4.882904197575990701e-05,4.882904197575990701e-05,2.289580713721664496e-05,2.292148583038153276e-05,8.757719188412678435e-06,9.051121150940345805e-06,-6.032233571447338794e-06,-6.032233571447338794e-06,8.393801538763082104e-06,8.393801538763082104e-06,5.191531117887393521e-06,5.135285118995983056e-06
3.250000000000000111e-01,8.255293400490082423e-06,-3.268048916715664276e-05,1.304117895056799981e-05,-2.795187760237100028e-05,-3.295875348332394372e-06,-1.741190699777565853e-05,2.142251039300574478e-06,-1.052326876783277187e-05,-1.277991232763453500e-06,4.875157249624451072e-06,2.557470300621617065e-06,-5.350627212404729383e-06,2.699774936099769151e-06,-2.949825647002510265e-06,4.093578256764499046e-05,4.093578256764499046e-05,4.099305655294073480e-05,4.099305655294073480e-05,1.410133204323912870e-05,1.412288987191062661e-05,1.244292031420124456e-05,1.262402956011057786e-05,-6.153148482386169849e-06,-6.153148482386169849e-06,7.908097513026346448e-06,7.908097513026346448e-06,5.685454584522867116e-06,5.632463238241375292e-06
3.500000000000000333e-01,-7.207610197321884238e-06,-3.402333123843533091e-05,-2.100381303896114993e-06,-2.774464832261056002e-05,-1.676490352358478431e-05,-1.644746601776186923e-05,3.891761308130042840e-06,-1.310707895304380477e-05,-6.658492644924518533e-07,5.458759687038822195e-06,1.472558664505907444e-06,-5.573475650125225833e-06,2.954845869221345289e-06,-3.237230605562108066e-06,2.681572104111171195e-05,2.681572104111171195e-05,2.564426701871791447e-05,2.564426701871791447e-05,-3.320281322695406434e-07,-3.185420748424983017e-07,1.678852968097117870e-05,1.678525340446414271e-05,-6.124608951531274048e-06,-6.124608951531274048e-06,7.046034314629398554e-06,7.046034314629398554e-06,6.229423760609892335e-06,6.182209010961725593e-06
3.750000000000000000e-01,-2.930839584062636116e-05,-3.359651140978983652e-05,-2.393721817221458603e-05,-2.540673268854910793e-05,-3.523445033703359597e-05,-1.395676647940324866e-05,5.994939804274818096e-06,-1.595182369528401478e-05,1.311323636413175286e-07,6.023746968793208811e-06,1.034480903855383715e-07,-5.649432482587868343e-06,3.242126999737637849e-06,-3.570467800029231142e-06,4.288115569165210084e-06,4.288115569165210084e-06,1.469514516337991350e-06,1.469514516337991350e-06,-2.129104499818366969e-05,-2.129027219555101880e-05,2.176824429567757180e-05,2.149714747914054092e-05,-5.892614605151891283e-06,-5.892614605151891283e-06,5.752880572969937267e-06,5.752880572969937267e-06,6.850451064499205045e-06,6.811901604779346808e-06
4.000000000000000222e-01,-5.882178525588865892e-05,-3.105246800503939919e-05,-5.323883836164458594e-05,-2.057476173609150416e-05,-5.922976139763336256e-05,-9.670535670332561229e-06,8.412725405519683175e-06,-1.904536835691146568e-05,1.192381974605277728e-06,6.544552803319433898e-06,-1.641161112977268521e-06,-5.578731012003540490e-06,3.523674083280581293e-06,-3.969523182821219076e-06,-2.776931725085272917e-05,-2.776931725085272917e-05,-3.266407662555481650e-05,-3.266407662555481650e-05,-4.957004578381649096e-05,-4.958722348723416939e-05,2.733430877144976678e-05,2.670179820224438672e-05,-5.352170828714156170e-06,-5.352170828714156170e-06,3.937569899022802522e-06,3.937569899022802522e-06,7.530579767572875838e-06,7.504194517556767030e-06
4.250000000000000444e-01,-9.636243495929341929e-05,-2.608602144150290458e-05,-9.060333808968978886e-05,-1.296392213561911588e-05,-8.916304228276383803e-05,-3.348312147703758068e-06,1.109745810891349382e-05,-2.236795263846347304e-05,2.608962142158777198e-06,6.990306684124397707e-06,-3.860917811765451901e-06,-5.367919202432097636e-06,3.730233794234372180e-06,-4.440371608786797264e-06,-7.027641351779051471e-05,-7.027641351779051471e-05,-7.763941595406026464e-05,-7.763941595406026464e-05,-8.582154772895575490e-05,-8.586237750277808667e-05,3.342237386298740898e-05,3.232651343185177772e-05,-4.381344541969089956e-06,-4.381344541969089956e-06,1.507001390673584629e-06,1.507001390673584629e-06,8.206575276278188502e-06,8.196477015300768221e-06
4.500000000000000111e-01,-1.423483294299074386e-04,-1.845471067447174152e-05,-1.364212566323727560e-04,-2.388356949944298036e-06,-1.253038145580878671e-04,5.194050148735890327e-06,1.400625639862845828e-05,-2.588841142751527324e-05,4.439524366621483420e-06,7.328312697993388802e-06,-6.621103978553255498e-06,-5.019037573016082998e-06,3.781437036519397221e-06,-4.971595214862956080e-06,-1.238936187554322277e-04,-1.238936187554322277e-04,-1.340328996824249885e-04,-1.340328996824249885e-04,-1.304991207192844616e-04,-1.305696072487309845e-04,3.996074378469216537e-05,3.829379955490666565e-05,-2.888788331375374829e-06,-2.888788331375374829e-06,-1.602066405537172500e-06,-1.602066405537172500e-06,8.786664304805819059e-06,8.797399586653320558e-06
4.750000000000000333e-01,-1.969714611634795776e-04,-7.998529295470679923e-06,-1.908574410266553056e-04,1.122860467561714870e-05,-1.677528571607106445e-04,1.606197112493518153e-05,1.710927269527734440e-05,-2.956371868221771559e-05,6.676995057311452264e-06,7.525713893882790551e-06,-9.925836539026455796e-06,-4.519458177077578798e-06,3.611012281613812380e-06,-5.535273377432758934e-06,-1.889729318680158365e-04,-1.889729318680158365e-04,-2.020860457022793932e-04,-2.020860457022793932e-04,-1.838089232774238468e-04,-1.839151982594953993e-04,4.687788982050966613e-05,4.452949336208530950e-05,-8.487188365643993926e-07,-8.487188365643993926e-07,-5.406378361955815892e-06,-5.406378361955815892e-06,9.176570082435747677e-06,9.212797666559302545e-06
5.000000000000000000e-01,-2.601803265689997535e-04,5.343014180470700980e-06,-2.538514148884840615e-04,2.785394958434994628e-05,-2.164272515596532553e-04,2.926923155953387035e-05,2.038622771027148728e-05,-3.334246216249794892e-05,9.245532373476639254e-06,7.550421117448469222e-06,-1.371532814038733950e-05,-3.840528218279626316e-06,3.187194604570287026e-06,-6.092267702029890986e-06,-2.655233407494635156e-04,-2.655233407494635156e-04,-2.817053644728340078e-04,-2.817053644728340078e-04,-2.456818350123207706e-04,-2.458299809788358492e-04,5.410229494165821884e-05,5.096296157659774284e-05,1.695111256028170033e-06,1.695111256028170033e-06,-9.874799922104243732e-06,-9.874799922104243732e-06,9.305197290313677039e-06,9.371367306713895839e-06
5.250000000000000222e-01,-3.316790126486612866e-04,2.151901501629138735e-05,-3.251268467476323143e-04,4.735167240531648614e-05,-2.710598872566749584e-04,4.473516984198483426e-05,2.381035614911625187e-05,-3.717199146037811208e-05,1.203151644334904402e-05,7.373140267986216800e-06,-1.788395121768426854e-05,-2.947547974401637516e-06,2.520718566878521472e-06,-6.601260373231832013e-06,-3.531980276649526740e-04,-3.531980276649526740e-04,-3.724785191529522699e-04,-3.724785191529522699e-04,-3.157701553390124261e-04,-3.159660379780555861e-04,6.155351204298331602e-05,5.751820053377654229e-05,4.658376175369766115e-06,4.658376175369766115e-06,-1.493640324328610047e-05,-1.493640324328610047e-05,9.141730155259875090e-06,9.241817453778389257e-06
5.500000000000000444e-01,-4.109472758788701441e-04,4.036478331516032969e-05,-4.042011993846961193e-04,6.949492027256282123e-05,-3.312128944638684236e-04,6.229181330740657385e-05,2.732693196709490291e-05,-4.100804096383164898e-05,1.493425636080875085e-05,6.970753976733717883e-06,-2.230994247579692891e-05,-1.816242503793058516e-06,1.657672751932681710e-06,-7.029840402596881921e-06,-4.513120591940270043e-04,-4.513120591940270043e-04,-4.736961196572554711e-04,-4.736961196572554711e-04,-3.934681611043287786e-04,-3.937172730430066325e-04,6.913040335309802997e-05,6.410181297098957454e-05,7.963502384075032969e-06,7.963502384075032969e-06,-2.049369997200040094e-05,-2.049369997200040094e-05,8.699683608340974539e-06,8.837009779400634146e-06
5.750000000000000666e-01,-4.972817239590338056e-04,6.161221355990842419e-05,-4.903968803400410303e-04,9.398228904813898943e-05,-3.963036614547041370e-04,8.170047175715122734e-05,3.084041690216282605e-05,-4.482452214163087922e-05,1.791065674941472174e-05,6.329105567772635998e-06,-2.688632019590131428e-05,-4.475614638621561170e-07,6.601472991654699918e-07,-7.364444672402353786e-06,-5.588939375189422298e-04,-5.588939375189422298e-04,-5.843791693881800198e-04,-5.843791693881800198e-04,-4.779547088884367190e-04,-4.782620279095706195e-04,7.670829307426796362e-05,7.059961708818368598e-05,1.158155118164555519e-05,1.158155118164555519e-05,-2.643875873203915816e-05,-2.643875873203915816e-05,8.027591034805159342e-06,8.204754431813399140e-06
