Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Left
0.000000000000000000e+00,-4.889404014430426271e-02,-3.130001553338266490e-02,1.053299999999993131e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.061318936538764059e-02
2.500000000000000139e-02,-2.950450559423986596e-02,-3.730002338735517037e-02,1.053700000000006368e-03,7.923794804054256832e-04,6.696571326055811269e-05,5.101845009640906922e-05,6.695202116532627873e-05,5.102561343390196193e-05,-1.369209523183396483e-08,7.163337492892708075e-09,1.061318936538764059e-02
5.000000000000000278e-02,1.458633517234945651e-02,-2.040000593408835758e-02,1.061000000000007033e-03,7.976154681614085109e-04,2.665282416952257163e-04,2.019564410432348541e-04,2.664669099026844819e-04,2.020156976823063194e-04,-6.133179254123443530e-08,5.925663907146538727e-08,1.061318936538764059e-02
7.500000000000001110e-02,1.058768416706908078e-02,3.870000000000006768e-02,1.129499999999993140e-03,8.482300164692441018e-04,5.961191355128283784e-04,4.493968566976571689e-04,5.959638541679385549e-04,4.496060494557066380e-04,-1.552813448898234666e-07,2.091927580494690880e-07,1.061318936538764059e-02
1.000000000000000056e-01,-1.859221506621563935e-02,1.460000000000000187e-01,1.387000000000000429e-03,1.043706892692609000e-03,1.053273713068909878e-03,7.916911373370817771e-04,1.052968481215801194e-03,7.921814573624733980e-04,-3.052318531086839482e-07,4.903200253916209159e-07,1.061318936538764059e-02
1.250000000000000000e-01,2.459396502198563095e-01,2.188000000000000500e-01,1.709299999999998885e-03,1.289798317223809490e-03,1.635445123010125651e-03,1.229150252047870673e-03,1.634929485895787824e-03,1.230062932139032493e-03,-5.156371143378267463e-07,9.126800911618201950e-07,1.061318936538764059e-02
1.500000000000000222e-01,-6.133705304299312822e-01,2.423000000000000709e-01,2.337299999999999187e-03,1.773254520026238800e-03,2.339842923136904989e-03,1.764085814740049820e-03,2.339059648911161454e-03,1.765548741937332132e-03,-7.832742257435354460e-07,1.462927197282311298e-06,1.061318936538764059e-02
1.750000000000000167e-01,-5.900672146296713771e-01,2.490000000000000546e-01,3.155500000000003788e-03,2.417281014012146768e-03,3.163300103104290696e-03,2.400713358133991712e-03,3.162203846591380482e-03,2.402820088143651188e-03,-1.096256512910214614e-06,2.106730009659475711e-06,1.061318936538764059e-02
2.000000000000000111e-01,-2.132047374458641009e-01,1.523000000000000465e-01,4.146299999999996863e-03,3.218387140677543903e-03,4.102164083744199233e-03,3.144940523267133331e-03,4.100728663917003504e-03,3.147734606958341782e-03,-1.435419827195728859e-06,2.794083691208450876e-06,1.061318936538764059e-02
2.250000000000000056e-01,-1.023463992341578033e+00,-1.039999999999996309e-02,5.111599999999995661e-03,4.021238596594934808e-03,5.152209994982719088e-03,4.004061779862473809e-03,5.150431705920898579e-03,4.007531507901047549e-03,-1.778289061820509387e-06,3.469728038573739737e-06,1.061318936538764059e-02
2.500000000000000000e-01,-8.771732320745878608e-01,-1.512999999999999901e-01,6.181600000000003238e-03,4.942772441647941099e-03,6.308586534373565070e-03,4.986373259892280980e-03,6.306481479558889193e-03,4.990462707351190838e-03,-2.105054814675877406e-06,4.089447458909857558e-06,1.061318936538764059e-02
2.750000000000000222e-01,-7.161164547172119699e-01,-3.497000000000000108e-01,7.360200000000005974e-03,5.998696639104511043e-03,7.565816136810539841e-03,6.100713762833707456e-03,7.563411120835637422e-03,6.105351277843896508e-03,-2.405015974902419140e-06,4.637515010189052767e-06,1.061318936538764059e-02
3.000000000000000444e-01,-1.774701954769983603e+00,-5.121999999999998776e-01,8.869399999999999507e-03,7.412413333219918313e-03,8.917871236278736985e-03,7.355938990460017188e-03,8.915190188711267019e-03,7.361074275579013171e-03,-2.681047567469965753e-06,5.135285118995983056e-06,1.061318936538764059e-02
3.250000000000000111e-01,-1.925030957782907004e+00,-6.280999999999999917e-01,1.025910000000000363e-02,8.777260808279483545e-03,1.035833428191911681e-02,8.760348787994334113e-03,1.035538445627211430e-02,8.765981251232575489e-03,-2.949825647002510265e-06,5.632463238241375292e-06,1.061318936538764059e-02
3.500000000000000333e-01,-1.817483247785620426e+00,-8.460999999999999632e-01,1.146660000000000040e-02,1.000946326018748063e-02,1.188062873974995819e-02,1.032110527977688277e-02,1.187739150914439608e-02,1.032728748878784450e-02,-3.237230605562108066e-06,6.182209010961725593e-06,1.061318936538764059e-02
3.750000000000000000e-01,-2.050458788455947978e+00,-1.091400000000000148e+00,1.349150000000000175e-02,1.218414350817241532e-02,1.347829384382193477e-02,1.204369133034922934e-02,1.347472337602190554e-02,1.205050323195400869e-02,-3.570467800029231142e-06,6.811901604779346808e-06,1.061318936538764059e-02
4.000000000000000222e-01,-2.117037747802092085e+00,-1.158199999999999896e+00,1.481510000000000118e-02,1.367465468937557188e-02,1.514527397481714791e-02,1.393145637412483706e-02,1.514130445163432669e-02,1.393896056864239383e-02,-3.969523182821219076e-06,7.504194517556767030e-06,1.061318936538764059e-02
4.250000000000000444e-01,-2.591121728972338278e+00,-1.372100000000000097e+00,1.672389999999999988e-02,1.591740277818828528e-02,1.687620023493910382e-02,1.598528343062192991e-02,1.687175986333031702e-02,1.599347990763723068e-02,-4.440371608786797264e-06,8.196477015300768221e-06,1.061318936538764059e-02
4.500000000000000111e-01,-2.523790734085878729e+00,-1.361299999999999955e+00,1.813110000000000416e-02,1.763829742065469233e-02,1.866664790519009451e-02,1.820339665726559975e-02,1.866167630997523155e-02,1.821219405685225307e-02,-4.971595214862956080e-06,8.797399586653320558e-06,1.061318936538764059e-02
4.750000000000000333e-01,-2.240252199068848427e+00,-1.392900000000000027e+00,2.017969999999999833e-02,2.023709267687424929e-02,2.051335471060440618e-02,2.058131973597020214e-02,2.050781943722697342e-02,2.059053253363676145e-02,-5.535273377432758934e-06,9.212797666559302545e-06,1.061318936538764059e-02
5.000000000000000000e-01,-2.456603613133219177e+00,-1.481300000000000061e+00,2.201479999999999410e-02,2.264739237387842011e-02,2.241438464006186709e-02,2.311198922782176091e-02,2.240829237235983720e-02,2.312136059512847480e-02,-6.092267702029890986e-06,9.371367306713895839e-06,1.061318936538764059e-02
