Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Right
0.000000000000000000e+00,3.512347875554609061e-02,3.689999999999998836e-02,1.841300000000004045e-03,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.443146337299929027e-01
2.500000000000000139e-02,1.334188828706734942e-01,1.023000000000000020e-01,1.841899999999995494e-03,7.871434926494426387e-04,1.178363361844568747e-04,5.080921123791888133e-05,1.179696932342989396e-04,5.098512977018597133e-05,1.333570498420649005e-07,1.759185322670900006e-07,2.443146337299929027e-01
5.000000000000000278e-02,1.491259755220007421e-01,1.921999999999999820e-01,1.862200000000001354e-03,7.958701389094143073e-04,4.677792038359065226e-04,2.009495168435736798e-04,4.684642912736629913e-04,2.018745215668692823e-04,6.850874377564686833e-07,9.250047232956025520e-07,2.443146337299929027e-01
7.500000000000001110e-02,3.216320698991790294e-01,2.665000000000000147e-01,1.963999999999998733e-03,8.395033702092724332e-04,1.043638182312505531e-03,4.466685449840779938e-04,1.045566422276362041e-03,4.493401640660468852e-04,1.928239963856510225e-06,2.671619081968891387e-06,2.443146337299929027e-01
1.000000000000000056e-01,1.239859330196544790e-01,3.778000000000000247e-01,2.303399999999996249e-03,9.843656981248017409e-04,1.841164431964213265e-03,7.860175636164384253e-04,1.845213462826845487e-03,7.917903904924824317e-04,4.049030862632221200e-06,5.772826876044006433e-06,2.443146337299929027e-01
1.250000000000000000e-01,3.279218147266320660e-01,4.601000000000000090e-01,2.953000000000002932e-03,1.261873049191900280e-03,2.858101393926610993e-03,1.219110839763016315e-03,2.865195511160198872e-03,1.229555060398650939e-03,7.094117233587878685e-06,1.044422063563462365e-05,2.443146337299929027e-01
1.500000000000000222e-01,-9.098592643838666616e-01,4.124999999999999778e-01,3.919100000000000014e-03,1.679006740418544866e-03,4.094106116412490892e-03,1.748256886388445180e-03,4.105030973119527631e-03,1.764928922461990067e-03,1.092485670703673833e-05,1.667203607354488665e-05,2.443146337299929027e-01
1.750000000000000167e-01,-1.153642618446686807e+00,2.500000000000000000e-01,5.412700000000001191e-03,2.331759880664424286e-03,5.550546626545051904e-03,2.377945270577027596e-03,5.565738211933478341e-03,2.402084641425858685e-03,1.519158538842643735e-05,2.413937084883108902e-05,2.443146337299929027e-01
2.000000000000000111e-01,-8.018869843972686873e-01,-3.609999999999996545e-02,6.967500000000001470e-03,3.019419605950189947e-03,7.230188715324526415e-03,3.114682750914785341e-03,7.249523446906869055e-03,3.146876914541222106e-03,1.933473158234264022e-05,3.219416362643676491e-05,2.443146337299929027e-01
2.250000000000000056e-01,-1.744979723298943464e+00,-3.561000000000000276e-01,8.735500000000001944e-03,3.815289744859604038e-03,9.136792693073771468e-03,3.966683321303795563e-03,9.159403385700419509e-03,4.006555453186668066e-03,2.261069262664804069e-05,3.987213188287250243e-05,2.443146337299929027e-01
2.500000000000000000e-01,-2.215921026866235710e+00,-6.878999999999999559e-01,1.071609999999999750e-02,4.722860955896655832e-03,1.127464658901576253e-02,4.943427439651424879e-03,1.129878103337540567e-02,4.989394141154841582e-03,2.413444435964313961e-05,4.596670150341670286e-05,2.443146337299929027e-01
2.750000000000000222e-01,-2.381292557411557986e+00,-1.092999999999999972e+00,1.293030000000000221e-02,5.761331860833282005e-03,1.364806647537264092e-02,6.055115490729954739e-03,1.367099571661188964e-02,6.104236771969839478e-03,2.292924123924872104e-05,4.912128123988473982e-05,2.443146337299929027e-01
3.000000000000000444e-01,-2.618362041518620842e+00,-1.502199999999999980e+00,1.582689999999999445e-02,7.157595262428745504e-03,1.626089676954194790e-02,7.312048616187897393e-03,1.627887230067111626e-02,7.359964935638980445e-03,1.797553112916835949e-05,4.791631945108305174e-05,2.443146337299929027e-01
