Time(s),Fb_Right_Filtered(N),Mb_Right_Filtered(Nm),Fb_Left_Filtered(N),Mb_Left_Filtered(Nm),Fb_Right_Raw(N),Mb_Right_Raw(Nm),Fb_Left_Raw(N),Mb_Left_Raw(Nm),Ext_Force_Body(N),Ext_Moment_Body(Nm),X_Num_Right_Interface(m),X_Exp_Right_Interface(m),X_Cmd_Right_Interface(m),Rz_Num_Right_Interface(rad),Rz_Exp_Right_Interface(rad),Rz_Cmd_Right_Interface(rad),X_Num_Left_Interface(m),X_Exp_Left_Interface(m),X_Cmd_Left_Interface(m),Rz_Num_Left_Interface(rad),Rz_Exp_Left_Interface(rad),Rz_Cmd_Left_Interface(rad),X_Body_COM(m),Rz_Body(rad)
0.000000000000000000e+00,3.329811707675053162e-02,3.555756163263612546e-02,6.890004223503344571e-02,4.317715538762566252e-02,3.512347875554609061e-02,3.689999999999998836e-02,6.982858443774939139e-02,4.390000000000005009e-02,4.501246882793017789e+02,5.004987531172069737e+01,0.000000000000000000e+00,1.841300000000004045e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.055400000000005813e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.746408509040073831e-01,1.237142870660283001e-01,1.589797133859778000e-01,1.452849716866563279e-01,1.334188828706734942e-01,1.023000000000000020e-01,3.925803308113554740e-02,1.228000000000000203e-01,4.372199251494733403e+02,4.750381026508353699e+01,1.179696932342989396e-04,1.841899999999995494e-03,1.178363361844568747e-04,5.098512977018597133e-05,7.871434926494426387e-04,5.080921123791888133e-05,6.698456346411296822e-05,1.055700000000001646e-03,6.702712494653798655e-05,5.098512977018597133e-05,7.871434926494426387e-04,5.080921123791888133e-05,9.247712834920595389e-05,5.098512977018597133e-05
5.000000000000000278e-02,2.632201396109168368e-01,2.175337810723687038e-01,2.325198559372817220e-01,2.530045724482041791e-01,1.491259755220007421e-01,1.921999999999999820e-01,1.782017331667923310e-01,2.444000000000000061e-01,4.268689105397496633e+02,4.565820534416518228e+01,4.684642912736629913e-04,1.862200000000001354e-03,4.677792038359065226e-04,2.018745215668692823e-04,7.958701389094143073e-04,2.009495168435736798e-04,2.665897697067937631e-04,1.067400000000006321e-03,2.668296869923328699e-04,2.018745215668692823e-04,7.958701389094143073e-04,2.009495168435736798e-04,3.675270304902283772e-04,2.018745215668692823e-04
7.500000000000001110e-02,2.535359300532320503e-01,3.119170283994113224e-01,2.708808364465925544e-01,3.634026884486848408e-01,3.216320698991790294e-01,2.665000000000000147e-01,2.696556869519955435e-01,3.104999999999999982e-01,4.190590495251834682e+02,4.469092631349712263e+01,1.045566422276362041e-03,1.963999999999998733e-03,1.043638182312505531e-03,4.493401640660468852e-04,8.395033702092724332e-04,4.466685449840779938e-04,5.962262582103151562e-04,1.147199999999997961e-03,5.969696373284274831e-04,4.493401640660468852e-04,8.552113334772214583e-04,4.466685449840779938e-04,8.208963402433385988e-04,4.493401640660468852e-04
1.000000000000000056e-01,1.212898446842609751e-01,3.878417345225140811e-01,2.574165145233250351e-01,4.618579737083713943e-01,1.239859330196544790e-01,3.778000000000000247e-01,3.056510510269200287e-01,4.817000000000000171e-01,4.135948393300211592e+02,4.472952377320435602e+01,1.845213462826845487e-03,2.303399999999996249e-03,1.841164431964213265e-03,7.917903904924824317e-04,9.843656981248017409e-04,7.860175636164384253e-04,1.053423072334363272e-03,1.369100000000003084e-03,1.055146868347775057e-03,7.917903904924824317e-04,1.021017612416682836e-03,7.860175636164384253e-04,1.449318267580604379e-03,7.917903904924824317e-04
1.250000000000000000e-01,-1.290833097629666415e-01,4.163457513914327057e-01,1.835977233012050236e-01,5.248318086562606677e-01,3.279218147266320660e-01,4.601000000000000090e-01,5.407891662039006064e-01,5.627999999999999670e-01,4.101216739291513136e+02,4.583900056739177842e+01,2.865195511160198872e-03,2.953000000000002932e-03,2.858101393926610993e-03,1.229555060398650939e-03,1.261873049191900280e-03,1.219110839763016315e-03,1.635640450761548150e-03,1.690700000000006781e-03,1.638990554163594461e-03,1.229555060398650939e-03,1.261873049191900280e-03,1.219110839763016315e-03,2.250417980960873511e-03,1.229555060398650939e-03
1.500000000000000222e-01,-4.676564454220740741e-01,3.686972453920920323e-01,5.136698713411574913e-02,5.278336329171393615e-01,-9.098592643838666616e-01,4.124999999999999778e-01,-2.970658993106277679e-01,4.797000000000000153e-01,4.081590155386284096e+02,4.801379441140586835e+01,4.105030973119527631e-03,3.919100000000000014e-03,4.094106116412490892e-03,1.764928922461990067e-03,1.679006740418544866e-03,1.748256886388445180e-03,2.340102050657537781e-03,2.346199999999996205e-03,2.345849230024045929e-03,1.764928922461990067e-03,1.762782544514272928e-03,1.748256886388445180e-03,3.222566511888532922e-03,1.764928922461990067e-03
1.750000000000000167e-01,-8.542210276338244590e-01,2.273149145585438291e-01,-1.319108924959529194e-01,4.548419131948953642e-01,-1.153642618446686807e+00,2.500000000000000000e-01,-3.543487399364595447e-01,5.090000000000000080e-01,4.071406360985847073e+02,5.117469873105106615e+01,5.565738211933478341e-03,5.412700000000001191e-03,5.550546626545051904e-03,2.402084641425858685e-03,2.331759880664424286e-03,2.377945270577027596e-03,3.163653570507619223e-03,3.072599999999994346e-03,3.172601355968024742e-03,2.402084641425858685e-03,2.324778563656447038e-03,2.377945270577027596e-03,4.364695891220548782e-03,2.402084641425858685e-03
2.000000000000000111e-01,-1.256483935127729046e+00,-8.254281032944964930e-03,-3.611530571996504069e-01,3.048164020500667148e-01,-8.018869843972686873e-01,-3.609999999999996545e-02,1.762327835089448277e-02,3.649999999999999911e-01,4.064592057585302314e+02,5.517107273290907443e+01,7.249523446906869055e-03,6.967500000000001470e-03,7.230188715324526415e-03,3.146876914541222106e-03,3.019419605950189947e-03,3.114682750914785341e-03,4.102646532365646949e-03,3.920299999999997224e-03,4.115505964409740640e-03,3.146876914541222106e-03,2.996730325674263565e-03,3.114682750914785341e-03,5.676084989636258002e-03,3.146876914541222106e-03
2.250000000000000056e-01,-1.659235307495903866e+00,-3.226677666216054563e-01,-6.355785223766091674e-01,9.219795424265289641e-02,-1.744979723298943464e+00,-3.561000000000000276e-01,-8.986605743782756228e-01,4.820000000000002061e-02,4.055122542481453252e+02,5.978828870153687092e+01,9.159403385700419509e-03,8.735500000000001944e-03,9.136792693073771468e-03,4.006555453186668066e-03,3.815289744859604038e-03,3.966683321303795563e-03,5.152847932513750576e-03,4.879300000000000477e-03,5.170109371769975037e-03,4.006555453186668066e-03,3.780383159819717363e-03,3.966683321303795563e-03,7.156125659107085042e-03,4.006555453186668066e-03
2.500000000000000000e-01,-2.060908748956074010e+00,-6.914019735374121733e-01,-9.527225352725968710e-01,-1.589305727093486831e-01,-2.215921026866235710e+00,-6.878999999999999559e-01,-8.407009672615933793e-01,-2.006000000000000005e-01,4.037464701941786984e+02,6.475996194456593003e+01,1.129878103337540567e-02,1.071609999999999750e-02,1.127464658901576253e-02,4.989394141154841582e-03,4.722860955896655832e-03,4.943427439651424879e-03,6.309386892220563217e-03,6.139700000000004876e-03,6.331219149364338515e-03,4.989394141154841582e-03,4.853760649796231078e-03,4.943427439651424879e-03,8.804083962797984442e-03,4.989394141154841582e-03
2.750000000000000222e-01,-2.463433975171360757e+00,-1.088308447830539816e+00,-1.300504775471172714e+00,-4.238580186267444927e-01,-2.381292557411557986e+00,-1.092999999999999972e+00,-1.016293683610419940e+00,-4.649999999999999689e-01,4.006974362380888692e+02,6.978413825265810999e+01,1.367099571661188964e-02,1.293030000000000221e-02,1.364806647537264092e-02,6.104236771969839478e-03,5.761331860833282005e-03,6.055115490729954739e-03,7.566758944642049296e-03,7.331000000000003312e-03,7.592950984642687050e-03,6.104236771969839478e-03,5.911430176504793924e-03,6.055115490729954739e-03,1.061887733062696904e-02,6.104236771969839478e-03
3.000000000000000444e-01,-2.862936315081168637e+00,-1.490581764766183870e+00,-1.655422679070672753e+00,-6.842933600426210905e-01,-2.618362041518620842e+00,-1.502199999999999980e+00,-1.862281522341538764e+00,-6.663000000000000034e-01,3.960222153077618259e+02,7.454230435858931969e+01,1.627887230067111626e-02,1.582689999999999445e-02,1.626089676954194790e-02,7.359964935638980445e-03,7.157595262428745504e-03,7.312048616187897393e-03,8.918907365032134951e-03,8.602500000000005975e-03,8.948848153354048776e-03,7.359964935638980445e-03,7.091272750852960563e-03,7.312048616187897393e-03,1.259888983285162474e-02,7.359964935638980445e-03
3.250000000000000111e-01,-3.245852263240267543e+00,-1.880074631537229868e+00,-1.989395682132735432e+00,-9.299063076784022108e-01,-3.367679545974527677e+00,-1.826299999999999812e+00,-2.303357438884005681e+00,-8.914000000000000812e-01,3.895226850356444288e+02,7.871986309103431267e+01,1.912429861513689072e-02,1.903929999999999859e-02,1.911604332173640064e-02,8.764911591953521153e-03,8.747590210995579915e-03,8.723975809385876162e-03,1.035938702318336783e-02,1.041819999999999899e-02,1.039206751235052448e-02,8.764911591953521153e-03,8.873253917139171248e-03,8.723975809385876162e-03,1.474184281916012841e-02,8.764911591953521153e-03
3.500000000000000333e-01,-3.591423538041226493e+00,-2.241971500208392420e+00,-2.279595633912995023e+00,-1.154951460120732465e+00,-4.141221691491026924e+00,-2.298299999999999788e+00,-2.026509770959842971e+00,-1.122999999999999776e+00,3.811581321823623512e+02,8.202659448333047010e+01,2.220786218874617329e-02,2.200400000000000619e-02,2.221506979894349518e-02,1.032626488249162658e-02,1.025555468471868112e-02,1.029944916145051487e-02,1.188159730625454498e-02,1.162139999999999528e-02,1.191562063749298031e-02,1.032626488249162658e-02,1.011941900306312196e-02,1.029944916145051487e-02,1.704472974750035827e-02,1.032626488249162658e-02
