Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,3.512347875554609061e-02,3.689999999999998836e-02,1.841300000000004045e-03,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.334188828706734942e-01,1.023000000000000020e-01,1.841899999999995494e-03,7.871434926494426387e-04,1.178363361844568747e-04,5.080921123791888133e-05
5.000000000000000278e-02,1.491259755220007421e-01,1.921999999999999820e-01,1.862200000000001354e-03,7.958701389094143073e-04,4.677792038359065226e-04,2.009495168435736798e-04
7.500000000000001110e-02,3.216320698991790294e-01,2.665000000000000147e-01,1.963999999999998733e-03,8.395033702092724332e-04,1.043638182312505531e-03,4.466685449840779938e-04
1.000000000000000056e-01,1.239859330196544790e-01,3.778000000000000247e-01,2.303399999999996249e-03,9.843656981248017409e-04,1.841164431964213265e-03,7.860175636164384253e-04
1.250000000000000000e-01,3.279218147266320660e-01,4.601000000000000090e-01,2.953000000000002932e-03,1.261873049191900280e-03,2.858101393926610993e-03,1.219110839763016315e-03
1.500000000000000222e-01,-9.098592643838666616e-01,4.124999999999999778e-01,3.919100000000000014e-03,1.679006740418544866e-03,4.094106116412490892e-03,1.748256886388445180e-03
1.750000000000000167e-01,-1.153642618446686807e+00,2.500000000000000000e-01,5.412700000000001191e-03,2.331759880664424286e-03,5.550546626545051904e-03,2.377945270577027596e-03
2.000000000000000111e-01,-8.018869843972686873e-01,-3.609999999999996545e-02,6.967500000000001470e-03,3.019419605950189947e-03,7.230188715324526415e-03,3.114682750914785341e-03
2.250000000000000056e-01,-1.744979723298943464e+00,-3.561000000000000276e-01,8.735500000000001944e-03,3.815289744859604038e-03,9.136792693073771468e-03,3.966683321303795563e-03
2.500000000000000000e-01,-2.215921026866235710e+00,-6.878999999999999559e-01,1.071609999999999750e-02,4.722860955896655832e-03,1.127464658901576253e-02,4.943427439651424879e-03
2.750000000000000222e-01,-2.381292557411557986e+00,-1.092999999999999972e+00,1.293030000000000221e-02,5.761331860833282005e-03,1.364806647537264092e-02,6.055115490729954739e-03
3.000000000000000444e-01,-2.618362041518620842e+00,-1.502199999999999980e+00,1.582689999999999445e-02,7.157595262428745504e-03,1.626089676954194790e-02,7.312048616187897393e-03
3.250000000000000111e-01,-3.367679545974527677e+00,-1.826299999999999812e+00,1.903929999999999859e-02,8.747590210995579915e-03,1.911604332173640064e-02,8.723975809385876162e-03
3.500000000000000333e-01,-4.141221691491026924e+00,-2.298299999999999788e+00,2.200400000000000619e-02,1.025555468471868112e-02,2.221506979894349518e-02,1.029944916145051487e-02
3.750000000000000000e-01,-3.043221505239516400e+00,-2.540200000000000014e+00,2.517669999999999630e-02,1.190838148635731120e-02,2.555788345833946359e-02,1.204522911182742510e-02
4.000000000000000222e-01,-4.311766373723735057e+00,-2.788599999999999746e+00,2.856570000000000636e-02,1.371654259142343624e-02,2.914253014751272408e-02,1.396577848669916869e-02
4.250000000000000444e-01,-4.862310615798699942e+00,-3.088799999999999990e+00,3.275709999999999733e-02,1.600466924078800326e-02,3.296511069442698005e-02,1.606287821954994338e-02
4.500000000000000111e-01,-3.484008330850117741e+00,-3.065399999999999903e+00,3.657019999999999715e-02,1.813048026971709331e-02,3.701982228462617763e-02,1.833538937363854079e-02
4.750000000000000333e-01,-4.094954832106727949e+00,-3.181099999999999817e+00,4.128489999999999244e-02,2.080956067152838970e-02,4.129911956611014012e-02,2.077917604258234033e-02
5.000000000000000000e-01,-4.205789059411287667e+00,-2.997399999999999842e+00,4.551260000000000722e-02,2.325127629506846053e-02,4.579398170223945158e-02,2.338719264398142136e-02
5.250000000000000222e-01,-4.174345486174276587e+00,-2.919399999999999995e+00,4.915940000000000587e-02,2.538057798250153985e-02,5.049426402262277569e-02,2.614972786998507118e-02
5.500000000000000444e-01,-3.179166331941127410e+00,-2.556299999999999795e+00,5.369540000000000424e-02,2.805267706730485769e-02,5.538910685304662684e-02,2.905478695827400787e-02
5.750000000000000666e-01,-1.968930312149725914e+00,-2.222900000000000098e+00,5.929869999999999586e-02,3.138101995085804813e-02,6.046736998812010655e-02,3.208858478468699926e-02
6.000000000000000888e-01,-3.999808368851798246e+00,-1.901100000000000012e+00,6.439300000000000579e-02,3.441963817858017388e-02,6.571805941841260545e-02,3.523611522855190498e-02
6.250000000000000000e-01,-2.951101648093946483e+00,-1.365899999999999892e+00,6.968580000000000607e-02,3.758042945394190343e-02,7.113071349079751193e-02,3.848175783196872840e-02
6.500000000000000222e-01,-8.360804025108853343e-01,-1.105599999999999916e+00,7.598490000000000799e-02,4.133637800423369674e-02,7.669571864600381594e-02,4.180988126867572069e-02
6.750000000000000444e-01,-2.645535676853953966e+00,-8.367999999999999883e-01,8.241380000000000927e-02,4.514992241984130961e-02,8.240453004615989896e-02,4.520540463340796955e-02
7.000000000000000666e-01,-8.942124923369773049e-01,-3.413999999999999813e-01,8.709559999999999524e-02,4.790754263799235080e-02,8.824977942038567114e-02,4.865428190357244664e-02
7.250000000000000888e-01,-1.295606407199295873e+00,-9.949999999999996347e-02,9.372749999999999138e-02,5.178217357741975863e-02,9.422526082339495457e-02,5.214388173781625557e-02
7.500000000000000000e-01,-2.264931843265514111e+00,1.106000000000000316e-01,9.851949999999999597e-02,5.455201110033476575e-02,1.003257941225951383e-01,5.566324349886577622e-02
7.750000000000000222e-01,5.144322949071682416e-01,6.031999999999999584e-01,1.053419000000000022e-01,5.844758599078610922e-02,1.065469752447960050e-01,5.920320031631462476e-02
8.000000000000000444e-01,2.699971575423804060e-02,6.103000000000000647e-01,1.113698000000000049e-01,6.184050605666308736e-02,1.128848308528722505e-01,6.275637034783099200e-02
8.250000000000000666e-01,1.182823378242366941e+00,9.371000000000000441e-01,1.185615000000000002e-01,6.582509273896613999e-02,1.193354025500658333e-01,6.631702733996777677e-02
8.500000000000000888e-01,9.708392544620417230e-02,9.471000000000000529e-01,1.248405999999999960e-01,6.925117406063101277e-02,1.258942913723475887e-01,6.988087035873996600e-02
8.750000000000000000e-01,-1.115333669168458997e+00,8.639000000000000012e-01,1.301553999999999767e-01,7.211176870464972022e-02,1.325561967985794953e-01,7.344471948361197544e-02
9.000000000000000222e-01,3.213142130040847366e+00,9.598999999999999755e-01,1.377018999999999882e-01,7.611729933797670156e-02,1.393144855116409397e-01,7.700616881924109147e-02
9.250000000000000444e-01,-1.622385300647349204e+00,3.894000000000000239e-01,1.443109000000000197e-01,7.957130592767347466e-02,1.461608235862177640e-01,8.056323005458243536e-02
9.500000000000000666e-01,4.490136737080556162e-01,4.637999999999999901e-01,1.521115000000000106e-01,8.359428985352040931e-02,1.530849017514510912e-01,8.411399888516080114e-02
9.750000000000000888e-01,1.879466025921630923e+00,2.504000000000000115e-01,1.577192000000000038e-01,8.645313916828711864e-02,1.600742771505458961e-01,8.765637303376982992e-02
1.000000000000000000e+00,-1.729061189680247912e+00,-3.117000000000000326e-01,1.656542000000000014e-01,9.045692447236211575e-02,1.671143470282510646e-01,9.118784469462061504e-02
1.025000000000000133e+00,-3.129790484084318813e-01,-3.099999999999999978e-01,1.725097999999999909e-01,9.388126046477497655e-02,1.741884605858648460e-01,9.470538250948032366e-02
1.050000000000000044e+00,-1.519196953130707461e+00,-7.851999999999998980e-01,1.793270000000000142e-01,9.726021789663601147e-02,1.812781655082511267e-01,9.820540932828657199e-02
1.074999999999999956e+00,-1.015768325289891250e+00,-8.473999999999999311e-01,1.883555000000000090e-01,1.017073168307175562e-01,1.883635760882446109e-01,1.016838727664396008e-01
1.100000000000000089e+00,-8.484715431462874768e-01,-9.843999999999999417e-01,1.950756000000000157e-01,1.049990077999788662e-01,1.954238411437860534e-01,1.051363967289417473e-01
1.125000000000000000e+00,-7.865234020870475184e-01,-1.075199999999999934e+00,2.016625999999999974e-01,1.082191402699084065e-01,2.024376826776188021e-01,1.085584943738043401e-01
1.150000000000000133e+00,-8.359920444836296261e-01,-9.982999999999999652e-01,2.081924000000000274e-01,1.114078568133020503e-01,2.093839709997375176e-01,1.119458170827060256e-01
1.175000000000000044e+00,-1.405134100463860392e-01,-8.217999999999998639e-01,2.158337999999999923e-01,1.151446067418218921e-01,2.162422992070018313e-01,1.152944103951274585e-01
1.200000000000000178e+00,-1.488612484597950703e+00,-7.166999999999998927e-01,2.223471000000000197e-01,1.183385592729715302e-01,2.229935197082098530e-01,1.186009468522409432e-01
1.225000000000000089e+00,3.031620461913878128e-01,-1.701999999999999624e-01,2.287223999999999924e-01,1.214766612680573260e-01,2.296202079236560056e-01,1.218629073823914860e-01
1.250000000000000000e+00,-2.048213848440155749e-01,-1.989999999999996980e-02,2.339237000000000122e-01,1.240545125732529508e-01,2.361070232116898315e-01,1.250786871114755727e-01
1.275000000000000133e+00,1.293258306658232382e+00,4.022000000000000020e-01,2.410780000000000145e-01,1.276272015520853453e-01,2.424409441369896334e-01,1.282476079561930271e-01
1.300000000000000044e+00,1.925134898878382961e+00,7.972000000000000197e-01,2.470810000000000228e-01,1.306588384627994925e-01,2.486113638966078176e-01,1.313698285275489430e-01
1.325000000000000178e+00,-1.148112337712463571e-01,1.001100000000000101e+00,2.538459000000000132e-01,1.341198263695042581e-01,2.546100414411588964e-01,1.344461510642940005e-01
1.350000000000000089e+00,3.150048956180072857e+00,1.548699999999999966e+00,2.585209999999999453e-01,1.365440887005243964e-01,2.604309138756948916e-01,1.374777345700640419e-01
1.375000000000000000e+00,2.895772385521633296e+00,1.787800000000000056e+00,2.639988999999999808e-01,1.394291179540710079e-01,2.660697853790194300e-01,1.404657322547213372e-01
1.400000000000000133e+00,2.289037795948364984e+00,2.078100000000000058e+00,2.702319000000000249e-01,1.427731688008921640e-01,2.715239164499678171e-01,1.434108790265748168e-01
1.425000000000000044e+00,3.150692217454359234e+00,2.389100000000000001e+00,2.762606000000000228e-01,1.460788224041693895e-01,2.767915441605466875e-01,1.463130604915234001e-01
1.450000000000000178e+00,2.515094495538227726e+00,2.339700000000000113e+00,2.811973000000000389e-01,1.488399332808244546e-01,2.818713687768018561e-01,1.491708981820549229e-01
1.475000000000000089e+00,3.898549553022147673e+00,2.565799999999999859e+00,2.859283000000000241e-01,1.515399576336596832e-01,2.867620442644880363e-01,1.519813862500576374e-01
1.500000000000000000e+00,3.525898337629400636e+00,2.442200000000000149e+00,2.904751999999999890e-01,1.541876221089350796e-01,2.914617096754276160e-01,1.547396125179530124e-01
