Time(s),Iter1_Right_X_Displacement_Delta(m),Iter1_Left_X_Displacement_Delta(m),Iter1_Right_Rotation_Delta(rad),Iter1_Left_Rotation_Delta(rad)
8.000000000000000444e-01,-1.445596358598630338e-03,2.943053384431987274e-04,-1.739901697041836004e-03,-1.739901697041836004e-03
8.250000000000000666e-01,-1.553912652201269728e-03,3.175444141064603931e-04,-1.871457066307730122e-03,-1.871457066307730122e-03
8.500000000000000888e-01,-1.660229795362719307e-03,3.392310524202302169e-04,-1.999460847782963402e-03,-1.999460847782963402e-03
8.750000000000000000e-01,-1.764330545024811459e-03,3.592750518020756956e-04,-2.123605596826907971e-03,-2.123605596826907971e-03
9.000000000000000222e-01,-1.866238332431213731e-03,3.776685728561421374e-04,-2.243906905287348930e-03,-2.243906905287348930e-03
9.250000000000000444e-01,-1.966198765206345067e-03,3.944962732394668992e-04,-2.360695038445798088e-03,-2.360695038445798088e-03
9.500000000000000666e-01,-2.064658135956604079e-03,4.099432233534705539e-04,-2.474601359310074633e-03,-2.474601359310074633e-03
9.750000000000000888e-01,-2.162238718030007334e-03,4.242896145804503361e-04,-2.586528332610485426e-03,-2.586528332610485426e-03
1.000000000000000000e+00,-2.259696218160522907e-03,4.378842022382534171e-04,-2.697580420398762446e-03,-2.697580420398762446e-03
1.025000000000000133e+00,-2.357846087295945026e-03,4.510992119271806100e-04,-2.808945299223153391e-03,-2.808945299223153391e-03
1.050000000000000044e+00,-2.457463895117556474e-03,4.642807962546291467e-04,-2.921744691372157865e-03,-2.921744691372157865e-03
1.074999999999999956e+00,-2.559186229676102542e-03,4.777120546864965789e-04,-3.036898284362626876e-03,-3.036898284362626876e-03
1.100000000000000089e+00,-2.663442873571120195e-03,4.915968034216455784e-04,-3.155039676992738018e-03,-3.155039676992738018e-03
1.125000000000000000e+00,-2.770432885503659737e-03,5.060583531838608318e-04,-3.276491238687548324e-03,-3.276491238687548324e-03
1.150000000000000133e+00,-2.880131723477452610e-03,5.211401598864129348e-04,-3.401271883363865545e-03,-3.401271883363865545e-03
1.175000000000000044e+00,-2.992304284325619790e-03,5.368001757079521319e-04,-3.529104460033585799e-03,-3.529104460033585799e-03
1.200000000000000178e+00,-3.106507522108670205e-03,5.529028315163220242e-04,-3.659410353625019985e-03,-3.659410353625019985e-03
1.225000000000000089e+00,-3.222086418708441924e-03,5.692207332245458051e-04,-3.791307151932987729e-03,-3.791307151932987729e-03
1.250000000000000000e+00,-3.338180889225467185e-03,5.854547423698314157e-04,-3.923635631595284723e-03,-3.923635631595284723e-03
1.275000000000000133e+00,-3.453758173453475022e-03,6.012681974105898997e-04,-4.055026370864051044e-03,-4.055026370864051044e-03
1.300000000000000044e+00,-3.567670467281791602e-03,6.163196546576099610e-04,-4.183990121939373807e-03,-4.183990121939373807e-03
1.325000000000000178e+00,-3.678725597352938692e-03,6.302797689147904281e-04,-4.309005366267742998e-03,-4.309005366267742998e-03
1.350000000000000089e+00,-3.785757912835530092e-03,6.428316286277852010e-04,-4.428589541463329171e-03,-4.428589541463329171e-03
1.375000000000000000e+00,-3.887691922540736922e-03,6.536674696542288387e-04,-4.541359392194993516e-03,-4.541359392194993516e-03
1.400000000000000133e+00,-3.983593537548790753e-03,6.624957253449081929e-04,-4.646089262893643435e-03,-4.646089262893643435e-03
1.425000000000000044e+00,-4.072703661567589339e-03,6.690610750406666973e-04,-4.741764736608283792e-03,-4.741764736608283792e-03
1.450000000000000178e+00,-4.154452898884553047e-03,6.731681877633344246e-04,-4.827621086647887472e-03,-4.827621086647887472e-03
1.475000000000000089e+00,-4.228463787184888467e-03,6.746973594447813749e-04,-4.903161146629669842e-03,-4.903161146629669842e-03
1.500000000000000000e+00,-4.294550378112993450e-03,6.736068693440899757e-04,-4.968157247457055670e-03,-4.968157247457055670e-03
1.525000000000000133e+00,-4.352720973261448023e-03,6.699254102236762431e-04,-5.022646383485152022e-03,-5.022646383485152022e-03
1.550000000000000044e+00,-4.403183331831483915e-03,6.637425250530237797e-04,-5.066925856884563206e-03,-5.066925856884563206e-03
1.575000000000000178e+00,-4.446347480875301184e-03,6.552040150352711478e-04,-5.101551495910600087e-03,-5.101551495910600087e-03
1.600000000000000089e+00,-4.482819335925980475e-03,6.445139776718455948e-04,-5.127333313597826070e-03,-5.127333313597826070e-03
1.625000000000000000e+00,-4.513377966532894359e-03,6.319385437716928955e-04,-5.145316510304642765e-03,-5.145316510304642765e-03
1.650000000000000133e+00,-4.538931468991480589e-03,6.178024775934654045e-04,-5.156733946584945993e-03,-5.156733946584945993e-03
1.675000000000000044e+00,-4.560450544893679403e-03,6.024710366836494302e-04,-5.162921581577328833e-03,-5.162921581577328833e-03
1.700000000000000178e+00,-4.578882963376718074e-03,5.863150145610229735e-04,-5.165197977937685536e-03,-5.165197977937685536e-03
1.725000000000000089e+00,-4.595056357123039614e-03,5.696635687927054104e-04,-5.164719925915689513e-03,-5.164719925915689513e-03
1.750000000000000000e+00,-4.609582633898212656e-03,5.527541926278467521e-04,-5.162336826526087163e-03,-5.162336826526087163e-03
1.775000000000000133e+00,-4.622781459483582545e-03,5.356904270485407515e-04,-5.158471886532178807e-03,-5.158471886532178807e-03
