Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Left
0.000000000000000000e+00,6.982858443774939139e-02,4.390000000000005009e-02,1.055400000000005813e-03,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.404840942428260187e-01
2.500000000000000139e-02,3.925803308113554740e-02,1.228000000000000203e-01,1.055700000000001646e-03,7.871434926494426387e-04,6.702712494653798655e-05,5.080921123791888133e-05,6.698456346411296822e-05,5.098512977018597133e-05,-4.256148242501832379e-08,1.759185322670900006e-07,2.404840942428260187e-01
5.000000000000000278e-02,1.782017331667923310e-01,2.444000000000000061e-01,1.067400000000006321e-03,7.958701389094143073e-04,2.668296869923328699e-04,2.009495168435736798e-04,2.665897697067937631e-04,2.018745215668692823e-04,-2.399172855391067637e-07,9.250047232956025520e-07,2.404840942428260187e-01
7.500000000000001110e-02,2.696556869519955435e-01,3.104999999999999982e-01,1.147199999999997961e-03,8.552113334772214583e-04,5.969696373284274831e-04,4.466685449840779938e-04,5.962262582103151562e-04,4.493401640660468852e-04,-7.433791181123269518e-07,2.671619081968891387e-06,2.404840942428260187e-01
1.000000000000000056e-01,3.056510510269200287e-01,4.817000000000000171e-01,1.369100000000003084e-03,1.021017612416682836e-03,1.055146868347775057e-03,7.860175636164384253e-04,1.053423072334363272e-03,7.917903904924824317e-04,-1.723796013411785233e-06,5.772826876044006433e-06,2.404840942428260187e-01
1.250000000000000000e-01,5.407891662039006064e-01,5.627999999999999670e-01,1.690700000000006781e-03,1.261873049191900280e-03,1.638990554163594461e-03,1.219110839763016315e-03,1.635640450761548150e-03,1.229555060398650939e-03,-3.350103402046311282e-06,1.044422063563462365e-05,2.404840942428260187e-01
1.500000000000000222e-01,-2.970658993106277679e-01,4.797000000000000153e-01,2.346199999999996205e-03,1.762782544514272928e-03,2.345849230024045929e-03,1.748256886388445180e-03,2.340102050657537781e-03,1.764928922461990067e-03,-5.747179366508148313e-06,1.667203607354488665e-05,2.404840942428260187e-01
1.750000000000000167e-01,-3.543487399364595447e-01,5.090000000000000080e-01,3.072599999999994346e-03,2.324778563656447038e-03,3.172601355968024742e-03,2.377945270577027596e-03,3.163653570507619223e-03,2.402084641425858685e-03,-8.947785460405519031e-06,2.413937084883108902e-05,2.404840942428260187e-01
2.000000000000000111e-01,1.762327835089448277e-02,3.649999999999999911e-01,3.920299999999997224e-03,2.996730325674263565e-03,4.115505964409740640e-03,3.114682750914785341e-03,4.102646532365646949e-03,3.146876914541222106e-03,-1.285943204409369101e-05,3.219416362643676491e-05,2.404840942428260187e-01
2.250000000000000056e-01,-8.986605743782756228e-01,4.820000000000002061e-02,4.879300000000000477e-03,3.780383159819717363e-03,5.170109371769975037e-03,3.966683321303795563e-03,5.152847932513750576e-03,4.006555453186668066e-03,-1.726143925622446174e-05,3.987213188287250243e-05,2.404840942428260187e-01
2.500000000000000000e-01,-8.407009672615933793e-01,-2.006000000000000005e-01,6.139700000000004876e-03,4.853760649796231078e-03,6.331219149364338515e-03,4.943427439651424879e-03,6.309386892220563217e-03,4.989394141154841582e-03,-2.183225714377529797e-05,4.596670150341670286e-05,2.404840942428260187e-01
2.750000000000000222e-01,-1.016293683610419940e+00,-4.649999999999999689e-01,7.331000000000003312e-03,5.911430176504793924e-03,7.592950984642687050e-03,6.055115490729954739e-03,7.566758944642049296e-03,6.104236771969839478e-03,-2.619204000063775351e-05,4.912128123988473982e-05,2.404840942428260187e-01
3.000000000000000444e-01,-1.862281522341538764e+00,-6.663000000000000034e-01,8.602500000000005975e-03,7.091272750852960563e-03,8.948848153354048776e-03,7.312048616187897393e-03,8.918907365032134951e-03,7.359964935638980445e-03,-2.994078832191382489e-05,4.791631945108305174e-05,2.404840942428260187e-01
3.250000000000000111e-01,-2.303357438884005681e+00,-8.914000000000000812e-01,1.041819999999999899e-02,8.873253917139171248e-03,1.039206751235052448e-02,8.723975809385876162e-03,1.035938702318336783e-02,8.764911591953521153e-03,-3.268048916715664276e-05,4.093578256764499046e-05,2.404840942428260187e-01
3.500000000000000333e-01,-2.026509770959842971e+00,-1.122999999999999776e+00,1.162139999999999528e-02,1.011941900306312196e-02,1.191562063749298031e-02,1.029944916145051487e-02,1.188159730625454498e-02,1.032626488249162658e-02,-3.402333123843533091e-05,2.681572104111171195e-05,2.404840942428260187e-01
3.750000000000000000e-01,-2.466197532446444907e+00,-1.387500000000000178e+00,1.337390000000000627e-02,1.202531854624092934e-02,1.351265434651203676e-02,1.204522911182742510e-02,1.347905783510224692e-02,1.204951722739659031e-02,-3.359651140978983652e-05,4.288115569165210084e-06,2.404840942428260187e-01
4.000000000000000222e-01,-2.686604736281746231e+00,-1.504599999999999937e+00,1.494249999999999572e-02,1.382649833429907930e-02,1.517675166081355713e-02,1.396577848669916869e-02,1.514569919280851773e-02,1.393800916944831596e-02,-3.105246800503939919e-05,-2.776931725085272917e-05,2.404840942428260187e-01
4.250000000000000444e-01,-2.742933107215884014e+00,-1.689299999999999802e+00,1.658329999999999527e-02,1.580221104755666003e-02,1.690223247487703320e-02,1.606287821954994338e-02,1.687614645343553030e-02,1.599260180603215287e-02,-2.608602144150290458e-05,-7.027641351779051471e-05,2.404840942428260187e-01
4.500000000000000111e-01,-2.820279049354521117e+00,-1.660600000000000076e+00,1.857790000000000136e-02,1.832072115818447755e-02,1.868443291098763337e-02,1.833538937363854079e-02,1.866597820031316163e-02,1.821149575488310857e-02,-1.845471067447174152e-05,-1.238936187554322277e-04,2.404840942428260187e-01
4.750000000000000333e-01,-3.006030149554263176e+00,-1.701899999999999746e+00,2.003709999999999519e-02,2.023709267687424929e-02,2.051994352352780326e-02,2.077917604258234033e-02,2.051194499423233258e-02,2.059020311071432449e-02,-7.998529295470679923e-06,-1.889729318680158365e-04,2.404840942428260187e-01
5.000000000000000000e-01,-2.520050068087802853e+00,-1.695999999999999730e+00,2.182769999999999502e-02,2.266484566639836301e-02,2.240678905825802675e-02,2.338719264398142136e-02,2.241213207243849745e-02,2.312166930323195785e-02,5.343014180470700980e-06,-2.655233407494635156e-04,2.404840942428260187e-01
5.250000000000000222e-01,-1.890462652565975121e+00,-1.557999999999999829e+00,2.367709999999999607e-02,2.524967828860196634e-02,2.434453615263770798e-02,2.614972786998507118e-02,2.436605516765399937e-02,2.579652984232011850e-02,2.151901501629138735e-05,-3.531980276649526740e-04,2.404840942428260187e-01
5.500000000000000444e-01,-2.783739860419709000e+00,-1.370499999999999829e+00,2.592180000000000525e-02,2.847330141703549242e-02,2.633431989477261551e-02,2.905478695827400787e-02,2.637468467808777584e-02,2.860347489907998086e-02,4.036478331516032969e-05,-4.513120591940270043e-04,2.404840942428260187e-01
5.750000000000000666e-01,-1.946277880443340935e+00,-1.153399999999999981e+00,2.791209999999999525e-02,3.138276528011003930e-02,2.837878520343310729e-02,3.208858478468699926e-02,2.844039741699301571e-02,3.152969084716805703e-02,6.161221355990842419e-05,-5.588939375189422298e-04,2.404840942428260187e-01
6.000000000000000888e-01,-1.247305826171771104e+00,-9.262000000000000233e-01,2.994020000000000362e-02,3.437949560578430069e-02,3.048194418986069701e-02,3.523611522855190498e-02,3.056685534421023365e-02,3.456135358911709143e-02,8.491115434953663832e-05,-6.747616394348135427e-04,2.404840942428260187e-01
6.250000000000000000e-01,-1.681338790716512266e+00,-6.932999999999999163e-01,3.201280000000000098e-02,3.744952976004232992e-02,3.264895565882877659e-02,3.848175783196872840e-02,3.275881117631666839e-02,3.768415316056212411e-02,1.098555174878917962e-04,-7.976046714066042931e-04,2.404840942428260187e-01
6.500000000000000222e-01,-9.765498237854399743e-01,-3.879000000000000226e-01,3.488789999999999947e-02,4.168893451313655102e-02,3.488583737732810219e-02,4.180988126867572069e-02,3.502184538614264153e-02,4.088382550032648027e-02,1.360080088145393384e-04,-9.260557683492404157e-04,2.404840942428260187e-01
6.750000000000000444e-01,-5.586287646183263345e-01,-7.930000000000003713e-02,3.675289999999999807e-02,4.440990281699572217e-02,3.719912541275192941e-02,4.520540463340796955e-02,3.736204611940052017e-02,4.414666162132085958e-02,1.629207066485907629e-04,-1.058743012087109969e-03,2.404840942428260187e-01
7.000000000000000666e-01,-1.027383037601208970e+00,1.461999999999999966e-01,3.942969999999999808e-02,4.825311782988722653e-02,3.959549751681321755e-02,4.865428190357244664e-02,3.978564894795538764e-02,4.745996350139853465e-02,1.901514311421700909e-04,-1.194318402173911997e-03,2.404840942428260187e-01
7.250000000000000888e-01,-1.361050849161315468e-01,4.309999999999999942e-01,4.180100000000000482e-02,5.157797005493642423e-02,4.208137908557869900e-02,5.214388173781625557e-02,4.229865592103203981e-02,5.081241567325651964e-02,2.172768354533408108e-04,-1.331466064559735929e-03,2.404840942428260187e-01
7.500000000000000000e-01,1.258537126371272741e-01,6.213999999999999524e-01,4.427240000000000342e-02,5.495343682829346293e-02,4.466255062372935514e-02,5.566324349886577622e-02,4.490645425238681820e-02,5.419433746893669718e-02,2.439036286574630674e-04,-1.468906029929079038e-03,2.404840942428260187e-01
7.750000000000000222e-01,-1.736020078476061268e-01,7.187000000000000055e-01,4.640970000000000512e-02,5.779832350904421517e-02,4.734377492848138025e-02,5.920320031631462476e-02,4.761345456075461585e-02,5.759778207344028178e-02,2.696796322732356033e-04,-1.605418242874342982e-03,2.404840942428260187e-01
8.000000000000000444e-01,1.644009599041113268e-01,8.778000000000000247e-01,4.949020000000000502e-02,6.177767420359128736e-02,5.012846050504125850e-02,6.275637034783099200e-02,5.042276584348445723e-02,6.101646865078915599e-02,2.943053384431987274e-04,-1.739901697041836004e-03,2.404840942428260187e-01
8.250000000000000666e-01,2.921855202832553400e-01,8.323000000000000398e-01,5.268179999999999391e-02,6.575004358113037406e-02,5.301837521009805654e-02,6.631702733996777677e-02,5.333591962420451693e-02,6.444557027366004665e-02,3.175444141064603931e-04,-1.871457066307730122e-03,2.404840942428260187e-01
8.500000000000000888e-01,3.363279886219528447e-01,8.303000000000000380e-01,5.552070000000000616e-02,6.916216226877928974e-02,5.601342101360763659e-02,6.988087035873996600e-02,5.635265206602786681e-02,6.788140951095700260e-02,3.392310524202302169e-04,-1.999460847782963402e-03,2.404840942428260187e-01
8.750000000000000000e-01,4.606401622122863193e-01,7.395000000000000462e-01,5.843299999999999883e-02,7.255508233465626788e-02,5.911147731496753377e-02,7.344471948361197544e-02,5.947075236676960946e-02,7.132111388678506747e-02,3.592750518020756956e-04,-2.123605596826907971e-03,2.404840942428260187e-01
