Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,-2.317114841251927473e-02,-4.850001658055400761e-02,1.053299999999993131e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,-2.633469626700659511e-02,-6.800001448612917609e-02,1.053700000000006368e-03,7.923794804054256832e-04,6.697003445845054219e-05,5.100553589421746024e-05
5.000000000000000278e-02,-2.712486183290353445e-02,-6.169999616018165267e-02,1.065399999999996732e-03,8.011061266653973518e-04,2.665530311699760993e-04,2.018858084046733985e-04
7.500000000000001110e-02,-5.671791436754284460e-02,-2.359999999999995435e-02,1.144999999999996064e-03,8.604473212332043944e-04,5.961935560207209635e-04,4.491902249550091294e-04
1.000000000000000056e-01,-3.951600252929226426e-02,8.980000000000004645e-02,1.365999999999999593e-03,1.027998929424660084e-03,1.053435210466762643e-03,7.912491538961733111e-04
1.250000000000000000e-01,2.137682135568425013e-01,1.355000000000000648e-01,1.759299999999996197e-03,1.328195560767684788e-03,1.635733711936172450e-03,1.228371612765301411e-03
1.500000000000000222e-01,-6.489392561722492347e-01,1.603000000000000536e-01,2.311499999999995416e-03,1.754055898254301259e-03,2.340295425394878226e-03,1.762891075907755496e-03
1.750000000000000167e-01,-8.118230174320969494e-01,1.453000000000000402e-01,3.007499999999993252e-03,2.300343954128526453e-03,3.163945131122408543e-03,2.399067811992369129e-03
2.000000000000000111e-01,-3.139506029956097843e-01,5.580000000000007176e-02,3.990700000000004140e-03,3.090978105281957933e-03,4.103018482394469799e-03,3.142867963717327438e-03
2.250000000000000056e-01,-1.138686000063850123e+00,-1.107999999999998986e-01,4.963800000000006055e-03,3.897320219703337679e-03,5.153277288589594440e-03,4.001642616890921725e-03
2.500000000000000000e-01,-1.037773334376544287e+00,-2.334999999999999298e-01,6.034400000000004864e-03,4.811872747748366722e-03,6.309857394606384340e-03,4.983727061312272395e-03
2.750000000000000222e-01,-7.566766271079954365e-01,-3.931999999999999940e-01,7.197900000000004468e-03,5.846852994181004487e-03,7.567270098759036612e-03,6.097974582955904832e-03
3.000000000000000444e-01,-2.051206361226281416e+00,-5.828999999999999737e-01,8.902199999999993799e-03,7.438593271999832668e-03,8.919478520285524514e-03,7.353236135851946853e-03
3.250000000000000111e-01,-1.978267354462440286e+00,-6.888999999999998458e-01,1.004800000000000137e-02,8.559094651780192048e-03,1.036005721608075289e-02,8.757802333005441225e-03
3.500000000000000333e-01,-1.661370177113135504e+00,-8.873999999999999666e-01,1.148409999999999882e-02,1.002168056495144136e-02,1.188242343244960697e-02,1.031883641432563593e-02
3.750000000000000000e-01,-1.936549076290520421e+00,-1.091399999999999926e+00,1.298550000000000225e-02,1.162214748903024099e-02,1.348011299507873365e-02,1.204183886818479578e-02
4.000000000000000222e-01,-2.012134639276307091e+00,-1.134099999999999886e+00,1.483209999999999737e-02,1.369210798189551478e-02,1.514707035977494801e-02,1.393018845292167025e-02
4.250000000000000444e-01,-2.565916590488203308e+00,-1.333599999999999897e+00,1.649009999999999712e-02,1.563815009786919188e-02,1.687792873722558998e-02,1.598479816710523388e-02
4.500000000000000111e-01,-2.580336412019894610e+00,-1.347599999999999909e+00,1.848239999999999952e-02,1.807812039215726807e-02,1.866826406549239314e-02,1.820391253228917025e-02
4.750000000000000333e-01,-2.104142078856471088e+00,-1.387100000000000000e+00,1.994490000000000499e-02,1.993340538702723444e-02,2.051481000333482338e-02,2.058306062233749428e-02
5.000000000000000000e-01,-2.343921227688640752e+00,-1.453699999999999992e+00,2.206520000000000356e-02,2.271371488545420245e-02,2.241562131325985224e-02,2.311516897282168623e-02
5.250000000000000222e-01,-1.795805931665721777e+00,-1.362199999999999855e+00,2.426580000000000056e-02,2.568775593085254050e-02,2.437017430230532453e-02,2.579082593803435491e-02
5.500000000000000444e-01,-2.228601565510541782e+00,-1.283299999999999885e+00,2.619370000000000726e-02,2.834938304014389746e-02,2.637939653163419787e-02,2.859867298935060004e-02
5.750000000000000666e-01,-1.988788194809643528e+00,-1.139399999999999968e+00,2.850379999999999928e-02,3.158347814408939136e-02,2.844562167661229823e-02,3.152588475005736746e-02
6.000000000000000888e-01,-1.198609485149136455e+00,-9.472000000000000419e-01,3.020059999999999412e-02,3.397806987782561045e-02,3.057246820986756625e-02,3.455869492626312267e-02
