Time(s),Fb_Right_Filtered(N),Mb_Right_Filtered(Nm),Fb_Left_Filtered(N),Mb_Left_Filtered(Nm),Fb_Right_Raw(N),Mb_Right_Raw(Nm),Fb_Left_Raw(N),Mb_Left_Raw(Nm),Ext_Force_Body(N),Ext_Moment_Body(Nm),X_Num_Right_Interface(m),X_Exp_Right_Interface(m),X_Cmd_Right_Interface(m),Rz_Num_Right_Interface(rad),Rz_Exp_Right_Interface(rad),Rz_Cmd_Right_Interface(rad),X_Num_Left_Interface(m),X_Exp_Left_Interface(m),X_Cmd_Left_Interface(m),Rz_Num_Left_Interface(rad),Rz_Exp_Left_Interface(rad),Rz_Cmd_Left_Interface(rad),X_Body_COM(m),Rz_Body(rad)
0.000000000000000000e+00,1.556768013177032284e-01,8.453517121206574614e-02,-2.441750206468133039e-02,-4.910600521445362271e-02,1.570767339933306084e-01,8.580000506132418048e-02,-2.317114841251927473e-02,-4.850001658055400761e-02,4.501246882793017789e+02,5.004987531172069737e+01,0.000000000000000000e+00,1.844599999999999842e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.053299999999993131e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,3.189830885662257032e-01,2.199312875686570135e-01,7.725188416500395824e-03,-4.709071580160471143e-02,2.704318497021885315e-01,2.220000062828472176e-01,-2.633469626700659511e-02,-6.800001448612917609e-02,4.372199251494733403e+02,4.750381026508353699e+01,1.180022562026925514e-04,1.845200000000005603e-03,1.179755703526680160e-04,5.104564136267446646e-05,7.923794804054256832e-04,5.100553589421746024e-05,6.695661484001807812e-05,1.053700000000006368e-03,6.697003445845054219e-05,5.104564136267446646e-05,7.923794804054256832e-04,5.100553589421746024e-05,9.247943552135531474e-05,5.104564136267446646e-05
5.000000000000000278e-02,4.299768209287028742e-01,3.529476457833853886e-01,2.155371881603374701e-02,-2.863075179863464742e-02,2.773937425110946098e-01,2.970000151839121694e-01,-2.712486183290353445e-02,-6.169999616018165267e-02,4.268689105397496633e+02,4.565820534416518228e+01,4.685812069878984788e-04,1.865700000000003987e-03,4.684388395746495520e-04,2.021051603255920261e-04,8.011061266653973518e-04,2.018858084046733985e-04,2.664760466623064257e-04,1.065399999999996732e-03,2.665530311699760993e-04,2.021051603255920261e-04,8.011061266653973518e-04,2.018858084046733985e-04,3.675286268251024523e-04,2.021051603255920261e-04
7.500000000000001110e-02,4.396445201048402307e-01,4.716508885849239885e-01,-5.855107893712810374e-04,1.267496481795718152e-02,4.557066849323958557e-01,4.590000000000000191e-01,-5.671791436754284460e-02,-2.359999999999995435e-02,4.190590495251834682e+02,4.469092631349712263e+01,1.045794367199058116e-03,2.048100000000005385e-03,1.045383780975730039e-03,4.498319264487621988e-04,8.796459430051421519e-04,4.491902249550091294e-04,5.959624407502958632e-04,1.144999999999996064e-03,5.961935560207209635e-04,4.498319264487621988e-04,8.604473212332043944e-04,4.491902249550091294e-04,8.208784039746769897e-04,4.498319264487621988e-04
1.000000000000000056e-01,3.158457287620882736e-01,5.521988883176331964e-01,-7.021218691954297930e-02,6.884592964757549338e-02,5.037146218409777054e-01,5.342999999999999972e-01,-3.951600252929226426e-02,8.980000000000004645e-02,4.135948393300211592e+02,4.472952377320435602e+01,1.845555422751637975e-03,2.379999999999995400e-03,1.844684364362936171e-03,7.926217476255317676e-04,1.022762941668677039e-03,7.912491538961733111e-04,1.052933675126106316e-03,1.365999999999999593e-03,1.053435210466762643e-03,7.926217476255317676e-04,1.027998929424660084e-03,7.912491538961733111e-04,1.449244548938872145e-03,7.926217476255317676e-04
1.250000000000000000e-01,5.459880470238228506e-02,5.632563418014264744e-01,-1.875169869007684009e-01,1.201386381929085423e-01,1.237613945905153279e-01,6.035000000000000364e-01,2.137682135568425013e-01,1.355000000000000648e-01,4.101216739291513136e+02,4.583900056739177842e+01,2.865627191776516907e-03,3.045900000000003292e-03,2.864105324701473644e-03,1.230789701991653320e-03,1.308996938995747030e-03,1.228371612765301411e-03,1.634837489784863370e-03,1.759299999999996197e-03,1.635733711936172450e-03,1.230789701991653320e-03,1.328195560767684788e-03,1.228371612765301411e-03,2.250232340780690139e-03,1.230789701991653320e-03
1.500000000000000222e-01,-3.172232531292730751e-01,4.765721294653468831e-01,-3.408615309502309176e-01,1.432508500978719457e-01,-2.457393630796284034e-01,4.372000000000000330e-01,-6.489392561722492347e-01,1.603000000000000536e-01,4.081590155386284096e+02,4.801379441140586835e+01,4.105491540752799484e-03,4.006500000000003114e-03,4.103186501302633939e-03,1.766601375610517104e-03,1.727875959474386254e-03,1.762891075907755496e-03,2.338890165142282380e-03,2.311499999999995416e-03,2.340295425394878226e-03,1.766601375610517104e-03,1.754055898254301259e-03,1.762891075907755496e-03,3.222190852947540932e-03,1.766601375610517104e-03
1.750000000000000167e-01,-7.531702067388417188e-01,2.787581061691527529e-01,-5.140995581519286484e-01,1.206652661442867980e-01,-1.201244930862849003e+00,4.035000000000000253e-01,-8.118230174320969494e-01,1.453000000000000402e-01,4.071406360985847073e+02,5.117469873105106615e+01,5.566120084186871805e-03,5.482600000000005004e-03,5.563012943114777238e-03,2.404178108230432299e-03,2.377138441216276616e-03,2.399067811992369129e-03,3.161941975956439940e-03,3.007499999999993252e-03,3.163945131122408543e-03,2.404178108230432299e-03,2.300343954128526453e-03,2.399067811992369129e-03,4.364031030071656089e-03,2.404178108230432299e-03
2.000000000000000111e-01,-1.207502294974359902e+00,-2.186463713219524013e-02,-6.968576284091124728e-01,4.658815279247755653e-02,-9.490499100140291633e-01,-1.529999999999997508e-02,-3.139506029956097843e-01,5.580000000000007176e-02,4.064592057585302314e+02,5.517107273290907443e+01,7.249669483794420576e-03,7.021699999999996174e-03,7.245886446111796803e-03,3.149304363768737260e-03,3.063052837250048073e-03,3.142867963717327438e-03,4.100365120025682882e-03,3.990700000000004140e-03,4.103018482394469799e-03,3.149304363768737260e-03,3.090978105281957933e-03,3.142867963717327438e-03,5.675017301910051729e-03,3.149304363768737260e-03
2.250000000000000056e-01,-1.652497145693511804e+00,-3.974756816053096053e-01,-8.885477367054335218e-01,-7.278445636715354106e-02,-1.609145426384087196e+00,-4.329999999999999405e-01,-1.138686000063850123e+00,-1.107999999999998986e-01,4.055122542481453252e+02,5.978828870153687092e+01,9.159118179083377415e-03,8.776700000000005331e-03,9.154919905480516165e-03,4.009155404967831328e-03,3.857177646907468394e-03,4.001642616890921725e-03,5.149962774115546954e-03,4.963800000000006055e-03,5.153277288589594440e-03,4.009155404967831328e-03,3.897320219703337679e-03,4.001642616890921725e-03,7.154540476599462184e-03,4.009155404967831328e-03
