Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Left
0.000000000000000000e+00,-2.317114841251927473e-02,-4.850001658055400761e-02,1.053299999999993131e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.603700553357193165e-02
2.500000000000000139e-02,-2.633469626700659511e-02,-6.800001448612917609e-02,1.053700000000006368e-03,7.923794804054256832e-04,6.697003445845054219e-05,5.100553589421746024e-05,6.695661484001807812e-05,5.104564136267446646e-05,-1.341961843246406751e-08,4.010546845700622845e-08,2.603700553357193165e-02
5.000000000000000278e-02,-2.712486183290353445e-02,-6.169999616018165267e-02,1.065399999999996732e-03,8.011061266653973518e-04,2.665530311699760993e-04,2.018858084046733985e-04,2.664760466623064257e-04,2.021051603255920261e-04,-7.698450766967365397e-08,2.193519209186276051e-07,2.603700553357193165e-02
7.500000000000001110e-02,-5.671791436754284460e-02,-2.359999999999995435e-02,1.144999999999996064e-03,8.604473212332043944e-04,5.961935560207209635e-04,4.491902249550091294e-04,5.959624407502958632e-04,4.498319264487621988e-04,-2.311152704251003345e-07,6.417014937530694102e-07,2.603700553357193165e-02
1.000000000000000056e-01,-3.951600252929226426e-02,8.980000000000004645e-02,1.365999999999999593e-03,1.027998929424660084e-03,1.053435210466762643e-03,7.912491538961733111e-04,1.052933675126106316e-03,7.926217476255317676e-04,-5.015353406563269334e-07,1.372593729358456520e-06,2.603700553357193165e-02
1.250000000000000000e-01,2.137682135568425013e-01,1.355000000000000648e-01,1.759299999999996197e-03,1.328195560767684788e-03,1.635733711936172450e-03,1.228371612765301411e-03,1.634837489784863370e-03,1.230789701991653320e-03,-8.962221513090801867e-07,2.418089226351909440e-06,2.603700553357193165e-02
1.500000000000000222e-01,-6.489392561722492347e-01,1.603000000000000536e-01,2.311499999999995416e-03,1.754055898254301259e-03,2.340295425394878226e-03,1.762891075907755496e-03,2.338890165142282380e-03,1.766601375610517104e-03,-1.405260252595845472e-06,3.710299702761607823e-06,2.603700553357193165e-02
1.750000000000000167e-01,-8.118230174320969494e-01,1.453000000000000402e-01,3.007499999999993252e-03,2.300343954128526453e-03,3.163945131122408543e-03,2.399067811992369129e-03,3.161941975956439940e-03,2.404178108230432299e-03,-2.003155165968602963e-06,5.110296238063170154e-06,2.603700553357193165e-02
2.000000000000000111e-01,-3.139506029956097843e-01,5.580000000000007176e-02,3.990700000000004140e-03,3.090978105281957933e-03,4.103018482394469799e-03,3.142867963717327438e-03,4.100365120025682882e-03,3.149304363768737260e-03,-2.653362368786917058e-06,6.436400051409822687e-06,2.603700553357193165e-02
2.250000000000000056e-01,-1.138686000063850123e+00,-1.107999999999998986e-01,4.963800000000006055e-03,3.897320219703337679e-03,5.153277288589594440e-03,4.001642616890921725e-03,5.149962774115546954e-03,4.009155404967831328e-03,-3.314514474047486337e-06,7.512788076909603097e-06,2.603700553357193165e-02
