Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,1.570767339933306084e-01,8.580000506132418048e-02,1.844599999999999842e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,2.704318497021885315e-01,2.220000062828472176e-01,1.845200000000005603e-03,7.923794804054256832e-04,1.179755703526680160e-04,5.100553589421746024e-05
5.000000000000000278e-02,2.773937425110946098e-01,2.970000151839121694e-01,1.865700000000003987e-03,8.011061266653973518e-04,4.684388395746495520e-04,2.018858084046733985e-04
7.500000000000001110e-02,4.557066849323958557e-01,4.590000000000000191e-01,2.048100000000005385e-03,8.796459430051421519e-04,1.045383780975730039e-03,4.491902249550091294e-04
1.000000000000000056e-01,5.037146218409777054e-01,5.342999999999999972e-01,2.379999999999995400e-03,1.022762941668677039e-03,1.844684364362936171e-03,7.912491538961733111e-04
1.250000000000000000e-01,1.237613945905153279e-01,6.035000000000000364e-01,3.045900000000003292e-03,1.308996938995747030e-03,2.864105324701473644e-03,1.228371612765301411e-03
1.500000000000000222e-01,-2.457393630796284034e-01,4.372000000000000330e-01,4.006500000000003114e-03,1.727875959474386254e-03,4.103186501302633939e-03,1.762891075907755496e-03
1.750000000000000167e-01,-1.201244930862849003e+00,4.035000000000000253e-01,5.482600000000005004e-03,2.377138441216276616e-03,5.563012943114777238e-03,2.399067811992369129e-03
2.000000000000000111e-01,-9.490499100140291633e-01,-1.529999999999997508e-02,7.021699999999996174e-03,3.063052837250048073e-03,7.245886446111796803e-03,3.142867963717327438e-03
2.250000000000000056e-01,-1.609145426384087196e+00,-4.329999999999999405e-01,8.776700000000005331e-03,3.857177646907468394e-03,9.154919905480516165e-03,4.001642616890921725e-03
2.500000000000000000e-01,-2.245649594348153588e+00,-9.183000000000000052e-01,1.109690000000000502e-02,4.927064478379991966e-03,1.129358445591865587e-02,4.983727061312272395e-03
2.750000000000000222e-01,-2.571665792790698735e+00,-1.238900000000000112e+00,1.332330000000000320e-02,5.977752688080578865e-03,1.366524468171494144e-02,6.097974582955904832e-03
3.000000000000000444e-01,-2.563680357614335215e+00,-1.570200000000000262e+00,1.574870000000000089e-02,7.145377957664784778e-03,1.627271465613747137e-02,7.353236135851946853e-03
3.250000000000000111e-01,-3.735144949154170391e+00,-1.990899999999999892e+00,1.838479999999999975e-02,8.443902921148566804e-03,1.911785954908619412e-02,8.757802333005441225e-03
3.500000000000000333e-01,-3.929181980439288679e+00,-2.362900000000000222e+00,2.126139999999999627e-02,9.894271529555853650e-03,2.220125984677524117e-02,1.031883641432563593e-02
3.750000000000000000e-01,-3.522319324759719539e+00,-2.654899755475327972e+00,2.494010000000000324e-02,1.179668041422967176e-02,2.552195186326352769e-02,1.204183886818479578e-02
4.000000000000000222e-01,-5.171722767634813422e+00,-2.936699652325940324e+00,2.834739999999999482e-02,1.359786020228782172e-02,2.907725881269661652e-02,1.393018845292167025e-02
4.250000000000000444e-01,-5.202648856043039061e+00,-3.164999570469650525e+00,3.193689999999999724e-02,1.553168501349753983e-02,3.286272690433082733e-02,1.598479816710523388e-02
4.500000000000000111e-01,-3.928698963411471734e+00,-3.143699999999999939e+00,3.571049999999999919e-02,1.760339083561480653e-02,3.687217659778156686e-02,1.820391253228917025e-02
4.750000000000000333e-01,-4.652132040172010541e+00,-3.278000000000000025e+00,4.108169999999999877e-02,2.061059313680103922e-02,4.109787062567231419e-02,2.058306062233749428e-02
5.000000000000000000e-01,-4.396765208088826427e+00,-3.115200000000000191e+00,4.534650000000000486e-02,2.303660079707315830e-02,4.553079028608154194e-02,2.311516897282168623e-02
5.250000000000000222e-01,-4.209837308605163919e+00,-2.985700000000000021e+00,4.901250000000000051e-02,2.514146787497831617e-02,5.016100024033967597e-02,2.579082593803435491e-02
5.500000000000000444e-01,-3.299890085914499505e+00,-2.595299999999999940e+00,5.432670000000000554e-02,2.822022867549631511e-02,5.497806952098480138e-02,2.859867298935060004e-02
5.750000000000000666e-01,-3.132960809711489603e+00,-2.196200000000000152e+00,5.986370000000000580e-02,3.145083312093781974e-02,5.997150642666966569e-02,3.152588475005736746e-02
6.000000000000000888e-01,-3.566502857440170704e+00,-1.941400000000000237e+00,6.392040000000000222e-02,3.382448090365010318e-02,6.513116313613068198e-02,3.455869492626312267e-02
6.250000000000000000e-01,-1.684956683690650658e+00,-1.300199999999999800e+00,6.891280000000001016e-02,3.674790740074061063e-02,7.044757414392299744e-02,3.768293023526890495e-02
6.500000000000000222e-01,-8.511560987459450001e-01,-9.593999999999999195e-01,7.408250000000000945e-02,3.976907233594279001e-02,7.591220728175468446e-02,4.088452425290463321e-02
6.750000000000000444e-01,-2.487258416875407274e+00,-5.894000000000000350e-01,8.036089999999999900e-02,4.342030113111493284e-02,8.151761932077823680e-02,4.414999084262142409e-02
7.000000000000000666e-01,-7.950282467964845390e-01,-3.069999999999994261e-02,8.591710000000001013e-02,4.662996162553250529e-02,8.725751230759548616e-02,4.746683610303341350e-02
7.250000000000000888e-01,-1.046447258432104288e+00,2.639000000000000234e-01,9.155430000000000512e-02,4.985882074172201528e-02,9.312668242531915719e-02,5.082388038472244324e-02
7.500000000000000000e-01,-7.005373017765458288e-01,4.625000000000000222e-01,9.727320000000000411e-02,5.309989716267548426e-02,9.912085155426361704e-02,5.421146059212662849e-02
7.750000000000000222e-01,9.838116898257655007e-01,8.905000000000000693e-01,1.041153000000000078e-01,5.692740421229904035e-02,1.052363828928787604e-01,5.762149757635882941e-02
8.000000000000000444e-01,-3.725861759735192291e-01,8.687000000000000277e-01,1.101227000000000039e-01,6.024178446183627716e-02,1.114699019280441794e-01,6.104743728029372873e-02
8.250000000000000666e-01,4.933891141634761945e-01,1.055600000000000094e+00,1.161932000000000104e-01,6.354569273586153921e-02,1.178178589058530290e-01,6.448409135399930936e-02
8.500000000000000888e-01,-3.594194228409015590e-01,9.707999999999999963e-01,1.223332999999999920e-01,6.683912903437484732e-02,1.242760704114883596e-01,6.792740524152322823e-02
8.750000000000000000e-01,-4.679767352299542549e-01,8.105999999999999872e-01,1.307171000000000027e-01,7.126179335892847411e-02,1.308392699142884308e-01,7.137417521955415067e-02
9.000000000000000222e-01,2.245996642396344889e+00,7.560000000000000053e-01,1.382055000000000089e-01,7.514515094461586553e-02,1.375006906065613099e-01,7.482173184839154001e-02
9.250000000000000444e-01,-2.102920777708268574e+00,8.550000000000002043e-02,1.435458000000000012e-01,7.788008188249097297e-02,1.442517047312341649e-01,7.826761121732769833e-02
9.500000000000000666e-01,8.928750880194121775e-01,1.671000000000000263e-01,1.488464999999999927e-01,8.056963425981422677e-02,1.510815496492891319e-01,8.170924380226117500e-02
9.750000000000000888e-01,8.182571207387140388e-01,-4.079999999999994742e-02,1.563315000000000121e-01,8.431860149309805541e-02,1.579771756669131333e-01,8.514369708615431021e-02
1.000000000000000000e+00,-1.407529356773033591e+00,-5.247999999999999332e-01,1.629433999999999882e-01,8.759283916983941209e-02,1.649232479953865182e-01,8.856750759578545240e-02
1.025000000000000133e+00,-5.199804690537938034e-01,-4.689999999999999725e-01,1.696583000000000119e-01,9.088976612685671641e-02,1.719023210209314756e-01,9.197662806345358044e-02
1.050000000000000044e+00,-2.445578030888335253e+00,-8.907999999999999252e-01,1.764021000000000061e-01,9.417273044985803587e-02,1.788951786064327254e-01,9.536649681858808125e-02
1.074999999999999956e+00,-1.450861526598721474e+00,-8.423999999999999266e-01,1.843079000000000245e-01,9.799500151172561846e-02,1.858813083563828628e-01,9.873221518085273374e-02
1.100000000000000089e+00,-1.916759011494227449e+00,-1.077799999999999869e+00,1.910803000000000085e-01,1.012517858959470496e-01,1.928394609081900968e-01,1.020688014310204006e-01
1.125000000000000000e+00,-1.583404104788864730e+00,-1.181799999999999962e+00,1.977567000000000075e-01,1.044527197441046384e-01,1.997482416624278834e-01,1.053714803899319097e-01
1.150000000000000133e+00,-1.114764131064132746e+00,-1.217299999999999827e+00,2.043278000000000039e-01,1.075960577269464147e-01,2.065866907696090604e-01,1.086359675062367608e-01
1.175000000000000044e+00,7.947358413505571650e-02,-1.042499999999999982e+00,2.119196000000000135e-01,1.112263425710946357e-01,2.133348223588824588e-01,1.118587152252355360e-01
1.200000000000000178e+00,-1.522860242796578722e+00,-9.577999999999998737e-01,2.183525000000000327e-01,1.143103393593686151e-01,2.199741062217793475e-01,1.150371015546551995e-01
1.225000000000000089e+00,1.223316103016327400e-01,-4.827000000000000179e-01,2.246380000000000043e-01,1.173332496238227857e-01,2.264878771791233592e-01,1.181695496533312073e-01
1.250000000000000000e+00,9.758760116418262187e-02,-2.056999999999999940e-01,2.307685000000000153e-01,1.202985640229611575e-01,2.328616530117222638e-01,1.212555726868928957e-01
1.275000000000000133e+00,7.504875541557425311e-01,2.862000000000000099e-01,2.377813000000000010e-01,1.237211546861220479e-01,2.390833413765539039e-01,1.242957420950329406e-01
1.300000000000000044e+00,2.000434391225153874e+00,7.499000000000000110e-01,2.436671999999999727e-01,1.266271278906926090e-01,2.451433225588359743e-01,1.272915768285629856e-01
1.325000000000000178e+00,5.480738689007705333e-02,9.653000000000000469e-01,2.493713999999999931e-01,1.294772505591993417e-01,2.510344009274065868e-01,1.302453436145895316e-01
1.350000000000000089e+00,2.809258544220637699e+00,1.752200000000000202e+00,2.548910999999999816e-01,1.322767586793982542e-01,2.567516177164365643e-01,1.331597516742267506e-01
1.375000000000000000e+00,2.602804814995425708e+00,2.016700000000000159e+00,2.611545000000000116e-01,1.355125991125957496e-01,2.622919172909815577e-01,1.360375328818506646e-01
1.400000000000000133e+00,1.694734431032488331e+00,2.252400000000000180e+00,2.663736999999999910e-01,1.382667286722427946e-01,2.676536711805281299e-01,1.388809242797672538e-01
1.425000000000000044e+00,4.578656446672844105e+00,2.675300000000000011e+00,2.714016000000000206e-01,1.409719890128339759e-01,2.728360926903439787e-01,1.416911028196437827e-01
1.450000000000000178e+00,3.401093256174470891e+00,2.620899999999999785e+00,2.762383999999999951e-01,1.436301254636213609e-01,2.778386068141182053e-01,1.444676437372396649e-01
1.475000000000000089e+00,3.520884580487454674e+00,2.746799999999999908e+00,2.816916999999999893e-01,1.467019049471313674e-01,2.826602553615670255e-01,1.472080727243856579e-01
1.500000000000000000e+00,4.132801745974067131e+00,2.668800000000000061e+00,2.869404000000000399e-01,1.497335418578455424e-01,2.872992049479664578e-01,1.499075612040271788e-01
1.525000000000000133e+00,2.635076748699030080e+00,2.463500000000000245e+00,2.905254999999999921e-01,1.518488809112626681e-01,2.917523924230606691e-01,1.525587864049396114e-01
1.550000000000000044e+00,3.419897161046390632e+00,2.304400000000000226e+00,2.953177000000000163e-01,1.547339101648092796e-01,2.960153081057210755e-01,1.551519562063734536e-01
1.575000000000000178e+00,3.240232267313809089e+00,1.860199999999999854e+00,2.992315999999999865e-01,1.571407192033094646e-01,3.000819016263175376e-01,1.576749894937782281e-01
1.600000000000000089e+00,2.480837964540362872e+00,1.593599999999999905e+00,3.035380000000000300e-01,1.598372528976406970e-01,3.039446032135553755e-01,1.601138442828757558e-01
1.625000000000000000e+00,2.385555308959548260e+00,1.334000000000000075e+00,3.064444000000000057e-01,1.616855565755026813e-01,3.075944694337187091e-01,1.624529877579925785e-01
1.650000000000000133e+00,6.001553719825316602e-01,8.362000000000000544e-01,3.103011000000000519e-01,1.641674147718386323e-01,3.110214644276451668e-01,1.646759937911854987e-01
1.675000000000000044e+00,1.892330718996340533e+00,5.886000000000000121e-01,3.138981000000000132e-01,1.665113919572670242e-01,3.142148690534822819e-01,1.667662357375253868e-01
1.700000000000000178e+00,1.267956123551247982e+00,3.290000000000000147e-01,3.162754999999999872e-01,1.680699709792979335e-01,3.171637857384298487e-01,1.687076278735964163e-01
1.725000000000000089e+00,7.248722491406212054e-02,7.950000000000002898e-02,3.189076000000000133e-01,1.698030829265283204e-01,3.198576940224863163e-01,1.704853662223332622e-01
1.750000000000000000e+00,1.230537315320718417e+00,1.018000000000000016e-01,3.216865000000000419e-01,1.716339333118703792e-01,3.222870134192205027e-01,1.720866244864126537e-01
1.775000000000000133e+00,1.015844029909996671e+00,2.300000000000002390e-02,3.241498999999999908e-01,1.732518535284691130e-01,3.244436360021937804e-01,1.735011642321659386e-01
1.800000000000000044e+00,4.234244872741552701e-01,1.494000000000000328e-01,3.259958000000000578e-01,1.744578760415971819e-01,3.263213920525009359e-01,1.747218170760431732e-01
1.825000000000000178e+00,1.245759921469019593e+00,4.220000000000000417e-01,3.275740999999999792e-01,1.754788936540138677e-01,3.279164091587367658e-01,1.757447955248125082e-01
1.850000000000000089e+00,1.853427080731235632e+00,7.081000000000000627e-01,3.286822999999999828e-01,1.761874973303235725e-01,3.292273269639033884e-01,1.765697973363416218e-01
1.875000000000000000e+00,1.991826104966909039e+00,1.232600000000000140e+00,3.299275000000000402e-01,1.769676595059650470e-01,3.302553435751931499e-01,1.771998909841399628e-01
1.900000000000000133e+00,2.491019667428775008e+00,1.724499999999999922e+00,3.307188999999999823e-01,1.774511157087674540e-01,3.310040926922774851e-01,1.776412007151169647e-01
1.925000000000000044e+00,3.336894763862650493e+00,2.248299999999999965e+00,3.312586000000000142e-01,1.777687656326304433e-01,3.314793705648079181e-01,1.779024330202449711e-01
1.950000000000000178e+00,3.656087057324960643e+00,2.681099999999999817e+00,3.315480000000000094e-01,1.779240999360579278e-01,3.316887393713594534e-01,1.779942913065549193e-01
1.975000000000000089e+00,4.496793197523164309e+00,3.261400000000000077e+00,3.315542000000000211e-01,1.778961746680260414e-01,3.316410317431429111e-01,1.779288174565681335e-01
2.000000000000000000e+00,4.649115642407227078e+00,3.525500000000000078e+00,3.313494000000000161e-01,1.777548029986144862e-01,3.313457814007551017e-01,1.777186927100108393e-01
2.024999999999999911e+00,5.672252324242833765e+00,3.826999999999999957e+00,3.309063999999999894e-01,1.774720596597914035e-01,3.308126130405200094e-01,1.773765342232583586e-01
2.050000000000000266e+00,5.790329649826480463e+00,3.864500000000000046e+00,3.302496999999999794e-01,1.770741245903366956e-01,3.300506342228851642e-01,1.769142317463144876e-01
2.075000000000000178e+00,3.842212942815568688e+00,3.977500000000000036e+00,3.292097999999999969e-01,1.764702406691466829e-01,3.290678723456951782e-01,1.763423690094922114e-01
2.100000000000000089e+00,5.400404301255026240e+00,3.919599999999999973e+00,3.278902000000000205e-01,1.757284757370490835e-01,3.278707892809143987e-01,1.756697633908144707e-01
2.125000000000000000e+00,5.858770751368937546e+00,3.547200000000000131e+00,3.267933000000000088e-01,1.751280824743630393e-01,3.264638954677041571e-01,1.749031452745394011e-01
2.149999999999999911e+00,4.153432562395088290e+00,3.145199999999999996e+00,3.253032000000000146e-01,1.743322123354535957e-01,3.248494841494967700e-01,1.740469951795972914e-01
2.175000000000000266e+00,4.301626367231809134e+00,2.679699999999999971e+00,3.233039999999999803e-01,1.732885054427609761e-01,3.230275109413210943e-01,1.731035568432617855e-01
2.200000000000000178e+00,4.076721036981576063e+00,2.252800000000000136e+00,3.213695999999999775e-01,1.723006490861322126e-01,3.209956400403084498e-01,1.720730323634852010e-01
2.225000000000000089e+00,2.099775747448886953e+00,1.772398925572613138e+00,3.192536999999999736e-01,1.712377435716676555e-01,3.187494595240087936e-01,1.709539366230361512e-01
2.250000000000000000e+00,2.355876186905311087e+00,1.328699562967531556e+00,3.165400999999999909e-01,1.698973307061360238e-01,3.162828434833062641e-01,1.697435582524266517e-01
2.274999999999999911e+00,2.520172509763974666e+00,8.927986388163565712e-01,3.139887999999999568e-01,1.686564016079680484e-01,3.135884236548398540e-01,1.684384641886696454e-01
2.300000000000000266e+00,1.632173095762009307e+00,7.053000000000000380e-01,3.107674000000000269e-01,1.671082945614490722e-01,3.106581338986315055e-01,1.670349986744396054e-01
2.325000000000000178e+00,7.106923180486403036e-01,4.464000000000000190e-01,3.082871999999999835e-01,1.659284519871009056e-01,3.074837986411832480e-01,1.655297485162302018e-01
