Iteration,Fixed_0.2,Fixed_0.4,Fixed_0.6,Fixed_0.8,Fixed_1.0,Adaptive
1,0.1604484730898665,0.1604484730898665,0.1604484730898665,0.1604484730898665,0.1604484730898665,0.1604484730898665
2,0.12534564650620864,0.09475887626761671,0.07447804978206381,0.07358387482275679,0.09263971415561621,0.07119185384710627
3,0.0985697985852327,0.05882991126342219,0.04361364408688681,0.05472541481653073,0.08789953968369277,0.04634802361178672
4,0.07801566602278719,0.038241088433663986,0.028778816642835662,0.04551060003414627,0.09606867819009358,0.03129774828630506
5,0.06214397205608983,0.025816104299844066,0.018939449808219634,0.033713050061660345,0.09721108362898448,0.020348289739994693
6,0.04981489658952767,0.01783784251617838,0.01183371722814298,0.02311400613398926,0.08961606585190626,0.012746936313855477
7,0.04017958358219304,0.012408070324789123,0.007280974201577242,0.01358781986870872,0.07916445079289135,0.007888461787004726
8,0.032600208496057284,0.00860335555141451,0.004326122047190884,0.007806669529586048,0.06278255985484518,0.004729321558825121
9,0.026594919596033533,0.005948634422975102,0.002378720329165415,0.003844664712572822,0.04828009851034391,0.002592359142292195
10,0.02179921760969634,0.004127487747366782,0.0012607145050067229,0.001940762113010695,0.036413898113448744,0.0013513215482331656
11,0.017939158239771068,0.002883493638985599,0.0006727243233328181,0.0008566338207227831,0.024953513114585484,0.0006989115887321063
12,0.0148077091110532,0.0020196442027472267,0.00034495071721084693,0.00040106355939852653,0.017087418155789343,0.00032359706604988774
13,0.012249274545328816,0.0014056728418106363,0.00016398319174789434,0.0001755158337890262,0.011920837351418398,0.0001417813779728182
14,0.010146860240297617,0.0009652554893413617,7.611790660179184e-05,8.260742422132039e-05,0.008112373020453223,6.452047567160623e-05
15,0.008411681229973628,0.0006529352157668734,nan,nan,0.005954571748917557,nan
16,0.0069761753067829856,0.00043666283078074627,nan,nan,0.005221320770959277,nan
17,0.005787021314965117,0.0002904478059853595,nan,nan,0.00553902373628536,nan
18,0.004802257039022578,0.00019319275110676044,nan,nan,0.006701729988152004,nan
19,0.0039875295326889885,0.00012862653052851913,nan,nan,0.008640167605680501,nan
20,0.0033138636759102147,8.536214212972483e-05,nan,nan,0.011461557623198998,nan
21,0.0027575506284621566,nan,nan,nan,0.015419171411406547,nan
22,0.002297951640643809,nan,nan,nan,0.020906568889435876,nan
23,0.0019185090520651789,nan,nan,nan,0.028503294510109425,nan
24,0.0016043137460137898,nan,nan,nan,0.03903478351487368,nan
25,0.0013435200510820465,nan,nan,nan,0.05366165277805878,nan
26,0.001126474889713023,nan,nan,nan,0.0740167165797707,nan
27,0.0009452202955490194,nan,nan,nan,0.10239878847552782,nan
28,0.0007933015485105168,nan,nan,nan,0.14204601545330142,nan
29,0.000665523933651119,nan,nan,nan,0.19752404766723994,nan
30,0.0005580592678369939,nan,nan,nan,0.27527665045321853,nan
31,0.00046721960102063837,nan,nan,nan,0.3844066147427249,nan
32,0.0003906962839420984,nan,nan,nan,0.5377841351287923,nan
33,0.0003262877984177424,nan,nan,nan,0.7536209051141479,nan
34,0.0002720471848208616,nan,nan,nan,1.0577067860652698,nan
35,0.0002264361645004195,nan,nan,nan,1.4865895895012287,nan
36,0.0001882694602715702,nan,nan,nan,2.0920978862443262,nan
37,0.00015644202428756243,nan,nan,nan,2.9477770860647725,nan
38,0.00012974272077117196,nan,nan,nan,4.158052224612415,nan
39,0.00010760814219748819,nan,nan,nan,5.871278183718196,nan
40,8.92892327982056e-05,nan,nan,nan,nan,nan
