Iteration,Fixed_0.2,Fixed_0.4,Fixed_0.6,Fixed_0.8,Fixed_1.0,Adaptive
1,0.07476581907807657,0.07476581907807657,0.07476581907807657,0.07476581907807657,0.07476581907807657,0.07476581907807657
2,0.05905175801882226,0.04377417053779644,0.02959408246489407,0.01915387828390807,0.019725942809778445,0.02355938954763714
3,0.04671771484000056,0.02590377097232634,0.012304219661019342,0.006219437601990476,0.008204625044831439,0.006535094433062495
4,0.037019030586042403,0.01547503489314643,0.005275384621598453,0.002234871459479009,0.0040444945574802495,0.0024374030839444593
5,0.02937045941465567,0.009316143963506539,0.002300040278067894,0.0008275767104718238,0.0018073302032837178,0.000915826036719757
6,0.023339802605642633,0.005639211835627849,0.0010205686032087374,0.00027992009009994364,0.0007645967918894515,0.00030319183265297556
7,0.01856717267314391,0.0034299708849939866,0.00046149996799387585,8.806851727667219e-05,0.0002967886897281638,9.514000382259408e-05
8,0.014795134915266196,0.0020908440239417268,0.00021280899823934864,nan,0.00010671022164245497,nan
9,0.011795377238051786,0.0012815531289249137,9.812607862533609e-05,nan,3.858359762824231e-05,nan
10,0.00941849985819569,0.0007866300981210097,nan,nan,nan,nan
11,0.00752583272072649,0.0004840789718440745,nan,nan,nan,nan
12,0.006014244732902634,0.0003003930650842881,nan,nan,nan,nan
13,0.004813046410294663,0.00018655843873145213,nan,nan,nan,nan
14,0.0038541202542565927,0.00011632440045743318,nan,nan,nan,nan
15,0.0030887720572241356,7.295530333432804e-05,nan,nan,nan,nan
16,0.002476133333012329,nan,nan,nan,nan,nan
17,0.001984961570214302,nan,nan,nan,nan,nan
18,0.001594393140342485,nan,nan,nan,nan,nan
19,0.001279427587301752,nan,nan,nan,nan,nan
20,0.0010280180975099425,nan,nan,nan,nan,nan
21,0.0008266962281939726,nan,nan,nan,nan,nan
22,0.0006633778971172891,nan,nan,nan,nan,nan
23,0.000534097589649366,nan,nan,nan,nan,nan
24,0.00042915154123054607,nan,nan,nan,nan,nan
25,0.00034649437085399864,nan,nan,nan,nan,nan
26,0.0002777594934024431,nan,nan,nan,nan,nan
27,0.00022455153819678916,nan,nan,nan,nan,nan
28,0.00018032978419414686,nan,nan,nan,nan,nan
29,0.0001471918732390492,nan,nan,nan,nan,nan
30,0.00011873207640911768,nan,nan,nan,nan,nan
31,9.419673797223335e-05,nan,nan,nan,nan,nan
