Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,-1.706570990780949823e-03,-5.300015882488091218e-03,1.053600000000003058e-03,7.941248096574198868e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,3.176064072832914670e-02,1.159998865534213851e-02,1.054599999999993650e-03,7.941248096574198868e-04,6.696506357725659823e-05,5.104840990642510381e-05
5.000000000000000278e-02,5.378599279163158442e-02,6.530000314149321528e-02,1.071399999999997094e-03,8.063421144213801794e-04,2.665162588998183125e-04,2.020988232574105140e-04
7.500000000000001110e-02,1.017936793693814540e-01,1.360000000000000098e-01,1.139099999999999228e-03,8.569566627292157703e-04,5.960763169925500102e-04,4.497618962676739208e-04
1.000000000000000056e-01,5.899913033644534760e-02,2.391999999999999682e-01,1.340500000000005749e-03,1.010545636904716747e-03,1.053195018134288168e-03,7.923754097684949623e-04
1.250000000000000000e-01,1.327215876247450077e-01,3.548000000000000043e-01,1.710099999999997169e-03,1.291543646475803693e-03,1.635365987028429644e-03,1.230187558276501624e-03
1.500000000000000222e-01,-3.709771705069264125e-01,2.998999999999999999e-01,2.358400000000003115e-03,1.792453141798176341e-03,2.339859862538623981e-03,1.765402376550607869e-03
1.750000000000000167e-01,-6.031833597344078424e-01,3.216999999999999860e-01,3.344499999999996347e-03,2.570869988187647094e-03,3.163579135845162073e-03,2.402097855220567714e-03
2.000000000000000111e-01,-4.446613523784702648e-01,2.056000000000000050e-01,4.221199999999996136e-03,3.279473664497345366e-03,4.102934174092619582e-03,3.146035381870797721e-03
2.250000000000000056e-01,-8.187212575646272139e-01,3.099999999999993820e-03,5.194100000000006177e-03,4.087561108170719749e-03,5.153743760131692525e-03,4.004377243977642713e-03
2.500000000000000000e-01,-8.846736229582188304e-01,-1.733999999999999986e-01,6.248699999999999394e-03,4.993386989955776907e-03,6.311174472371074672e-03,4.985321132797678259e-03
2.750000000000000222e-01,-9.531178040950711861e-01,-3.662999999999999590e-01,7.403700000000000905e-03,6.024876577884425398e-03,7.569742550979650757e-03,6.097652585338577368e-03
3.000000000000000444e-01,-1.851373543125344412e+00,-5.415999999999999703e-01,8.672300000000007780e-03,7.208209810736580445e-03,8.923399456893965631e-03,7.350217248272453846e-03
3.250000000000000111e-01,-2.103475460235545658e+00,-7.027999999999999803e-01,1.004900000000000758e-02,8.548622676268225959e-03,1.036570532759896121e-02,8.751331451927716817e-03
3.500000000000000333e-01,-1.853083387795617432e+00,-8.798000000000000265e-01,1.151460000000000157e-02,1.004087918672337890e-02,1.189007175171561195e-02,1.030817576987270306e-02
3.750000000000000000e-01,-2.129371825031776577e+00,-1.123099999999999987e+00,1.304089999999999416e-02,1.166229006182611071e-02,1.349004107180522445e-02,1.202623433531080713e-02
4.000000000000000222e-01,-2.150582511155542775e+00,-1.214500000000000135e+00,1.462399999999999638e-02,1.342332727708838921e-02,1.515957117532854004e-02,1.390883882554814002e-02
4.250000000000000444e-01,-2.401733922612123706e+00,-1.396500000000000075e+00,1.655700000000000227e-02,1.567480201216107233e-02,1.689330638317992905e-02,1.595685299821535119e-02
4.500000000000000111e-01,-2.484059604845467728e+00,-1.442700000000000315e+00,1.829250000000000320e-02,1.779014106557820149e-02,1.868682416422191503e-02,1.816850752106563896e-02
4.750000000000000333e-01,-2.292414224988453597e+00,-1.474000000000000199e+00,2.008889999999999634e-02,2.005732376391883634e-02,2.053684800812315830e-02,2.053937984781197337e-02
5.000000000000000000e-01,-2.406938163020198029e+00,-1.496500000000000163e+00,2.192170000000000230e-02,2.244318885139508571e-02,2.244141335430490172e-02,2.306251089998906031e-02
5.250000000000000222e-01,-1.809272639427350837e+00,-1.414600000000000080e+00,2.379320000000000046e-02,2.494599099875495149e-02,2.439997315349771642e-02,2.572864936132520861e-02
5.500000000000000444e-01,-1.992846981250498528e+00,-1.258000000000000007e+00,2.605060000000000361e-02,2.803347844553292362e-02,2.641343381862129580e-02,2.852660767399553543e-02
5.750000000000000666e-01,-1.909591482703452359e+00,-1.076299999999999812e+00,2.838849999999999360e-02,3.128677217125035159e-02,2.848411709318615648e-02,3.144370358178753821e-02
6.000000000000000888e-01,-1.290469270287593062e+00,-8.673000000000000709e-01,3.009239999999999832e-02,3.367612791723059024e-02,3.061564574927183591e-02,3.446625464960597490e-02
6.250000000000000000e-01,-1.497223249834308767e+00,-6.621000000000000218e-01,3.218320000000000208e-02,3.661177171908504974e-02,3.281275232360564981e-02,3.758009437025162935e-02
6.500000000000000222e-01,-1.227762318305538169e+00,-4.242000000000000215e-01,3.471769999999999717e-02,4.015304477138154776e-02,3.508101377287641681e-02,4.077108478845484218e-02
6.750000000000000444e-01,-5.293793842065790400e-01,-1.537000000000000588e-01,3.697639999999999955e-02,4.327369347394741106e-02,3.742652272894535920e-02,4.402560555594297459e-02
7.000000000000000666e-01,-8.901011254518962357e-01,1.680000000000004406e-02,3.929420000000000135e-02,4.642575810304917089e-02,3.985551577138472107e-02,4.733099688480011530e-02
7.250000000000000888e-01,-2.366119925693808690e-01,2.542999999999999705e-01,4.168059999999999821e-02,4.960574800018283798e-02,4.237398543861577160e-02,5.067592480725654353e-02
7.500000000000000000e-01,-3.376523528401301211e-02,4.603999999999999759e-01,4.458859999999999907e-02,5.337565918449058144e-02,4.498730127491447350e-02,5.405063124098307553e-02
7.750000000000000222e-01,-4.469511288443936969e-01,5.682000000000000384e-01,4.719020000000000853e-02,5.665164219048393623e-02,4.769985759701802358e-02,5.744703869728208512e-02
8.000000000000000444e-01,1.013433902548971921e-01,7.171999999999999487e-01,5.031820000000000737e-02,6.046867726459553838e-02,5.051475846782807477e-02,6.085870034469251233e-02
8.250000000000000666e-01,1.337621308752097622e-02,6.901999999999999247e-01,5.262109999999999704e-02,6.319488155621068304e-02,5.343354858246713440e-02,6.428061138356952475e-02
8.500000000000000888e-01,5.312468396655332104e-01,7.005000000000000115e-01,5.646540000000000586e-02,6.759136594198440762e-02,5.645600083151457171e-02,6.770891670851758581e-02
8.750000000000000000e-01,2.682360664619978796e-01,6.952000000000000401e-01,5.946770000000000528e-02,7.090923685002561982e-02,5.957997129833206285e-02,7.114055747126148133e-02
9.000000000000000222e-01,-7.101224852321981196e-01,4.899000000000000021e-01,6.253499999999999337e-02,7.420267314853892793e-02,6.280132630693180396e-02,7.457289815165299429e-02
9.250000000000000444e-01,-1.885669126376738336e-01,4.142000000000000126e-01,6.567560000000000064e-02,7.748389214228826316e-02,6.611393565650729165e-02,7.800337336705634450e-02
9.500000000000000666e-01,-2.160076814356506336e-01,2.116999999999999993e-01,6.946090000000000597e-02,8.132885248443176562e-02,6.950971833005517575e-02,8.142919304559517735e-02
9.750000000000000888e-01,-8.622035949922108866e-01,-6.120000000000002521e-02,7.278999999999999360e-02,8.462752477070104029e-02,7.297872861196097460e-02,8.484714037749185866e-02
1.000000000000000000e+00,-6.416656759697726420e-01,-1.703000000000000069e-01,7.558950000000000391e-02,8.735023840381221649e-02,7.650928127438359760e-02,8.825348265974766737e-02
1.025000000000000133e+00,-1.547780196029093780e+00,-4.033000000000001029e-01,7.897819999999999840e-02,9.059306015401766277e-02,8.008812494575613672e-02,9.164399297430382563e-02
1.050000000000000044e+00,-7.155678973239102403e-01,-5.190000000000000169e-01,8.299680000000000946e-02,9.436995265533340560e-02,8.370067283434734495e-02,9.501406065218973018e-02
1.074999999999999956e+00,-1.532914887686968930e+00,-6.515000000000000790e-01,8.767410000000000481e-02,9.869836920027934279e-02,8.733128863464922897e-02,9.835885999131785407e-02
1.100000000000000089e+00,-1.306410611520467668e+00,-6.961000000000000520e-01,9.060760000000001035e-02,1.013844309190986143e-01,9.096361109238472464e-02,1.016735519471190785e-01
