Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,8.157509367001840317e-02,6.309999999999998943e-02,1.845399999999997910e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,1.714450359569563154e-01,1.472999999999999865e-01,1.846000000000003671e-03,7.923794804054256832e-04,1.180151380747652994e-04,5.105068089547022236e-05
5.000000000000000278e-02,2.316579941115370911e-01,2.444000000000000061e-01,1.877600000000001186e-03,8.045967851693859758e-04,4.686227186132141008e-04,2.021094680181006597e-04
7.500000000000001110e-02,3.204460333567091812e-01,3.601999999999999647e-01,2.005200000000002120e-03,8.604473212332043944e-04,1.045857849873063497e-03,4.497899868438091160e-04
1.000000000000000056e-01,3.650227353556616539e-01,4.839999999999999858e-01,2.471299999999999625e-03,1.061160185212552337e-03,1.845609115683904088e-03,7.924323808955947195e-04
1.250000000000000000e-01,3.021045699388431038e-01,4.737000000000000099e-01,3.047100000000000503e-03,1.310742268247741451e-03,2.865618191120061081e-03,1.230285870428819315e-03
1.500000000000000222e-01,-1.388129465794878614e+00,4.041000000000000147e-01,4.195499999999995240e-03,1.811651763570114098e-03,4.105358014507197451e-03,1.765553333261151532e-03
1.750000000000000167e-01,-7.415680873491993230e-01,3.558000000000000052e-01,5.705799999999996118e-03,2.476622208579953594e-03,5.565805481950829997e-03,2.402308755924233933e-03
2.000000000000000111e-01,-8.917031535865973524e-01,-4.560000000000002940e-02,6.975399999999993585e-03,3.042108886226116762e-03,7.249126881282359422e-03,3.146306451148367551e-03
2.250000000000000056e-01,-1.534244310261027255e+00,-3.752000000000000335e-01,9.016999999999995505e-03,3.967133389783111461e-03,9.158296132072705001e-03,4.004698881859273217e-03
2.500000000000000000e-01,-1.746374780099214208e+00,-7.873000000000001108e-01,1.102670000000000559e-02,4.895648551844094566e-03,1.129666905749034111e-02,4.985671934687539719e-03
2.750000000000000222e-01,-3.003227168711443795e+00,-1.202600000000000113e+00,1.366020000000000428e-02,6.138322979264056872e-03,1.366753820500992735e-02,6.097998316988547697e-03
3.000000000000000444e-01,-2.977688946173698170e+00,-1.537400000000000100e+00,1.528749999999999380e-02,6.920230484157517334e-03,1.627369120910749159e-02,7.350510650234981513e-03
3.250000000000000111e-01,-3.382334524293442168e+00,-1.885900000000000132e+00,1.882049999999999695e-02,8.656833089891874389e-03,1.911699528927965699e-02,8.751512561173626151e-03
3.500000000000000333e-01,-3.821618965816218072e+00,-2.384099999999999664e+00,2.174599999999999450e-02,1.013338163707907733e-02,2.219803393473160358e-02,1.030817249359619603e-02
3.750000000000000000e-01,-3.377920136556607833e+00,-2.600499999999999812e+00,2.490170000000000577e-02,1.176351915844178232e-02,2.551582579109561155e-02,1.202596323849427010e-02
