Time(s),Fb_Right_Filtered(N),Mb_Right_Filtered(Nm),Fb_Left_Filtered(N),Mb_Left_Filtered(Nm),Fb_Right_Raw(N),Mb_Right_Raw(Nm),Fb_Left_Raw(N),Mb_Left_Raw(Nm),Ext_Force_Body(N),Ext_Moment_Body(Nm),X_Num_Right_Interface(m),X_Exp_Right_Interface(m),X_Cmd_Right_Interface(m),Rz_Num_Right_Interface(rad),Rz_Exp_Right_Interface(rad),Rz_Cmd_Right_Interface(rad),X_Num_Left_Interface(m),X_Exp_Left_Interface(m),X_Cmd_Left_Interface(m),Rz_Num_Left_Interface(rad),Rz_Exp_Left_Interface(rad),Rz_Cmd_Left_Interface(rad),X_Body_COM(m),Rz_Body(rad)
0.000000000000000000e+00,7.981242153410210427e-02,6.188627933014375498e-02,-2.564037978412731823e-03,-6.040051471568937819e-03,8.157509367001840317e-02,6.309999999999998943e-02,-1.706570990780949823e-03,-5.300015882488091218e-03,4.501246882793017789e+02,5.004987531172069737e+01,0.000000000000000000e+00,1.845399999999997910e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.053600000000003058e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.941248096574198868e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,2.262047925649828817e-01,1.712563014220694346e-01,5.842474802338561840e-02,3.754146681749512271e-02,1.714450359569563154e-01,1.472999999999999865e-01,3.176064072832914670e-02,1.159998865534213851e-02,4.372199251494733403e+02,4.750381026508353699e+01,1.179755219703378100e-04,1.846000000000003671e-03,1.180151380747652994e-04,5.101219157548408581e-05,7.923794804054256832e-04,5.105068089547022236e-05,6.696333039485371738e-05,1.054599999999993650e-03,6.696506357725659823e-05,5.101219157548408581e-05,7.941248096574198868e-04,5.104840990642510381e-05,9.246942618259576367e-05,5.101219157548408581e-05
5.000000000000000278e-02,3.113876857058989200e-01,2.817238332066927531e-01,9.512531486335447373e-02,9.387899613983025082e-02,2.316579941115370911e-01,2.444000000000000061e-01,5.378599279163158442e-02,6.530000314149321528e-02,4.268689105397496633e+02,4.565820534416518228e+01,4.684709483867110884e-04,1.877600000000001186e-03,4.686227186132141008e-04,2.019628442131850103e-04,8.045967851693859758e-04,2.021094680181006597e-04,2.665081041735260781e-04,1.071399999999997094e-03,2.665162588998183125e-04,2.019628442131850103e-04,8.063421144213801794e-04,2.020988232574105140e-04,3.674895262801185832e-04,2.019628442131850103e-04
7.500000000000001110e-02,2.879700610820396522e-01,3.848194922811452034e-01,8.822523433717156804e-02,1.658618218023052426e-01,3.204460333567091812e-01,3.601999999999999647e-01,1.017936793693814540e-01,1.360000000000000098e-01,4.190590495251834682e+02,4.469092631349712263e+01,1.045533592368431616e-03,2.005200000000002120e-03,1.045857849873063497e-03,4.494873806083926095e-04,8.604473212332043944e-04,4.497899868438091160e-04,5.960462117600391152e-04,1.139099999999999228e-03,5.960763169925500102e-04,4.494873806083926095e-04,8.569566627292157703e-04,4.497618962676739208e-04,8.207899020642354200e-04,4.494873806083926095e-04
1.000000000000000056e-01,1.392623880406577697e-01,4.600731395536374335e-01,2.920101872792606190e-02,2.426041736950352024e-01,3.650227353556616539e-01,4.839999999999999858e-01,5.899913033644534760e-02,2.391999999999999682e-01,4.135948393300211592e+02,4.472952377320435602e+01,1.845063897178088200e-03,2.471299999999999625e-03,1.845609115683904088e-03,7.919661520098233076e-04,1.061160185212552337e-03,7.924323808955947195e-04,1.053097745168264784e-03,1.340500000000005749e-03,1.053195018134288168e-03,7.919661520098233076e-04,1.010545636904716747e-03,7.923754097684949623e-04,1.449080821173176492e-03,7.919661520098233076e-04
1.250000000000000000e-01,-1.177436036434493377e-01,4.788527300773211537e-01,-7.738937091944239621e-02,3.023886650559199363e-01,3.021045699388431038e-01,4.737000000000000099e-01,1.327215876247450077e-01,3.548000000000000043e-01,4.101216739291513136e+02,4.583900056739177842e+01,2.864821119937964108e-03,3.047100000000000503e-03,2.865618191120061081e-03,1.229713677801532682e-03,1.310742268247741451e-03,1.230285870428819315e-03,1.635107442136431643e-03,1.710099999999997169e-03,1.635365987028429644e-03,1.229713677801532682e-03,1.291543646475803693e-03,1.230187558276501624e-03,2.249964281037197984e-03,1.229713677801532682e-03
1.500000000000000222e-01,-4.458437381845347658e-01,4.136960180356818451e-01,-2.178497635784678865e-01,3.212124441548266929e-01,-1.388129465794878614e+00,4.041000000000000147e-01,-3.709771705069264125e-01,2.998999999999999999e-01,4.081590155386284096e+02,4.801379441140586835e+01,4.104309267182960214e-03,4.195499999999995240e-03,4.105358014507197451e-03,1.765024780337892413e-03,1.811651763570114098e-03,1.765553333261151532e-03,2.339284486845068234e-03,2.358400000000003115e-03,2.339859862538623981e-03,1.765024780337892413e-03,1.792453141798176341e-03,1.765402376550607869e-03,3.221796877014014224e-03,1.765024780337892413e-03
1.750000000000000167e-01,-8.111937016220887031e-01,2.486777593042007461e-01,-3.793186927041390932e-01,2.824600555400209601e-01,-7.415680873491993230e-01,3.558000000000000052e-01,-6.031833597344078424e-01,3.216999999999999860e-01,4.071406360985847073e+02,5.117469873105106615e+01,5.564554263165773229e-03,5.705799999999996118e-03,5.565805481950829997e-03,2.402085557697265956e-03,2.476622208579953594e-03,2.402308755924233933e-03,3.162468705468507706e-03,3.344499999999996347e-03,3.163579135845162073e-03,2.402085557697265956e-03,2.570869988187647094e-03,2.402097855220567714e-03,4.363511484317140685e-03,2.402085557697265956e-03
2.000000000000000111e-01,-1.199421952160823368e+00,-1.422636003424147810e-02,-5.592590896375359000e-01,1.830166359857096914e-01,-8.917031535865973524e-01,-4.560000000000002940e-02,-4.446613523784702648e-01,2.056000000000000050e-01,4.064592057585302314e+02,5.517107273290907443e+01,7.247786947484943787e-03,6.975399999999993585e-03,7.249126881282359422e-03,3.146768358778912703e-03,3.042108886226116762e-03,3.146306451148367551e-03,4.101018588706031517e-03,4.221199999999996136e-03,4.102934174092619582e-03,3.146768358778912703e-03,3.279473664497345366e-03,3.146035381870797721e-03,5.674402768095487652e-03,3.146768358778912703e-03
2.250000000000000056e-01,-1.611945952591858244e+00,-3.559468482881599782e-01,-7.658551769799823994e-01,3.325222225810620102e-02,-1.534244310261027255e+00,-3.752000000000000335e-01,-8.187212575646272139e-01,3.099999999999993820e-03,4.055122542481453252e+02,5.978828870153687092e+01,9.157052512373607678e-03,9.016999999999995505e-03,9.158296132072705001e-03,4.006332415529483687e-03,3.967133389783111461e-03,4.004698881859273217e-03,5.150720096844123123e-03,5.194100000000006177e-03,5.153743760131692525e-03,4.006332415529483687e-03,4.087561108170719749e-03,4.004377243977642713e-03,7.153886304608864967e-03,4.006332415529483687e-03
