Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Right
0.000000000000000000e+00,8.157509367001840317e-02,6.309999999999998943e-02,1.845399999999997910e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.476462945213949468e-02
2.500000000000000139e-02,1.714450359569563154e-01,1.472999999999999865e-01,1.846000000000003671e-03,7.923794804054256832e-04,1.180151380747652994e-04,5.105068089547022236e-05,1.179755219703378100e-04,5.101219157548408581e-05,-3.961610442748946404e-08,-3.848931998613654972e-08,5.476462945213949468e-02
5.000000000000000278e-02,2.316579941115370911e-01,2.444000000000000061e-01,1.877600000000001186e-03,8.045967851693859758e-04,4.686227186132141008e-04,2.021094680181006597e-04,4.684709483867110884e-04,2.019628442131850103e-04,-1.517702265030123829e-07,-1.466238049156493462e-07,5.476462945213949468e-02
7.500000000000001110e-02,3.204460333567091812e-01,3.601999999999999647e-01,2.005200000000002120e-03,8.604473212332043944e-04,1.045857849873063497e-03,4.497899868438091160e-04,1.045533592368431616e-03,4.494873806083926095e-04,-3.242575046318810911e-07,-3.026062354165065700e-07,5.476462945213949468e-02
1.000000000000000056e-01,3.650227353556616539e-01,4.839999999999999858e-01,2.471299999999999625e-03,1.061160185212552337e-03,1.845609115683904088e-03,7.924323808955947195e-04,1.845063897178088200e-03,7.919661520098233076e-04,-5.452185058158875303e-07,-4.662288857714119023e-07,5.476462945213949468e-02
1.250000000000000000e-01,3.021045699388431038e-01,4.737000000000000099e-01,3.047100000000000503e-03,1.310742268247741451e-03,2.865618191120061081e-03,1.230285870428819315e-03,2.864821119937964108e-03,1.229713677801532682e-03,-7.970711820969728079e-07,-5.721926272866332402e-07,5.476462945213949468e-02
1.500000000000000222e-01,-1.388129465794878614e+00,4.041000000000000147e-01,4.195499999999995240e-03,1.811651763570114098e-03,4.105358014507197451e-03,1.765553333261151532e-03,4.104309267182960214e-03,1.765024780337892413e-03,-1.048747324237236933e-06,-5.285529232591183041e-07,5.476462945213949468e-02
1.750000000000000167e-01,-7.415680873491993230e-01,3.558000000000000052e-01,5.705799999999996118e-03,2.476622208579953594e-03,5.565805481950829997e-03,2.402308755924233933e-03,5.564554263165773229e-03,2.402085557697265956e-03,-1.251218785056767979e-06,-2.231982269679765041e-07,5.476462945213949468e-02
2.000000000000000111e-01,-8.917031535865973524e-01,-4.560000000000002940e-02,6.975399999999993585e-03,3.042108886226116762e-03,7.249126881282359422e-03,3.146306451148367551e-03,7.247786947484943787e-03,3.146768358778912703e-03,-1.339933797415635008e-06,4.619076305451517983e-07,5.476462945213949468e-02
2.250000000000000056e-01,-1.534244310261027255e+00,-3.752000000000000335e-01,9.016999999999995505e-03,3.967133389783111461e-03,9.158296132072705001e-03,4.004698881859273217e-03,9.157052512373607678e-03,4.006332415529483687e-03,-1.243619699097323061e-06,1.633533670210469968e-06,5.476462945213949468e-02
