Time (s),Ref_Disp (m),Num_Disp (m),Exp_Disp (m),Ref_Rot (rad),Num_Rot (rad),Exp_Rot (rad),,Diff_Ref_Num_Disp (m),Diff_Ref_Exp_Disp (m),Diff_Ref_Num_Rot (rad),Diff_Ref_Exp_Rot (rad),,RMSE_Ref_Num_Disp (m),RMSE_Ref_Exp_Disp (m),RMSE_Ref_Num_Rot (rad),RMSE_Ref_Exp_Rot (rad)
0,0,0,0,0,0,0,,0,0,0,0,,2.86E-04,2.86E-04,6.69E-05,6.66E-05
0.05,3.82E-06,2.86E-06,2.86E-06,-1.62E-06,-2.44E-08,-2.44E-08,,9.33418E-13,9.33418E-13,2.54998E-12,2.54998E-12,,,,,
0.1,4.92E-05,4.62E-05,4.62E-05,-8.56E-05,-8.12E-05,-8.12E-05,,8.99096E-12,8.99096E-12,1.95032E-11,1.95032E-11,,,,,
0.15,0.000228741,0.000233684,0.000233684,-0.000811936,-0.000816555,-0.000816555,,2.44284E-11,2.44284E-11,2.13278E-11,2.13278E-11,,,,,
0.2,0.000332928,0.000373851,0.000373851,-0.003227297,-0.00326359,-0.00326359,,1.67463E-09,1.67463E-09,1.31722E-09,1.31722E-09,,,,,
0.25,-0.001036178,-0.00096758,-0.00096758,-0.005722297,-0.005758155,-0.005758155,,4.70556E-09,4.70557E-09,1.28586E-09,1.28586E-09,,,,,
0.3,-0.006064351,-0.006044245,-0.006044245,-0.000977727,-0.000974812,-0.000974812,,4.0425E-10,4.04252E-10,8.4957E-12,8.49557E-12,,,,,
0.35,-0.014641186,-0.014667669,-0.014667669,0.014870947,0.01478783,0.01478783,,7.0134E-10,7.01334E-10,6.90846E-09,6.90847E-09,,,,,
0.4,-0.023048771,-0.023014666,-0.023014666,0.0310937,0.03087806,0.03087806,,1.16314E-09,1.16315E-09,4.65004E-08,4.65005E-08,,,,,
0.45,-0.02803482,-0.027977184,-0.027977184,0.036882076,0.036788305,0.036788304,,3.32189E-09,3.32194E-09,8.79311E-09,8.79321E-09,,,,,
0.5,-0.029796553,-0.029831286,-0.029831285,0.037396588,0.037458286,0.037458286,,1.20635E-09,1.2063E-09,3.80673E-09,3.80663E-09,,,,,
0.55,-0.02952819,-0.029608489,-0.029608488,0.038558424,0.038569445,0.038569445,,6.44792E-09,6.4478E-09,1.21481E-10,1.21466E-10,,,,,
0.6,-0.027363019,-0.027443238,-0.027443238,0.037888523,0.037901621,0.037901621,,6.43516E-09,6.4351E-09,1.71564E-10,1.7156E-10,,,,,
0.65,-0.023165242,-0.023263958,-0.023263958,0.034538523,0.034562473,0.034562474,,9.74481E-09,9.74484E-09,5.73632E-10,5.73655E-10,,,,,
0.7,-0.017367839,-0.017460224,-0.017460225,0.028535707,0.028501859,0.02850186,,8.535E-09,8.53512E-09,1.14567E-09,1.14561E-09,,,,,
0.75,-0.011415894,-0.011537182,-0.011537182,0.021195425,0.021235574,0.021235575,,1.47106E-08,1.47108E-08,1.61196E-09,1.61202E-09,,,,,
0.8,-0.007291266,-0.007498655,-0.007498656,0.018414162,0.018567347,0.018567348,,4.30105E-08,4.30109E-08,2.34656E-08,2.34658E-08,,,,,
0.85,-0.005679809,-0.005942357,-0.005942358,0.022780677,0.022960536,0.022960536,,6.89313E-08,6.89318E-08,3.2349E-08,3.23492E-08,,,,,
0.9,-0.005132308,-0.005386482,-0.005386483,0.030037586,0.030173225,0.030173225,,6.46048E-08,6.4605E-08,1.83981E-08,1.83981E-08,,,,,
0.95,-0.003624992,-0.003845205,-0.003845205,0.034849312,0.034940598,0.034940597,,4.8494E-08,4.84938E-08,8.33304E-09,8.3329E-09,,,,,
1,-0.000235059,-0.000447496,-0.000447496,0.036337385,0.036447662,0.036447663,,4.51293E-08,4.51292E-08,1.2161E-08,1.21612E-08,,,,,
1.05,0.00513875,0.004929347,0.004929347,0.036436924,0.036529369,0.03652937,,4.38497E-08,4.38499E-08,8.54609E-09,8.54635E-09,,,,,
1.1,0.012750812,0.012572611,0.012572612,0.034721139,0.03474528,0.034745277,,3.17554E-08,3.1755E-08,5.8279E-10,5.82647E-10,,,,,
1.15,0.022974031,0.022829781,0.022829784,0.029459216,0.02943361,0.029433607,,2.08079E-08,2.08071E-08,6.55631E-10,6.55784E-10,,,,,
1.2,0.035592442,0.035466465,0.035466465,0.020325914,0.02029348,0.020293484,,1.587E-08,1.58701E-08,1.05192E-09,1.0517E-09,,,,,
1.25,0.049429849,0.049301908,0.049301907,0.008988536,0.009007548,0.009007548,,1.63688E-08,1.63691E-08,3.61451E-10,3.61426E-10,,,,,
1.3,0.062730586,0.06258778,0.062587783,-0.000900661,-0.000837196,-0.000837201,,2.03937E-08,2.03928E-08,4.02781E-09,4.02709E-09,,,,,
1.35,0.074213226,0.074071542,0.074071542,-0.006381513,-0.006366031,-0.006366027,,2.00744E-08,2.00742E-08,2.3969E-10,2.39807E-10,,,,,
1.4,0.083833857,0.083715939,0.083715938,-0.008060951,-0.008137943,-0.008137943,,1.39046E-08,1.39049E-08,5.92778E-09,5.92779E-09,,,,,
1.45,0.092355938,0.092249442,0.092249448,-0.008460423,-0.008551276,-0.008551287,,1.13414E-08,1.13401E-08,8.25411E-09,8.25615E-09,,,,,
1.5,0.100500743,0.100375072,0.100375075,-0.008732093,-0.008766257,-0.008766252,,1.57931E-08,1.57924E-08,1.16721E-09,1.16689E-09,,,,,
1.55,0.108790833,0.108638228,0.108638226,-0.008914893,-0.008911678,-0.008911676,,2.32883E-08,2.32889E-08,1.0333E-11,1.03465E-11,,,,,
1.6,0.11786047,0.117694509,0.117694517,-0.009773481,-0.009776614,-0.009776629,,2.7543E-08,2.75405E-08,9.81645E-12,9.91362E-12,,,,,
1.65,0.128428183,0.128261915,0.128261918,-0.012946531,-0.012974723,-0.012974717,,2.7645E-08,2.7644E-08,7.94802E-10,7.94473E-10,,,,,
1.7,0.14081771,0.14064779,0.140647786,-0.019607378,-0.019644125,-0.019644124,,2.8873E-08,2.88741E-08,1.35036E-09,1.35028E-09,,,,,
1.75,0.154544759,0.154351405,0.154351408,-0.029162034,-0.029163897,-0.029163907,,3.73859E-08,3.73846E-08,3.46894E-12,3.50771E-12,,,,,
