Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,8.239371432281983321e-02,7.170000366508220979e-02,1.844599999999999842e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,2.166955738178746316e-01,1.609000041885451093e-01,1.845200000000005603e-03,7.923794804054256832e-04,1.179825321891197684e-04,5.101988120834378320e-05
5.000000000000000278e-02,2.701683496407052965e-01,2.635000136131667725e-01,1.865700000000003987e-03,8.011061266653973518e-04,4.684834723180762044e-04,2.019688604638797424e-04
7.500000000000001110e-02,3.322030606793139329e-01,4.088999999999999857e-01,2.004400000000003835e-03,8.604473212332043944e-04,1.045526200726891019e-03,4.494413864694171462e-04
1.000000000000000056e-01,3.043378930711282959e-01,5.130000000000000115e-01,2.380099999999998710e-03,1.022762941668677039e-03,1.845002681631889270e-03,7.917961886743699572e-04
1.250000000000000000e-01,4.037719286264351282e-01,5.777999999999999803e-01,3.046300000000002218e-03,1.310742268247741451e-03,2.864678320718409138e-03,1.229346501553832405e-03
1.500000000000000222e-01,-1.444322232805814288e+00,4.649999999999999689e-01,4.389499999999998438e-03,1.897172896917836363e-03,4.104072274031872122e-03,1.764401237460948768e-03
1.750000000000000167e-01,-9.024821343734039658e-01,3.432000000000000051e-01,5.469099999999997574e-03,2.371902453460293572e-03,5.564228516698474861e-03,2.401168794926539923e-03
2.000000000000000111e-01,-4.302886867949659022e-01,2.979999999999999663e-02,7.246499999999997735e-03,3.166027263117713892e-03,7.247395806844319881e-03,3.145546316920840198e-03
2.250000000000000056e-01,-1.719041657004493073e+00,-3.360999999999999543e-01,8.704599999999999838e-03,3.825761720371570560e-03,9.156636940463184007e-03,4.004816542835961529e-03
2.500000000000000000e-01,-1.898465435737239693e+00,-7.135000000000000231e-01,1.067440000000000576e-02,4.733332931408621921e-03,1.129539158713724345e-02,4.987266120211089095e-03
2.750000000000000222e-01,-2.193717246793624120e+00,-1.125799999999999912e+00,1.328600000000000093e-02,5.963790054064624369e-03,1.366701988550368153e-02,6.101730483992006716e-03
3.000000000000000444e-01,-2.807245170837981973e+00,-1.503600000000000048e+00,1.577660000000000173e-02,7.164576579436722319e-03,1.627435397219620383e-02,7.357070143902881207e-03
3.250000000000000111e-01,-3.501991105773495150e+00,-1.889199999999999990e+00,1.846290000000000431e-02,8.489281481700418699e-03,1.911928342116283805e-02,8.761596165546262430e-03
3.500000000000000333e-01,-3.572912981118114395e+00,-2.401600000000000179e+00,2.287730000000000666e-02,1.072679358275714992e-02,2.220239998010987634e-02,1.032248284976372901e-02
3.750000000000000000e-01,-3.317071941095265153e+00,-2.639300000000000423e+00,2.553199999999999567e-02,1.210734902108466342e-02,2.552272601554510245e-02,1.204521960608713471e-02
4.000000000000000222e-01,-4.744851256854419219e+00,-2.861399999999999721e+00,2.829749999999999974e-02,1.356993493425591099e-02,2.907754727580156434e-02,1.393315237211958241e-02
4.250000000000000444e-01,-5.224317588973477200e+00,-3.127500000000000391e+00,3.176560000000000494e-02,1.543569190463785039e-02,3.286236271081791754e-02,1.598715032831465183e-02
4.500000000000000111e-01,-3.419667343894293499e+00,-3.015100000000000335e+00,3.612510000000000721e-02,1.783377429687806048e-02,3.687095381456662047e-02,1.820541706561951481e-02
4.750000000000000333e-01,-5.014405236053404380e+00,-3.096300000000000274e+00,4.087139999999999523e-02,2.049365607691741586e-02,4.109556686405585468e-02,2.058345481530840168e-02
5.000000000000000000e-01,-4.602466075947019064e+00,-2.944499999999999673e+00,4.518410000000000482e-02,2.294584367596945104e-02,4.552719474339519956e-02,2.311418366902002336e-02
5.250000000000000222e-01,-4.067842951526949413e+00,-2.838400000000000034e+00,4.964270000000000488e-02,2.550624168864513291e-02,5.015593787402047865e-02,2.578820729682022167e-02
5.500000000000000444e-01,-3.457628242399516161e+00,-2.411999999999999922e+00,5.424989999999999674e-02,2.817659544419645612e-02,5.497141422237401820e-02,2.859420099977653951e-02
5.750000000000000666e-01,-3.582105648489039673e+00,-2.086599999999999788e+00,5.981710000000000499e-02,3.142290785290591248e-02,5.996318002015865734e-02,3.151938453297680603e-02
