Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Left
0.000000000000000000e+00,-9.368285353891676881e-02,-4.050001483523693602e-02,1.053299999999993131e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.559532809073971640e-03
2.500000000000000139e-02,-8.728911361187360884e-02,-5.670002321279266067e-02,1.053700000000006368e-03,7.923794804054256832e-04,6.696257526002588059e-05,5.102009181423856747e-05,6.693184771486501987e-05,5.103415624960491541e-05,-3.072754516086071471e-08,1.406443536634794603e-08,1.559532809073971640e-03
5.000000000000000278e-02,-4.742706398370926529e-02,-2.700000000000002398e-02,1.080399999999997421e-03,8.115781021773632239e-04,2.665141854683022050e-04,2.019700216794922325e-04,2.663803798461159673e-04,2.020485620795924519e-04,-1.338056221862377222e-07,7.854040010021943845e-08,1.559532809073971640e-03
7.500000000000001110e-02,-8.726599893753299308e-02,3.870000000000006768e-02,1.197599999999994199e-03,9.005898940290740047e-04,5.960835476108557142e-04,4.494448001989975196e-04,5.957585094518492476e-04,4.496655461521514700e-04,-3.250381590064665635e-07,2.207459531539503542e-07,1.559532809073971640e-03
1.000000000000000056e-01,-5.669969524788162629e-02,1.144999999999999907e-01,1.456299999999998915e-03,1.096066770252438795e-03,1.053203759004079591e-03,7.918035105330458465e-04,1.052596514399669605e-03,7.922361381414907413e-04,-6.072446044099854418e-07,4.326276084448948261e-07,1.559532809073971640e-03
1.250000000000000000e-01,5.113255402016937678e-02,1.658000000000000029e-01,1.787599999999997698e-03,1.349139511791616532e-03,1.635326947558389706e-03,1.229359423147204739e-03,1.634355069135331236e-03,1.230039121046449602e-03,-9.718784230584691375e-07,6.796978992448625412e-07,1.559532809073971640e-03
1.500000000000000222e-01,-7.278039259515914905e-01,1.930999999999999939e-01,2.224599999999995418e-03,1.687733386678516535e-03,2.339663409709949200e-03,1.764421093325683945e-03,2.338255921933486171e-03,1.765348268520302915e-03,-1.407487776463028223e-06,9.271751946189708132e-07,1.559532809073971640e-03
1.750000000000000167e-01,-5.841344906939430759e-01,2.024000000000000243e-01,3.019800000000003471e-03,2.312561258892486746e-03,3.163048859341905696e-03,2.401196185618000110e-03,3.161137089946725910e-03,2.402366630978810397e-03,-1.911769395179785391e-06,1.170445360810287022e-06,1.559532809073971640e-03
2.000000000000000111e-01,-1.373258628805675285e-01,1.349000000000000199e-01,3.722399999999993336e-03,2.878047936538649480e-03,4.101835109390350800e-03,3.145580880784494202e-03,4.099335107878023313e-03,3.147033013318186433e-03,-2.500001512327487685e-06,1.452132533692231109e-06,1.559532809073971640e-03
2.250000000000000056e-01,-1.296731051769062226e+00,-6.930000000000002824e-02,4.701199999999999997e-03,3.686135380212023863e-03,5.151802440702093339e-03,4.004856983828514530e-03,5.148600081984491816e-03,4.006710173267618268e-03,-3.202358717601522242e-06,1.853189439103737624e-06,1.559532809073971640e-03
