Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad)
0.000000000000000000e+00,-9.368285353891676881e-02,-4.050001483523693602e-02,1.053299999999993131e-03,7.923794804054256832e-04,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,-8.728911361187360884e-02,-5.670002321279266067e-02,1.053700000000006368e-03,7.923794804054256832e-04,6.696257526002588059e-05,5.102009181423856747e-05
5.000000000000000278e-02,-4.742706398370926529e-02,-2.700000000000002398e-02,1.080399999999997421e-03,8.115781021773632239e-04,2.665141854683022050e-04,2.019700216794922325e-04
7.500000000000001110e-02,-8.726599893753299308e-02,3.870000000000006768e-02,1.197599999999994199e-03,9.005898940290740047e-04,5.960835476108557142e-04,4.494448001989975196e-04
1.000000000000000056e-01,-5.669969524788162629e-02,1.144999999999999907e-01,1.456299999999998915e-03,1.096066770252438795e-03,1.053203759004079591e-03,7.918035105330458465e-04
1.250000000000000000e-01,5.113255402016937678e-02,1.658000000000000029e-01,1.787599999999997698e-03,1.349139511791616532e-03,1.635326947558389706e-03,1.229359423147204739e-03
1.500000000000000222e-01,-7.278039259515914905e-01,1.930999999999999939e-01,2.224599999999995418e-03,1.687733386678516535e-03,2.339663409709949200e-03,1.764421093325683945e-03
1.750000000000000167e-01,-5.841344906939430759e-01,2.024000000000000243e-01,3.019800000000003471e-03,2.312561258892486746e-03,3.163048859341905696e-03,2.401196185618000110e-03
2.000000000000000111e-01,-1.373258628805675285e-01,1.349000000000000199e-01,3.722399999999993336e-03,2.878047936538649480e-03,4.101835109390350800e-03,3.145580880784494202e-03
2.250000000000000056e-01,-1.296731051769062226e+00,-6.930000000000002824e-02,4.701199999999999997e-03,3.686135380212023863e-03,5.151802440702093339e-03,4.004856983828514530e-03
2.500000000000000000e-01,-1.074988505829523433e+00,-2.096000000000000085e-01,5.807299999999997880e-03,4.628613176288961899e-03,6.308104090816389273e-03,4.987310493243739262e-03
2.750000000000000222e-01,-9.761642886906535255e-01,-3.782999999999999696e-01,7.235600000000005222e-03,5.897467542488839427e-03,7.565264947143691965e-03,6.101776604153741519e-03
3.000000000000000444e-01,-1.784314876022083940e+00,-5.706999999999999851e-01,8.556399999999996994e-03,7.122688677388858830e-03,8.917256784761184996e-03,7.357115912411242055e-03
3.250000000000000111e-01,-2.241689279233403553e+00,-7.940000000000000391e-01,1.017740000000000658e-02,8.700466321191733382e-03,1.035765823093542405e-02,8.761639654902586907e-03
3.500000000000000333e-01,-1.619096828974243563e+00,-9.493000000000000327e-01,1.138760000000000640e-02,9.932668773099730467e-03,1.187988682032921003e-02,1.032252213927415709e-02
3.750000000000000000e-01,-2.026611897173486110e+00,-1.199100000000000055e+00,1.316790000000000321e-02,1.183333232852155567e-02,1.347747555197783761e-02,1.204525250491743187e-02
4.000000000000000222e-01,-2.235324673503911619e+00,-1.271299999999999875e+00,1.476860000000000672e-02,1.362753079957172535e-02,1.514436422611546880e-02,1.393317621071605249e-02
4.250000000000000444e-01,-2.739206574900010960e+00,-1.443000000000000060e+00,1.641679999999999529e-02,1.555437429377346491e-02,1.687518257560824408e-02,1.598716192684920476e-02
4.500000000000000111e-01,-2.571509620049554190e+00,-1.452700000000000102e+00,1.840099999999999722e-02,1.797863662479358762e-02,1.866550849824279157e-02,1.820541287495308982e-02
4.750000000000000333e-01,-2.284599286164441079e+00,-1.456100000000000172e+00,2.047150000000000705e-02,2.061931978306100893e-02,2.051208611799601803e-02,2.058343115598967876e-02
5.000000000000000000e-01,-2.635520002757785196e+00,-1.474000000000000199e+00,2.199920000000000347e-02,2.262819375210648257e-02,2.241298839361690817e-02,2.311413698936580149e-02
5.250000000000000222e-01,-1.873874201384703619e+00,-1.350800000000000001e+00,2.386719999999999814e-02,2.514321320423031428e-02,2.436771227501885809e-02,2.578813439717718772e-02
5.500000000000000444e-01,-2.179688866692552462e+00,-1.196199999999999930e+00,2.577809999999999477e-02,2.776818839922978385e-02,2.637720056810169758e-02,2.859409919031668731e-02
5.750000000000000666e-01,-1.930207533278482268e+00,-1.021900000000000031e+00,2.808799999999999492e-02,3.099355685691530457e-02,2.844378975087688208e-02,3.151925170391481346e-02
6.000000000000000888e-01,-1.253792771413429374e+00,-7.605999999999999428e-01,3.013899999999999565e-02,3.388382209821791391e-02,3.057108528424430302e-02,3.454987299008617507e-02
6.250000000000000000e-01,-1.849963113182173879e+00,-5.732999999999999208e-01,3.259000000000000091e-02,3.734131934641868322e-02,3.276376745384582123e-02,3.767182914962816098e-02
6.500000000000000222e-01,-1.248638358756810174e+00,-4.434000000000000163e-01,3.438720000000000665e-02,3.986506544480248465e-02,3.502733360083830350e-02,4.087107882453717284e-02
6.750000000000000444e-01,-4.881002146116566465e-01,-1.449000000000000288e-01,3.699949999999999767e-02,4.349185963044669562e-02,3.736778694876335960e-02,4.413414596839189408e-02
7.000000000000000666e-01,-1.132351606299953017e+00,3.070000000000006751e-02,3.972599999999999743e-02,4.720766560794262962e-02,3.979128720175633543e-02,4.744853726475686817e-02
7.250000000000000888e-01,-5.897435363266866348e-01,2.530999999999999917e-01,4.213120000000000753e-02,5.041558077310819702e-02,4.230378187150100194e-02,5.080307372238077046e-02
7.500000000000000000e-01,-1.419208819196183802e-01,3.979000000000000314e-01,4.419350000000000361e-02,5.310338782117947354e-02,4.491063765370206101e-02,5.418810305373603087e-02
7.750000000000000222e-01,-2.096405477317754007e-01,5.233999999999999764e-01,4.720149999999999346e-02,5.691518690753508830e-02,4.761628815174552554e-02,5.759557381990171310e-02
8.000000000000000444e-01,5.052171301818304539e-01,6.241999999999999771e-01,4.989220000000000460e-02,6.021909518156035035e-02,5.042391088065945048e-02,6.101897728052416842e-02
8.250000000000000666e-01,-1.509956949374219592e-01,5.523000000000000131e-01,5.265740000000000004e-02,6.351776746782963889e-02,5.333514526212890239e-02,6.445318201648615741e-02
8.500000000000000888e-01,-2.091341192530435933e-01,5.707999999999999741e-01,5.550259999999999916e-02,6.680771310783895078e-02,5.634986338970014025e-02,6.789419072307498193e-02
8.750000000000000000e-01,3.046939733170725972e-01,5.172999999999999821e-01,5.895779999999999771e-02,7.067187207175439079e-02,5.946600402882846331e-02,7.133884316159244676e-02
9.000000000000000222e-01,-8.521228220291996447e-01,2.988000000000000100e-01,6.203140000000000043e-02,7.400196028455957586e-02,6.267947619003201576e-02,7.478448593212760898e-02
9.250000000000000444e-01,-5.326227865950448059e-01,2.623000000000000331e-01,6.569630000000001302e-02,7.786088326071903543e-02,6.598413294609557778e-02,7.822863479353991956e-02
9.500000000000000666e-01,3.059562833779224528e-02,2.560000000000007755e-02,6.890799999999999703e-02,8.114908357147634921e-02,6.937181203611558766e-02,8.166866386602518457e-02
9.750000000000000888e-01,-1.219740754168438412e+00,-2.195000000000000284e-01,7.220669999999999866e-02,8.444950118699762198e-02,7.283243921958715283e-02,8.510155903267821453e-02
1.000000000000000000e+00,-8.262125577060380754e-01,-2.943999999999999950e-01,7.614410000000000622e-02,8.830318817540111498e-02,7.635419151603534127e-02,8.852376659975175199e-02
1.025000000000000133e+00,-2.484842689898398405e+00,-5.229999999999999094e-01,7.954370000000000884e-02,9.156869920588250888e-02,7.992371599164886653e-02,9.193115536396885557e-02
1.050000000000000044e+00,-1.122396559157215590e+00,-5.569999999999999396e-01,8.239189999999999015e-02,9.426697822946572547e-02,8.352639386017793321e-02,9.531909426855095235e-02
1.074999999999999956e+00,-1.237253567110707220e+00,-6.487000000000000544e-01,8.700329999999999175e-02,9.857619615263972512e-02,8.714663323331267586e-02,9.868263148712715094e-02
1.100000000000000089e+00,-2.037721154533684409e+00,-6.958999999999999631e-01,9.105920000000000680e-02,1.023234180566715695e-01,9.076817269399105326e-02,1.020167465205801538e-01
1.125000000000000000e+00,-7.295157598204314864e-01,-6.071999999999999620e-01,9.449420000000001429e-02,1.054772280150253205e-01,9.437438357219049556e-02,1.053166376806662641e-01
1.150000000000000133e+00,-1.253623858297385985e+00,-6.268000000000000238e-01,9.731410000000000060e-02,1.080585699787249276e-01,9.794856754382372244e-02,1.085780062962055231e-01
1.175000000000000044e+00,-5.272430324842571903e-01,-3.410999999999999588e-01,1.011769999999999892e-01,1.115963523725174295e-01,1.014742525127234202e-01,1.117973059871852498e-01
1.200000000000000178e+00,-4.643713322059513926e-01,-1.664999999999999813e-01,1.038855999999999946e-01,1.140869372151133293e-01,1.049354900532635526e-01,1.149719350568796927e-01
1.225000000000000089e+00,-4.235749255188984153e-01,1.116000000000000325e-01,1.076329999999999926e-01,1.175583970973300557e-01,1.083171512434318584e-01,1.181003575564950753e-01
1.250000000000000000e+00,-6.089990022718995144e-01,4.152000000000000135e-01,1.102776999999999924e-01,1.200367646351620105e-01,1.116052076256030395e-01,1.211821448295374720e-01
1.275000000000000133e+00,1.367435187856687939e+00,8.396000000000000130e-01,1.144281000000000048e-01,1.239951713786851539e-01,1.147869777549419823e-01,1.242179357618759250e-01
1.300000000000000044e+00,9.891031871265822950e-01,1.081399999999999917e+00,1.174340999999999996e-01,1.269308151805396134e-01,1.178513245716227703e-01,1.272093157944309827e-01
1.325000000000000178e+00,1.599506110064001341e+00,1.383900000000000130e+00,1.202999000000000013e-01,1.298001364708182837e-01,1.207888028079990433e-01,1.301586080843502580e-01
1.350000000000000089e+00,1.262734736440838779e+00,1.678199999999999914e+00,1.230244000000000060e-01,1.326136072250331532e-01,1.235917663874833844e-01,1.330685629194072184e-01
1.375000000000000000e+00,2.025884790768909927e+00,1.872200000000000086e+00,1.256255000000000011e-01,1.353991527112160809e-01,1.262544428773552663e-01,1.359419378958708069e-01
1.400000000000000133e+00,2.384138206886009304e+00,2.078300000000000036e+00,1.285009000000000012e-01,1.386140491933896546e-01,1.287729694240636324e-01,1.387809855966444239e-01
1.425000000000000044e+00,2.313748115301815567e+00,2.162200000000000344e+00,1.304307000000000105e-01,1.408637785992103431e-01,1.311453759206322456e-01,1.415868960550933364e-01
1.450000000000000178e+00,3.122993682465971865e+00,2.170199999999999907e+00,1.326120000000000076e-01,1.435219150499977003e-01,1.333715051443180588e-01,1.443592613700763749e-01
1.475000000000000089e+00,2.733446270284045188e+00,2.226499999999999702e+00,1.346649000000000040e-01,1.461538715620051554e-01,1.354528725378152110e-01,1.470956297263512902e-01
1.500000000000000000e+00,2.206954010006507705e+00,2.064200000000000035e+00,1.369119000000000030e-01,1.492029617652392559e-01,1.373924790105988392e-01,1.497911977242869230e-01
