Time (s),Ref_Disp (m),Num_Disp (m),Exp_Disp (m),Ref_Rot (rad),Num_Rot (rad),Exp_Rot (rad),,Diff_Ref_Num_Disp (m),Diff_Ref_Exp_Disp (m),Diff_Ref_Num_Rot (rad),Diff_Ref_Exp_Rot (rad),,RMSE_Ref_Num_Disp (m),RMSE_Ref_Exp_Disp (m),RMSE_Ref_Num_Rot (rad),RMSE_Ref_Exp_Rot (rad)
0,0,0,0,0,0,0,,0,0,0,0,,1.70E-05,1.76E-05,2.45E-05,2.45E-05
0.05,3.97E-06,3.09E-06,3.09E-06,-1.43E-06,-7.31E-08,-7.31E-08,,7.85E-13,7.85E-13,1.83E-12,1.83305E-12,,,,,
0.1,5.76E-05,5.48E-05,5.48E-05,-8.31E-05,-8.02E-05,-8.02E-05,,7.56E-12,7.56E-12,8.43E-12,8.43436E-12,,,,,
0.15,0.000309457,0.000313365,0.000313365,-0.000803374,-0.000812763,-0.000812763,,1.53E-11,1.53E-11,8.81E-11,8.81474E-11,,,,,
0.2,0.000655795,0.000687539,0.000687539,-0.003229533,-0.003270638,-0.003270638,,1.01E-09,1.01E-09,1.69E-09,1.6896E-09,,,,,
0.25,-0.000460012,-0.000420398,-0.000420398,-0.005792204,-0.005808007,-0.005808007,,1.57E-09,1.57E-09,2.50E-10,2.49762E-10,,,,,
0.3,-0.005959446,-0.005990924,-0.005990924,-0.001104951,-0.0010143,-0.001014299,,9.91E-10,9.91E-10,8.22E-09,8.21776E-09,,,,,
0.35,-0.016127058,-0.01621018,-0.01621018,0.014848993,0.014916898,0.014916898,,6.91E-09,6.91E-09,4.61E-09,4.61103E-09,,,,,
0.4,-0.026165137,-0.026169855,-0.026169855,0.031218609,0.031131767,0.031131767,,2.23E-11,2.23E-11,7.54E-09,7.54165E-09,,,,,
0.45,-0.031727199,-0.031679826,-0.031679826,0.03695631,0.036909888,0.036909887,,2.24E-09,2.24E-09,2.16E-09,2.1551E-09,,,,,
0.5,-0.033536124,-0.033544563,-0.033544563,0.037394528,0.037453935,0.037453935,,7.12E-11,7.12E-11,3.53E-09,3.52919E-09,,,,,
0.55,-0.033386373,-0.03340213,-0.03340213,0.038600116,0.038592431,0.038592431,,2.48E-10,2.48E-10,5.91E-11,5.90601E-11,,,,,
0.6,-0.031154122,-0.031147884,-0.031147884,0.037928532,0.037914358,0.037914357,,3.89E-11,3.89E-11,2.01E-10,2.00915E-10,,,,,
0.65,-0.026620695,-0.026619509,-0.026619509,0.034566825,0.034571862,0.034571861,,1.40E-12,1.41E-12,2.54E-11,2.53656E-11,,,,,
0.7,-0.02022298,-0.020194376,-0.020194376,0.028563856,0.028518173,0.028518175,,8.18E-10,8.18E-10,2.09E-09,2.08676E-09,,,,,
0.75,-0.013532959,-0.013502546,-0.013502548,0.021151262,0.021150379,0.021150381,,9.25E-10,9.25E-10,7.79E-13,7.76546E-13,,,,,
0.8,-0.009128347,-0.009140816,-0.009140815,0.018336877,0.018382663,0.01838266,,1.55E-10,1.55E-10,2.10E-09,2.09611E-09,,,,,
0.85,-0.007956042,-0.007987608,-0.007987606,0.022748001,0.022772068,0.022772065,,9.96E-10,9.96E-10,5.79E-10,5.79098E-10,,,,,
0.9,-0.008137564,-0.00815345,-0.008153452,0.030064252,0.030051629,0.030051634,,2.52E-10,2.52E-10,1.59E-10,1.59227E-10,,,,,
0.95,-0.007112588,-0.007106807,-0.00710681,0.034896801,0.034872238,0.03487224,,3.34E-11,3.34E-11,6.03E-10,6.03228E-10,,,,,
1,-0.003870245,-0.003875277,-0.003875277,0.036362946,0.036384888,0.036384886,,2.53E-11,2.53E-11,4.81E-10,4.81334E-10,,,,,
1.05,0.001493204,0.001474038,0.001474035,0.036469762,0.036501695,0.036501702,,3.67E-10,3.67E-10,1.02E-09,1.02018E-09,,,,,
1.1,0.009275782,0.009274368,0.009274364,0.034772958,0.034767301,0.034767304,,2.00E-12,2.01E-12,3.20E-11,3.1967E-11,,,,,
1.15,0.020025256,0.02005008,0.02005008,0.029509911,0.02946425,0.029464247,,6.16E-10,6.16E-10,2.08E-09,2.08525E-09,,,,,
1.2,0.033557992,0.033596922,0.033596919,0.020358995,0.02029367,0.020293678,,1.52E-09,1.52E-09,4.27E-09,4.26629E-09,,,,,
1.25,0.048531489,0.048556339,0.048556336,0.008979741,0.00896315,0.008963152,,6.18E-10,6.17E-10,2.75E-10,2.75203E-10,,,,,
1.3,0.062823285,0.062812585,0.062812588,-0.000947557,-0.000892912,-0.000892918,,1.14E-10,1.14E-10,2.99E-09,2.98541E-09,,,,,
1.35,0.074853959,0.074825224,0.074825225,-0.006427472,-0.006372333,-0.006372329,,8.26E-10,8.26E-10,3.04E-09,3.04075E-09,,,,,
1.4,0.084640968,0.084626072,0.084626074,-0.008078965,-0.008079631,-0.008079632,,2.22E-10,2.22E-10,4.44E-13,4.45286E-13,,,,,
1.45,0.093202183,0.093199765,0.093199767,-0.008463973,-0.008478037,-0.008478035,,5.84E-12,5.84E-12,1.98E-10,1.97731E-10,,,,,
1.5,0.101373995,0.101364674,0.101364672,-0.008732885,-0.008715754,-0.008715749,,8.69E-11,8.69E-11,2.93E-10,2.93646E-10,,,,,
1.55,0.109681772,0.109667067,0.109667073,-0.00890515,-0.008879152,-0.008879164,,2.16E-10,2.16E-10,6.76E-10,6.75275E-10,,,,,
1.6,0.118836248,0.118831807,0.118831816,-0.009745588,-0.009745636,-0.009745641,,1.97E-11,1.96E-11,2.32E-15,2.83313E-15,,,,,
1.65,0.129720526,0.129736383,0.129736385,-0.012905449,-0.01293938,-0.012939373,,2.51E-10,2.51E-10,1.15E-09,1.15086E-09,,,,,
1.7,0.142776524,0.142807668,0.142807661,-0.019573126,-0.019620753,-0.019620739,,9.70E-10,9.70E-10,2.27E-09,2.26703E-09,,,,,
1.75,0.157460507,0.157489785,0.157489773,-0.029153906,-0.02918282,-0.029182808,,8.57E-10,8.57E-10,8.36E-10,8.35324E-10,,,,,
1.8,0.172362705,0.172375851,0.17237585,-0.039357301,-0.039349467,-0.039349478,,1.73E-10,1.73E-10,6.14E-11,6.1193E-11,,,,,
1.85,0.185976154,0.185975885,0.185975889,-0.047718714,-0.047698442,-0.047698443,,7.24E-14,7.04E-14,4.11E-10,4.10902E-10,,,,,
1.9,0.19744935,0.197447575,0.197447571,-0.053224924,-0.053223207,-0.053223198,,3.15E-12,3.16E-12,2.95E-12,2.97976E-12,,,,,
1.95,0.206654272,0.206650966,0.206650963,-0.056251949,-0.056253963,-0.056253965,,1.09E-11,1.09E-11,4.06E-12,4.06368E-12,,,,,
2,0.213777451,0.21376298,0.21376298,-0.057239451,-0.057215308,-0.057215308,,2.09E-10,2.09E-10,5.83E-10,5.82893E-10,,,,,
2.05,0.219172971,0.219149138,0.219149141,-0.056381048,-0.056339223,-0.056339227,,5.68E-10,5.68E-10,1.75E-09,1.749E-09,,,,,
2.1,0.223542256,0.223525435,0.223525439,-0.054454991,-0.054430609,-0.05443061,,2.83E-10,2.83E-10,5.94E-10,5.94438E-10,,,,,
2.15,0.227899251,0.227903967,0.227903968,-0.053041927,-0.053058317,-0.05305831,,2.22E-11,2.22E-11,2.69E-10,2.68394E-10,,,,,
2.2,0.233131853,0.233157255,0.23315725,-0.053700868,-0.053748508,-0.053748496,,6.45E-10,6.45E-10,2.27E-09,2.26839E-09,,,,,
2.25,0.239496755,0.23952759,0.239527587,-0.05694232,-0.056985831,-0.056985828,,9.51E-10,9.51E-10,1.89E-09,1.89301E-09,,,,,
2.3,0.246473113,0.246494585,0.246494602,-0.06188971,-0.061905113,-0.06190514,,4.61E-10,4.62E-10,2.37E-10,2.38089E-10,,,,,
2.35,0.253090128,0.253099916,0.253099944,-0.066962309,-0.066959203,-0.066959219,,9.58E-11,9.64E-11,9.65E-12,9.54505E-12,,,,,
2.4,0.258410227,0.258413334,0.258413344,-0.070863787,-0.070861071,-0.070861053,,9.66E-12,9.72E-12,7.38E-12,7.47159E-12,,,,,
2.45,0.261772765,0.261769361,0.261769348,-0.072891515,-0.072886057,-0.072886026,,1.16E-11,1.17E-11,2.98E-11,3.01231E-11,,,,,
2.5,0.262789795,0.262775085,0.262775072,-0.072604843,-0.072580802,-0.072580797,,2.16E-10,2.17E-10,5.78E-10,5.78217E-10,,,,,
2.55,0.261376389,0.261351288,0.261351304,-0.069731749,-0.069690952,-0.069690993,,6.30E-10,6.29E-10,1.66E-09,1.66108E-09,,,,,
2.6,0.257895283,0.257870452,0.257870494,-0.064585045,-0.064550298,-0.064550343,,6.17E-10,6.15E-10,1.21E-09,1.20428E-09,,,,,
2.65,0.253179886,0.253167524,0.253167561,-0.05830851,-0.05829985,-0.05829986,,1.53E-10,1.52E-10,7.50E-11,7.48268E-11,,,,,
2.7,0.248264674,0.248268998,0.248269009,-0.052452293,-0.052469903,-0.052469881,,1.87E-11,1.88E-11,3.10E-10,3.0934E-10,,,,,
2.75,0.243964414,0.243980419,0.243980421,-0.048196146,-0.048224166,-0.048224158,,2.56E-10,2.56E-10,7.85E-10,7.84692E-10,,,,,
2.8,0.240591018,0.240611017,0.24061103,-0.045855154,-0.045879077,-0.045879087,,4.00E-10,4.00E-10,5.72E-10,5.72822E-10,,,,,
2.85,0.237958965,0.237978974,0.237978981,-0.044976874,-0.044996492,-0.044996479,,4.00E-10,4.01E-10,3.85E-10,3.8436E-10,,,,,
2.9,0.235581381,0.235599791,0.235599777,-0.044783125,-0.044803644,-0.044803611,,3.39E-10,3.38E-10,4.21E-10,4.19679E-10,,,,,
2.95,0.232857349,0.232869312,0.232869288,-0.044456853,-0.044471596,-0.04447157,,1.43E-10,1.43E-10,2.17E-10,2.16614E-10,,,,,
3,0.229190605,0.229188584,0.229188576,-0.043162666,-0.043156003,-0.043156013,,4.08E-12,4.12E-12,4.44E-11,4.42579E-11,,,,,
3.05,0.22413294,0.224114413,0.224114434,-0.040150634,-0.040118017,-0.040118052,,3.43E-10,3.42E-10,1.06E-09,1.06153E-09,,,,,
3.1,0.217581697,0.21755383,0.217553862,-0.035108171,-0.035064886,-0.035064906,,7.77E-10,7.75E-10,1.87E-09,1.87186E-09,,,,,
3.15,0.209901091,0.209876237,0.209876247,-0.028453264,-0.028421628,-0.0284216,,6.18E-10,6.17E-10,1.00E-09,1.00262E-09,,,,,
3.2,0.20183379,0.201820895,0.201820883,-0.021223494,-0.021214777,-0.021214737,,1.66E-10,1.67E-10,7.60E-11,7.66835E-11,,,,,
