Time(s),Fb_Right_Filtered(N),Mb_Right_Filtered(Nm),Fb_Left_Filtered(N),Mb_Left_Filtered(Nm),Fb_Right_Raw(N),Mb_Right_Raw(Nm),Fb_Left_Raw(N),Mb_Left_Raw(Nm),Ext_Force_Body(N),Ext_Moment_Body(Nm),X_Num_Right_Interface(m),X_Exp_Right_Interface(m),X_Cmd_Right_Interface(m),Rz_Num_Right_Interface(rad),Rz_Exp_Right_Interface(rad),Rz_Cmd_Right_Interface(rad),X_Num_Left_Interface(m),X_Exp_Left_Interface(m),X_Cmd_Left_Interface(m),Rz_Num_Left_Interface(rad),Rz_Exp_Left_Interface(rad),Rz_Cmd_Left_Interface(rad),X_Body_COM(m),Rz_Body(rad)
0.000000000000000000e+00,4.427131233804039445e-02,9.114343777016820081e-02,1.036512293893839115e-01,4.746958209925554451e-02,4.523040248861212587e-02,9.239999999999998215e-02,1.051365236503551265e-01,4.830000000000000959e-02,4.501246882793017789e+02,5.004987531172069737e+01,0.000000000000000000e+00,1.841300000000004045e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00,1.055400000000005813e-03,0.000000000000000000e+00,0.000000000000000000e+00,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000139e-02,2.328619282010999381e-01,2.083313725620480616e-01,2.264014374053371081e-01,1.511035495121402228e-01,1.893406694254923250e-01,1.847000000000000031e-01,2.021086287232428114e-01,1.207999999999999630e-01,4.372199251494733403e+02,4.750381026508353699e+01,1.180223941510582706e-04,1.841899999999995494e-03,1.178496718894410866e-04,5.105483010709378387e-05,7.871434926494426387e-04,5.082680309114559101e-05,6.696756404396447316e-05,1.056399999999996404e-03,6.702286879829548200e-05,5.105483010709378387e-05,7.871434926494426387e-04,5.082680309114559101e-05,9.249497909751137187e-05,5.105483010709378387e-05
5.000000000000000278e-02,3.494365375512840655e-01,3.221427694414397136e-01,3.293846181670375128e-01,2.617520694871270370e-01,2.721101396508101011e-01,2.898999999999999910e-01,2.156692355778530579e-01,2.290999999999999703e-01,4.268689105397496633e+02,4.565820534416518228e+01,4.687050391353520559e-04,1.862200000000001354e-03,4.678477125796821857e-04,2.021845953084383963e-04,7.958701389094143073e-04,2.010420173159032319e-04,2.665204438269136596e-04,1.073300000000003375e-03,2.668056952637789538e-04,2.021845953084383963e-04,7.993607974134029313e-04,2.010420173159032319e-04,3.676127414811328578e-04,2.021845953084383963e-04
7.500000000000001110e-02,3.387974369878544167e-01,4.213245858483733453e-01,3.906259490003906598e-01,3.778500150374836108e-01,3.872036050225937109e-01,4.179999999999999827e-01,4.081679363524181592e-01,3.775999999999999357e-01,4.190590495251834682e+02,4.469092631349712263e+01,1.046174185240317418e-03,2.044399999999996134e-03,1.043831006308891182e-03,4.501033784142122207e-04,8.726646259971647954e-04,4.469357068922748884e-04,5.960708068261052518e-04,1.141099999999994506e-03,5.968952994166163480e-04,4.501033784142122207e-04,8.499753457212385222e-04,4.469357068922748884e-04,8.211224960332113351e-04,4.501033784142122207e-04
1.000000000000000056e-01,1.803286182223781120e-01,4.848684400551275253e-01,3.905294485460878984e-01,4.862744847157238204e-01,3.705612888060470511e-01,5.263999999999999790e-01,4.448845122313513922e-01,4.805999999999999717e-01,4.135948393300211592e+02,4.472952377320435602e+01,1.846375679185958268e-03,2.465599999999994879e-03,1.841569335050476661e-03,7.932180290941279795e-04,1.054178868204575089e-03,7.865948463040428476e-04,1.053157650091830072e-03,1.343100000000006788e-03,1.054974488746433922e-03,7.932180290941279795e-04,1.001818990644745078e-03,7.865948463040428476e-04,1.449766664638894170e-03,7.932180290941279795e-04
1.250000000000000000e-01,-1.083770877613651901e-01,4.849041143459350556e-01,3.180394423255172298e-01,5.647594084455230812e-01,2.983839424391632189e-01,4.046000000000000152e-01,5.008865685753430830e-01,5.997000000000000108e-01,4.101216739291513136e+02,4.583900056739177842e+01,2.867074896216111578e-03,3.179599999999993803e-03,2.858810805649969738e-03,1.231817458445472625e-03,1.359611487303582621e-03,1.220155261826579842e-03,1.635257437770639170e-03,1.792599999999993157e-03,1.638655543823389895e-03,1.231817458445472625e-03,1.340412865531645081e-03,1.220155261826579842e-03,2.251166166993375482e-03,1.231817458445472625e-03
1.500000000000000222e-01,-4.848378009629892293e-01,3.945214399458084609e-01,1.742551118160347023e-01,5.889300789798566083e-01,-1.400872281256616558e+00,4.067999999999999949e-01,9.314725818828879789e-02,5.535999999999999810e-01,4.081590155386284096e+02,4.801379441140586835e+01,4.107744138905774882e-03,4.186400000000005915e-03,4.095198602083194479e-03,1.768132605196314671e-03,1.795943800302165182e-03,1.749924089995799799e-03,2.339611533709460428e-03,2.257800000000003381e-03,2.345274512087395114e-03,1.768132605196314671e-03,1.694714703686494000e-03,1.749924089995799799e-03,3.223677836307617655e-03,1.768132605196314671e-03
1.750000000000000167e-01,-9.057739588400183228e-01,1.977085527792468156e-01,-3.053769620396919182e-02,5.406627812163051772e-01,-7.964910062493019138e-01,2.917000000000000148e-01,-2.543351709513902437e-01,5.775000000000000133e-01,4.071406360985847073e+02,5.117469873105106615e+01,5.569345495469718924e-03,5.712199999999996274e-03,5.552065785083894721e-03,2.406263536690256971e-03,2.464404903815993302e-03,2.380359207661910965e-03,3.163081958779461952e-03,3.227500000000006405e-03,3.171706577421984623e-03,2.406263536690256971e-03,2.450442269800038805e-03,2.380359207661910965e-03,4.366213727124590438e-03,2.406263536690256971e-03
2.000000000000000111e-01,-1.345484991721839663e+00,-1.029223346194132471e-01,-2.838072698601779020e-01,4.142532050951181488e-01,-9.653029382903177691e-01,-8.250000000000001776e-02,-2.027400151345173096e-01,4.635999999999999566e-01,4.064592057585302314e+02,5.517107273290907443e+01,7.254021061975657499e-03,7.287300000000001762e-03,7.232122188482760332e-03,3.151983097394539610e-03,3.164281933865719255e-03,3.117902167277429408e-03,4.102037964581118322e-03,3.953800000000001237e-03,4.114220021205330924e-03,3.151983097394539610e-03,3.029891581462156036e-03,3.117902167277429408e-03,5.678029513278387910e-03,3.151983097394539610e-03
2.250000000000000056e-01,-1.796731989545878427e+00,-4.850936976801180633e-01,-5.745793194197927889e-01,2.179478952519284807e-01,-1.851537954248249518e+00,-4.628999999999999782e-01,-6.221031831105476861e-01,1.760999999999999788e-01,4.055122542481453252e+02,5.978828870153687092e+01,9.164709827891316316e-03,9.075999999999993795e-03,9.139053762336436446e-03,4.012436328923135558e-03,3.972369377539093638e-03,3.970670534492083334e-03,5.152273498968181625e-03,5.093800000000001625e-03,5.168383227844352244e-03,4.012436328923135558e-03,3.965388060531116823e-03,3.970670534492083334e-03,7.158491663429748970e-03,4.012436328923135558e-03
