Time(s),ReactionForce(N),ReactionMoment(Nm),Exp_X(m),Exp_Rz(rad),Cmd_X(m),Cmd_Rz(rad),Body_X(m),Body_Rz(rad),Delta_X(m),Delta_Rz(rad),RMSE_Left
0.000000000000000000e+00,1.051365236503551265e-01,4.830000000000000959e-02,1.055400000000005813e-03,7.871434926494426387e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.437129026823716904e-01
2.500000000000000139e-02,2.021086287232428114e-01,1.207999999999999630e-01,1.056399999999996404e-03,7.871434926494426387e-04,6.702286879829548200e-05,5.082680309114559101e-05,6.696756404396447316e-05,5.105483010709378387e-05,-5.530475433100884124e-08,2.280270159481928571e-07,1.437129026823716904e-01
5.000000000000000278e-02,2.156692355778530579e-01,2.290999999999999703e-01,1.073300000000003375e-03,7.993607974134029313e-04,2.668056952637789538e-04,2.010420173159032319e-04,2.665204438269136596e-04,2.021845953084383963e-04,-2.852514368652941945e-07,1.142577992535164389e-06,1.437129026823716904e-01
7.500000000000001110e-02,4.081679363524181592e-01,3.775999999999999357e-01,1.141099999999994506e-03,8.499753457212385222e-04,5.968952994166163480e-04,4.469357068922748884e-04,5.960708068261052518e-04,4.501033784142122207e-04,-8.244925905110962044e-07,3.167671521937332271e-06,1.437129026823716904e-01
1.000000000000000056e-01,4.448845122313513922e-01,4.805999999999999717e-01,1.343100000000006788e-03,1.001818990644745078e-03,1.054974488746433922e-03,7.865948463040428476e-04,1.053157650091830072e-03,7.932180290941279795e-04,-1.816838654603849731e-06,6.623182790085131895e-06,1.437129026823716904e-01
1.250000000000000000e-01,5.008865685753430830e-01,5.997000000000000108e-01,1.792599999999993157e-03,1.340412865531645081e-03,1.638655543823389895e-03,1.220155261826579842e-03,1.635257437770639170e-03,1.231817458445472625e-03,-3.398106052750725359e-06,1.166219661889278218e-05,1.437129026823716904e-01
1.500000000000000222e-01,9.314725818828879789e-02,5.535999999999999810e-01,2.257800000000003381e-03,1.694714703686494000e-03,2.345274512087395114e-03,1.749924089995799799e-03,2.339611533709460428e-03,1.768132605196314671e-03,-5.662978377934686086e-06,1.820851520051487184e-05,1.437129026823716904e-01
1.750000000000000167e-01,-2.543351709513902437e-01,5.775000000000000133e-01,3.227500000000006405e-03,2.450442269800038805e-03,3.171706577421984623e-03,2.380359207661910965e-03,3.163081958779461952e-03,2.406263536690256971e-03,-8.624618642522671047e-06,2.590432902834600634e-05,1.437129026823716904e-01
2.000000000000000111e-01,-2.027400151345173096e-01,4.635999999999999566e-01,3.953800000000001237e-03,3.029891581462156036e-03,4.114220021205330924e-03,3.117902167277429408e-03,4.102037964581118322e-03,3.151983097394539610e-03,-1.218205662421260188e-05,3.408093011711020234e-05,1.437129026823716904e-01
2.250000000000000056e-01,-6.221031831105476861e-01,1.760999999999999788e-01,5.093800000000001625e-03,3.965388060531116823e-03,5.168383227844352244e-03,3.970670534492083334e-03,5.152273498968181625e-03,4.012436328923135558e-03,-1.610972887617061894e-05,4.176579443105222361e-05,1.437129026823716904e-01
