Time(s),Iter1_Right_X_Displacement_Delta(m),Iter1_Left_X_Displacement_Delta(m),Iter2_Right_X_Displacement_Delta(m),Iter2_Left_X_Displacement_Delta(m),Iter1_Right_Rotation_Delta(rad),Iter1_Left_Rotation_Delta(rad),Iter2_Right_Rotation_Delta(rad),Iter2_Left_Rotation_Delta(rad)
2.250000000000000000e+00,-3.706475351614169078e-03,-2.144164484955135563e-04,-4.666701225092440009e-03,5.881333428949531150e-04,-3.492058903118683277e-03,-3.492058903118683277e-03,-5.254834567987448635e-03,-5.254834567987448635e-03
2.274999999999999911e+00,-3.572829643862296400e-03,-2.825190555182377494e-04,-4.576510859147453480e-03,5.436623032331888705e-04,-3.290310588344030895e-03,-3.290310588344030895e-03,-5.120173162380725618e-03,-5.120173162380725618e-03
2.300000000000000266e+00,-3.434352148749486577e-03,-3.517194526883593575e-04,-4.483124673014649009e-03,4.988464499080524917e-04,-3.082632696061154975e-03,-3.082632696061154975e-03,-4.981971122922729256e-03,-4.981971122922729256e-03
2.325000000000000178e+00,-3.291798565149661737e-03,-4.217405923808426049e-04,-4.387310031049751480e-03,4.538902602153338517e-04,-2.870057972768874643e-03,-2.870057972768874643e-03,-4.841200291265085331e-03,-4.841200291265085331e-03
2.350000000000000089e+00,-3.145742225841519080e-03,-4.924166148318198655e-04,-4.289517331897529928e-03,4.088816038974596445e-04,-2.653325611009726970e-03,-2.653325611009726970e-03,-4.698398935794961817e-03,-4.698398935794961817e-03
2.375000000000000000e+00,-2.996504075885975116e-03,-5.637103485320593688e-04,-4.189838345341589942e-03,3.637810518178352659e-04,-2.432793727353971258e-03,-2.432793727353971258e-03,-4.553619397159425208e-03,-4.553619397159425208e-03
2.400000000000000355e+00,-2.844085192090950454e-03,-6.357111206326537811e-04,-4.088030790352248367e-03,3.184317460112051634e-04,-2.208374071458268917e-03,-2.208374071458268917e-03,-4.406462536363398019e-03,-4.406462536363398019e-03
2.425000000000000266e+00,-2.688127728978861875e-03,-7.086144287029583211e-04,-3.983603104354527247e-03,2.725912829260601633e-04,-1.979513300275875798e-03,-1.979513300275875798e-03,-4.256194387280615166e-03,-4.256194387280615166e-03
2.450000000000000178e+00,-2.527928792119771284e-03,-7.826919122355946445e-04,-3.875921600827003655e-03,2.259724637620197374e-04,-1.745236879884204395e-03,-1.745236879884204395e-03,-4.101894064588995636e-03,-4.101894064588995636e-03
2.475000000000000089e+00,-2.362516495871158639e-03,-8.582631267886053905e-04,-3.764290985137086487e-03,1.782759231886144047e-04,-1.504253369082553249e-03,-1.504253369082553249e-03,-3.942566908325784159e-03,-3.942566908325784159e-03
2.500000000000000000e+00,-2.190773166498294344e-03,-9.356774842006476689e-04,-3.647978580159250139e-03,1.292054429352929024e-04,-1.255095682297591164e-03,-1.255095682297591164e-03,-3.777184023094515286e-03,-3.777184023094515286e-03
2.525000000000000355e+00,-2.011569898118681365e-03,-1.015306713006119965e-03,-3.526191169191728036e-03,7.846773381915694845e-05,-9.962631851125891558e-04,-9.962631851125891558e-04,-3.604658903010954374e-03,-3.604658903010954374e-03
2.550000000000000266e+00,-1.823872711556484560e-03,-1.097540134000610235e-03,-3.398045299511487372e-03,2.576463223076530529e-05,-7.263325775558604480e-04,-7.263325775558604480e-04,-3.423809931742238799e-03,-3.423809931742238799e-03
2.575000000000000178e+00,-1.626797508643584855e-03,-1.182772029731452013e-03,-3.262575575747772572e-03,-2.921381789808275009e-05,-4.440254789121189649e-04,-4.440254789121189649e-04,-3.233361757849662066e-03,-3.233361757849662066e-03
2.600000000000000089e+00,-1.419618984588644217e-03,-1.271374915965586827e-03,-3.118799529578053509e-03,-8.678868093395242234e-05,-1.482440686230435123e-04,-1.482440686230435123e-04,-3.032010848644101086e-03,-3.032010848644101086e-03
2.625000000000000000e+00,-1.201760015407477011e-03,-1.363662447383506837e-03,-2.965821953733377425e-03,-1.472796049036273480e-04,1.619024319760020703e-04,1.619024319760020703e-04,-2.818542348829777833e-03,-2.818542348829777833e-03
2.650000000000000355e+00,-9.727911505874875520e-04,-1.459854080638395279e-03,-2.802940649740598422e-03,-2.109800593750738029e-04,4.870629300509077275e-04,4.870629300509077275e-04,-2.591960590365510742e-03,-2.591960590365510742e-03
2.675000000000000266e+00,-7.324563036464337706e-04,-1.560053638521269326e-03,-2.629718665125957422e-03,-2.781249693212251017e-04,8.275973348748077996e-04,8.275973348748077996e-04,-2.351593695804732320e-03,-2.351593695804732320e-03
2.700000000000000178e+00,-4.807203772313750623e-04,-1.664245632024621835e-03,-2.446007624210627673e-03,-3.488594401415828772e-04,1.183525254793232895e-03,1.183525254793232895e-03,-2.097148184069086430e-03,-2.097148184069086430e-03
2.725000000000000089e+00,-2.178182030995179375e-04,-1.772304073087205278e-03,-2.251931575958904252e-03,-4.232172380086440810e-04,1.554485869987687341e-03,1.554485869987687341e-03,-1.828714337950260171e-03,-1.828714337950260171e-03
2.750000000000000000e+00,5.571990531591519691e-05,-1.884005838039645719e-03,-2.047860920161376219e-03,-5.011123265518113712e-04,1.939725743355574794e-03,1.939725743355574794e-03,-1.546748593609578726e-03,-1.546748593609578726e-03
2.775000000000000355e+00,3.390802798432512866e-04,-1.999044474025588047e-03,-1.834408171973278545e-03,-5.823396930106777836e-04,2.338124753868839334e-03,2.338124753868839334e-03,-1.252068478962600762e-03,-1.252068478962600762e-03
2.800000000000000266e+00,6.312121282763816232e-04,-2.117045240652773441e-03,-1.612454150358877403e-03,-6.665793204873732281e-04,2.748257368929155064e-03,2.748257368929155064e-03,-9.458748298714625413e-04,-9.458748298714625413e-04
2.825000000000000178e+00,9.308919647206814751e-04,-2.237583922969535455e-03,-1.383178887467362284e-03,-7.534015447960423772e-04,3.168475887690230808e-03,3.168475887690230808e-03,-6.297773426713060285e-04,-6.297773426713060285e-04
2.850000000000000089e+00,1.236791759676836300e-03,-2.360209956867753700e-03,-1.148054425104488852e-03,-8.422778860224938713e-04,3.597001716544590000e-03,3.597001716544590000e-03,-3.057765390819949802e-04,-3.057765390819949802e-04
2.875000000000000000e+00,1.547546676657352016e-03,-2.484470280903677830e-03,-9.087710671252802186e-04,-9.326021854326460581e-04,4.032016957561002091e-03,4.032016957561002091e-03,2.383111830733808389e-05,2.383111830733808389e-05
2.900000000000000355e+00,1.861824912089166117e-03,-2.609927759647898138e-03,-6.671022405247972742e-04,-1.023722091703802017e-03,4.471752671737064255e-03,4.471752671737064255e-03,3.566198511790047432e-04,3.566198511790047432e-04
